annot1_idx,annot2_idx,Gof,label1,label2
1,0,45.9860321117431,unknown_part1,no matching lookup
2,130,44.4945848375451,bankssts_part1,L_STSdp_ROI
3,140,55.9766763848396,bankssts_part2,L_TPOJ1_ROI
4,0,27.5191104933982,caudalanteriorcingulate_part1,no matching lookup
5,68,52.5274725274725,caudalmiddlefrontal_part1,L_8Av_ROI
6,97,37.7263581488934,caudalmiddlefrontal_part2,L_6a_ROI
7,74,62.9856850715746,caudalmiddlefrontal_part3,L_8C_ROI
8,68,53.0444964871194,caudalmiddlefrontal_part4,L_8Av_ROI
9,5,62.5945945945946,cuneus_part1,L_V2_ROI
10,5,50.6382978723404,cuneus_part2,L_V2_ROI
11,123,54.6875,entorhinal_part1,L_PeEc_ROI
12,128,42.9130009775171,fusiform_part1,L_PHA3_ROI
13,136,41.5076335877863,fusiform_part2,L_TF_ROI
14,8,40.4371584699454,fusiform_part3,L_V8_ROI
15,136,37.781954887218,fusiform_part4,L_TF_ROI
16,19,37.5442739079103,fusiform_part5,L_FFC_ROI
17,150,53.8523274478331,inferiorparietal_part1,L_PFm_ROI
18,144,30.9316770186335,inferiorparietal_part2,L_PGp_ROI
19,151,73.8967136150235,inferiorparietal_part3,L_PGi_ROI
20,146,37.3697916666667,inferiorparietal_part4,L_IP1_ROI
21,151,35.4418604651163,inferiorparietal_part5,L_PGi_ROI
22,152,35.8471074380165,inferiorparietal_part6,L_PGs_ROI
23,144,40.3846153846154,inferiorparietal_part7,L_PGp_ROI
24,152,40.6603773584906,inferiorparietal_part8,L_PGs_ROI
25,173,59.8870056497175,inferiortemporal_part1,L_TGv_ROI
26,139,57.7833125778331,inferiortemporal_part2,L_PH_ROI
27,136,47.6372924648787,inferiortemporal_part3,L_TF_ROI
28,134,34.3567251461988,inferiortemporal_part4,L_TE1p_ROI
29,135,60.5121293800539,inferiortemporal_part5,L_TE2a_ROI
30,137,41.5827338129496,inferiortemporal_part6,L_TE2p_ROI
31,15,30.7291666666667,isthmuscingulate_part1,L_RSC_ROI
32,35,28.087986463621,isthmuscingulate_part2,L_d23ab_ROI
33,7,47.7303988995873,lateraloccipital_part1,L_V4_ROI
34,158,25.273390036452,lateraloccipital_part2,L_FST_ROI
35,5,53.6098310291859,lateraloccipital_part3,L_V2_ROI
36,24,28.9731051344743,lateraloccipital_part4,L_MT_ROI
37,2,82.7586206896552,lateraloccipital_part5,L_V1_ROI
38,7,44.3620178041543,lateraloccipital_part6,L_V4_ROI
39,7,35.2624495289367,lateraloccipital_part7,L_V4_ROI
40,5,55.2845528455285,lateraloccipital_part8,L_V2_ROI
41,21,27.2463768115942,lateraloccipital_part9,L_LO1_ROI
42,92,58.5790884718499,lateralorbitofrontal_part1,L_11l_ROI
43,167,26.8755152514427,lateralorbitofrontal_part2,L_pOFC_ROI
44,93,37.9310344827586,lateralorbitofrontal_part3,L_13l_ROI
45,112,43.4432823813355,lateralorbitofrontal_part4,L_AVI_ROI
46,161,31.0160427807487,lingual_part1,L_VMV2_ROI
47,2,59.6421471172962,lingual_part2,L_V1_ROI
48,154,33.8877338877339,lingual_part3,L_VMV1_ROI
49,2,50.6802721088435,lingual_part4,L_V1_ROI
50,2,57.3991031390135,lingual_part5,L_V1_ROI
51,6,62.669245647969,lingual_part6,L_V3_ROI
52,94,35.2661596958175,medialorbitofrontal_part1,L_OFC_ROI
53,66,46.9241773962804,medialorbitofrontal_part2,L_10r_ROI
54,89,33.5903083700441,medialorbitofrontal_part3,L_10v_ROI
