annot1_idx,annot2_idx,Gof,label1,label2
1,1,98.3080135358917,unknown_part1,Background+FreeSurfer_Defined_Medial_Wall
2,79,66.1552346570397,bankssts_part1,7Networks_LH_Default_Temp_5
3,79,76.0932944606414,bankssts_part2,7Networks_LH_Default_Temp_5
4,91,50.0347463516331,caudalanteriorcingulate_part1,7Networks_LH_Default_PFC_8
5,95,62.3076923076923,caudalmiddlefrontal_part1,7Networks_LH_Default_PFC_12
6,42,56.841046277666,caudalmiddlefrontal_part2,7Networks_LH_DorsAttn_FEF_1
7,70,37.5255623721881,caudalmiddlefrontal_part3,7Networks_LH_Cont_PFCl_5
8,94,45.5503512880562,caudalmiddlefrontal_part4,7Networks_LH_Default_PFC_11
9,13,54.7027027027027,cuneus_part1,7Networks_LH_Vis_12
10,14,72.4822695035461,cuneus_part2,7Networks_LH_Vis_13
11,58,78.8602941176471,entorhinal_part1,7Networks_LH_Limbic_TempPole_1
12,2,40.1759530791789,fusiform_part1,7Networks_LH_Vis_1
13,58,50.6679389312977,fusiform_part2,7Networks_LH_Limbic_TempPole_1
14,3,82.7868852459016,fusiform_part3,7Networks_LH_Vis_2
15,32,66.8233082706767,fusiform_part4,7Networks_LH_DorsAttn_Post_1
16,32,34.7107438016529,fusiform_part5,7Networks_LH_DorsAttn_Post_1
17,63,52.7287319422151,inferiorparietal_part1,7Networks_LH_Cont_Par_2
18,15,50.0621118012422,inferiorparietal_part2,7Networks_LH_Vis_14
19,80,66.1971830985916,inferiorparietal_part3,7Networks_LH_Default_Temp_6
20,34,41.796875,inferiorparietal_part4,7Networks_LH_DorsAttn_Post_3
21,9,43.4418604651163,inferiorparietal_part5,7Networks_LH_Vis_8
22,83,53.8223140495868,inferiorparietal_part6,7Networks_LH_Default_Temp_9
23,81,55.9954751131222,inferiorparietal_part7,7Networks_LH_Default_Temp_7
24,83,85.188679245283,inferiorparietal_part8,7Networks_LH_Default_Temp_9
25,58,39.4067796610169,inferiortemporal_part1,7Networks_LH_Limbic_TempPole_1
26,33,47.0734744707347,inferiortemporal_part2,7Networks_LH_DorsAttn_Post_2
27,59,88.250319284802,inferiortemporal_part3,7Networks_LH_Limbic_TempPole_2
28,32,75,inferiortemporal_part4,7Networks_LH_DorsAttn_Post_1
29,76,50.2695417789757,inferiortemporal_part5,7Networks_LH_Default_Temp_2
30,65,48.9208633093525,inferiortemporal_part6,7Networks_LH_Cont_Temp_1
31,97,55.1339285714286,isthmuscingulate_part1,7Networks_LH_Default_PCC_1
32,98,46.7005076142132,isthmuscingulate_part2,7Networks_LH_Default_PCC_2
33,15,71.3892709766162,lateraloccipital_part1,7Networks_LH_Vis_14
34,4,69.0157958687728,lateraloccipital_part2,7Networks_LH_Vis_3
35,10,46.3901689708141,lateraloccipital_part3,7Networks_LH_Vis_9
36,9,83.3740831295843,lateraloccipital_part4,7Networks_LH_Vis_8
37,6,52.6645768025078,lateraloccipital_part5,7Networks_LH_Vis_5
38,3,48.5163204747774,lateraloccipital_part6,7Networks_LH_Vis_2
39,10,61.1036339165545,lateraloccipital_part7,7Networks_LH_Vis_9
40,6,67.479674796748,lateraloccipital_part8,7Networks_LH_Vis_5
41,12,53.0434782608696,lateraloccipital_part9,7Networks_LH_Vis_11
42,57,67.828418230563,lateralorbitofrontal_part1,7Networks_LH_Limbic_OFC_2
43,56,50.8656224237428,lateralorbitofrontal_part2,7Networks_LH_Limbic_OFC_1
44,56,34.6855983772819,lateralorbitofrontal_part3,7Networks_LH_Limbic_OFC_1
45,84,53.6604987932421,lateralorbitofrontal_part4,7Networks_LH_Default_PFC_1
46,2,62.7005347593583,lingual_part1,7Networks_LH_Vis_1
