annot1_idx,annot2_idx,Gof,label1,label2
1,0,99.9856001151991,unknown_part1,no label
2,2,100,bankssts_part1,bankssts
3,2,100,bankssts_part2,bankssts
4,3,100,caudalanteriorcingulate_part1,caudalanteriorcingulate
5,4,100,caudalmiddlefrontal_part1,caudalmiddlefrontal
6,4,100,caudalmiddlefrontal_part2,caudalmiddlefrontal
7,4,100,caudalmiddlefrontal_part3,caudalmiddlefrontal
8,4,100,caudalmiddlefrontal_part4,caudalmiddlefrontal
9,6,100,cuneus_part1,cuneus
10,6,100,cuneus_part2,cuneus
11,7,99.9080882352941,entorhinal_part1,entorhinal
12,8,100,fusiform_part1,fusiform
13,8,100,fusiform_part2,fusiform
14,8,100,fusiform_part3,fusiform
15,8,100,fusiform_part4,fusiform
16,8,100,fusiform_part5,fusiform
17,9,100,inferiorparietal_part1,inferiorparietal
18,9,100,inferiorparietal_part2,inferiorparietal
19,9,100,inferiorparietal_part3,inferiorparietal
20,9,100,inferiorparietal_part4,inferiorparietal
21,9,100,inferiorparietal_part5,inferiorparietal
22,9,100,inferiorparietal_part6,inferiorparietal
23,9,100,inferiorparietal_part7,inferiorparietal
24,9,100,inferiorparietal_part8,inferiorparietal
25,10,100,inferiortemporal_part1,inferiortemporal
26,10,100,inferiortemporal_part2,inferiortemporal
27,10,100,inferiortemporal_part3,inferiortemporal
28,10,100,inferiortemporal_part4,inferiortemporal
29,10,100,inferiortemporal_part5,inferiortemporal
30,10,100,inferiortemporal_part6,inferiortemporal
31,11,99.8511904761905,isthmuscingulate_part1,isthmuscingulate
32,11,99.9153976311337,isthmuscingulate_part2,isthmuscingulate
33,12,100,lateraloccipital_part1,lateraloccipital
34,12,100,lateraloccipital_part2,lateraloccipital
35,12,100,lateraloccipital_part3,lateraloccipital
36,12,100,lateraloccipital_part4,lateraloccipital
37,12,100,lateraloccipital_part5,lateraloccipital
38,12,100,lateraloccipital_part6,lateraloccipital
39,12,100,lateraloccipital_part7,lateraloccipital
40,12,100,lateraloccipital_part8,lateraloccipital
41,12,100,lateraloccipital_part9,lateraloccipital
42,13,100,lateralorbitofrontal_part1,lateralorbitofrontal
43,13,99.9175597691674,lateralorbitofrontal_part2,lateralorbitofrontal
44,13,100,lateralorbitofrontal_part3,lateralorbitofrontal
45,13,100,lateralorbitofrontal_part4,lateralorbitofrontal
46,14,100,lingual_part1,lingual
47,14,100,lingual_part2,lingual
48,14,99.3762993762994,lingual_part3,lingual
