annot1_idx,annot2_idx,Gof,label1,label2
1,1,93.4264525883793,unknown_part1,unknown
2,43,100,bankssts_part1,TE
3,43,100,bankssts_part2,TE
4,21,49.3398193189715,caudalanteriorcingulate_part1,LA1
5,4,52.4175824175824,caudalmiddlefrontal_part1,FB
6,4,99.4969818913481,caudalmiddlefrontal_part2,FB
7,4,56.3394683026585,caudalmiddlefrontal_part3,FB
8,4,96.2529274004684,caudalmiddlefrontal_part4,FB
9,28,71.1351351351351,cuneus_part1,OA
10,28,56.4539007092199,cuneus_part2,OA
11,16,32.1691176470588,entorhinal_part1,HA
12,44,75.0733137829912,fusiform_part1,TF
13,44,54.4847328244275,fusiform_part2,TF
14,38,92.7595628415301,fusiform_part3,PH
15,44,94.7368421052632,fusiform_part4,TF
16,38,79.3388429752066,fusiform_part5,PH
17,34,56.9823434991974,inferiorparietal_part1,PD
18,37,78.3850931677019,inferiorparietal_part2,PG
19,37,67.7934272300469,inferiorparietal_part3,PG
20,37,88.5416666666667,inferiorparietal_part4,PG
21,38,56,inferiorparietal_part5,PH
22,37,66.9421487603306,inferiorparietal_part6,PG
23,37,88.9140271493213,inferiorparietal_part7,PG
24,37,100,inferiorparietal_part8,PG
25,45,51.271186440678,inferiortemporal_part1,TG
26,38,55.9153175591532,inferiortemporal_part2,PH
27,43,100,inferiortemporal_part3,TE
28,43,100,inferiortemporal_part4,TE
29,43,100,inferiortemporal_part5,TE
30,43,95.8273381294964,inferiortemporal_part6,TE
31,30,26.264880952381,isthmuscingulate_part1,OC
32,23,36.8020304568528,isthmuscingulate_part2,LC1
33,28,99.312242090784,lateraloccipital_part1,OA
34,38,100,lateraloccipital_part2,PH
35,29,43.778801843318,lateraloccipital_part3,OB
36,38,100,lateraloccipital_part4,PH
37,29,38.4012539184953,lateraloccipital_part5,OB
38,38,62.0178041543027,lateraloccipital_part6,PH
39,28,76.4468371467026,lateraloccipital_part7,OA
40,28,82.2764227642276,lateraloccipital_part8,OA
41,38,54.0579710144928,lateraloccipital_part9,PH
42,10,76.1394101876676,lateralorbitofrontal_part1,FE
43,11,92.4154987633965,lateralorbitofrontal_part2,FF
44,11,99.6957403651116,lateralorbitofrontal_part3,FF
45,11,76.1061946902655,lateralorbitofrontal_part4,FF
46,28,100,lingual_part1,OA
47,29,68.389662027833,lingual_part2,OB
48,28,42.8274428274428,lingual_part3,OA
49,29,56.2925170068027,lingual_part4,OB
50,30,74.7757847533632,lingual_part5,OC
51,28,95.7446808510638,lingual_part6,OA
52,15,45.532319391635,medialorbitofrontal_part1,FLMN
53,10,100,medialorbitofrontal_part2,FE
54,12,41.5198237885463,medialorbitofrontal_part3,FG
55,43,100,middletemporal_part1,TE
56,38,50.2227171492205,middletemporal_part2,PH
57,43,53.1073446327684,middletemporal_part3,TE
58,43,100,middletemporal_part4,TE
59,43,100,middletemporal_part5,TE
60,18,91.4315569487983,parahippocampal_part1,HC
61,18,56.7597765363128,parahippocampal_part2,HC
62,31,30.7017543859649,paracentral_part1,PA
63,3,66.4618086040386,paracentral_part2,FA
64,3,79.9822852081488,paracentral_part3,FA
65,6,54.4930875576037,parsopercularis_part1,FCBm
66,6,95.4697986577181,parsopercularis_part2,FCBm
67,6,89.423984891407,parsopercularis_part3,FCBm
68,11,63.0753138075314,parsorbitalis_part1,FF
69,9,93.6221419975933,parstriangularis_part1,FDT
70,11,60.082304526749,parstriangularis_part2,FF
71,30,99.7509339975093,pericalcarine_part1,OC
72,30,93.1469792605951,pericalcarine_part2,OC
73,33,43.9830508474576,postcentral_part1,PC
74,36,70.6563706563707,postcentral_part2,PF
75,34,41.6165090283749,postcentral_part3,PD
76,33,59.1958939264329,postcentral_part4,PC
77,31,37.8921962992759,postcentral_part5,PA
78,31,43.4741784037559,postcentral_part6,PA
79,34,65.8227848101266,postcentral_part7,PD
80,31,32.5438596491228,postcentral_part8,PA
81,23,37.9268292682927,posteriorcingulate_part1,LC1
82,1,38.1918819188192,posteriorcingulate_part2,unknown
83,3,91.0943396226415,precentral_part1,FA
84,4,90.7863383637808,precentral_part2,FB
85,3,92.5255704169945,precentral_part3,FA
86,4,90.590248075278,precentral_part4,FB
87,3,90.1420217209691,precentral_part5,FA
88,3,87.9646017699115,precentral_part6,FA
89,3,61.0324729392173,precentral_part7,FA
90,3,91.5318744053283,precentral_part8,FA
91,3,89.1820580474934,precentral_part9,FA
92,23,25.3825382538254,precuneus_part1,LC1
93,31,44.3627450980392,precuneus_part2,PA
94,35,85.7292759706191,precuneus_part3,PE
95,23,40.2462121212121,precuneus_part4,LC1
96,35,99.1285403050109,precuneus_part5,PE
97,35,100,precuneus_part6,PE
98,35,67.4371859296482,precuneus_part7,PE
99,22,27.7529761904762,rostralanteriorcingulate_part1,LA2
100,7,68.7960687960688,rostralmiddlefrontal_part1,FD
101,7,82.7067669172932,rostralmiddlefrontal_part2,FD
102,5,99.3872549019608,rostralmiddlefrontal_part3,FC
103,10,84.7341337907376,rostralmiddlefrontal_part4,FE
104,5,93.6768149882904,rostralmiddlefrontal_part5,FC
105,7,87.3038516405136,rostralmiddlefrontal_part6,FD
