annot1_idx,annot2_idx,Gof,label1,label2
1,1,92.749658002736,unknown_part1,parc_0
2,3,100,bankssts_part1,parc_2
3,3,100,bankssts_part2,parc_2
4,7,76.4419735927728,caudalanteriorcingulate_part1,parc_6
5,3,100,caudalmiddlefrontal_part1,parc_2
6,3,99.7987927565392,caudalmiddlefrontal_part2,parc_2
7,3,100,caudalmiddlefrontal_part3,parc_2
8,3,95.3161592505855,caudalmiddlefrontal_part4,parc_2
9,5,92.4324324324324,cuneus_part1,parc_4
10,5,82.8368794326241,cuneus_part2,parc_4
11,7,88.7867647058823,entorhinal_part1,parc_6
12,3,78.7878787878788,fusiform_part1,parc_2
13,3,66.2213740458015,fusiform_part2,parc_2
14,5,100,fusiform_part3,parc_4
15,3,98.8721804511278,fusiform_part4,parc_2
16,5,87.4852420306966,fusiform_part5,parc_4
17,4,100,inferiorparietal_part1,parc_3
18,4,77.2670807453416,inferiorparietal_part2,parc_3
19,4,69.0140845070423,inferiorparietal_part3,parc_3
20,4,90.1041666666667,inferiorparietal_part4,parc_3
21,5,52.7441860465116,inferiorparietal_part5,parc_4
22,4,99.2768595041322,inferiorparietal_part6,parc_3
23,4,91.6289592760181,inferiorparietal_part7,parc_3
24,4,100,inferiorparietal_part8,parc_3
25,3,52.2598870056497,inferiortemporal_part1,parc_2
26,5,58.6550435865504,inferiortemporal_part2,parc_4
27,3,100,inferiortemporal_part3,parc_2
28,3,100,inferiortemporal_part4,parc_2
29,3,100,inferiortemporal_part5,parc_2
30,3,100,inferiortemporal_part6,parc_2
31,6,56.1755952380952,isthmuscingulate_part1,parc_5
32,7,77.072758037225,isthmuscingulate_part2,parc_6
33,5,99.5873452544704,lateraloccipital_part1,parc_4
34,5,100,lateraloccipital_part2,parc_4
35,5,95.6989247311828,lateraloccipital_part3,parc_4
36,5,100,lateraloccipital_part4,parc_4
37,5,92.7899686520376,lateraloccipital_part5,parc_4
38,5,100,lateraloccipital_part6,parc_4
39,5,98.6541049798116,lateraloccipital_part7,parc_4
40,5,100,lateraloccipital_part8,parc_4
41,5,100,lateraloccipital_part9,parc_4
42,5,100,lateralorbitofrontal_part1,parc_4
43,5,96.9497114591921,lateralorbitofrontal_part2,parc_4
44,5,100,lateralorbitofrontal_part3,parc_4
45,5,80.7723250201126,lateralorbitofrontal_part4,parc_4
46,5,100,lingual_part1,parc_4
47,5,75.5467196819085,lingual_part2,parc_4
48,5,56.5488565488565,lingual_part3,parc_4
49,5,80.7823129251701,lingual_part4,parc_4
