annot1_idx,annot2_idx,Gof,label1,label2
1,1,82.7705378356973,unknown_part1,sjh_0
2,301,34.6570397111913,bankssts_part1,sjh_303
3,303,36.9290573372206,bankssts_part2,sjh_305
4,1,23.1410701876303,caudalanteriorcingulate_part1,sjh_0
5,49,30.4395604395604,caudalmiddlefrontal_part1,sjh_48
6,45,29.7786720321932,caudalmiddlefrontal_part2,sjh_44
7,57,46.4212678936605,caudalmiddlefrontal_part3,sjh_56
8,51,24.4730679156909,caudalmiddlefrontal_part4,sjh_50
9,362,22.5945945945946,cuneus_part1,sjh_364
10,140,27.5177304964539,cuneus_part2,sjh_139
11,340,28.9522058823529,entorhinal_part1,sjh_342
12,190,19.2570869990225,fusiform_part1,sjh_189
13,197,31.2977099236641,fusiform_part2,sjh_196
14,192,28.2786885245902,fusiform_part3,sjh_191
15,194,35.9022556390977,fusiform_part4,sjh_193
16,199,43.9197166469894,fusiform_part5,sjh_198
17,244,34.3499197431782,inferiorparietal_part1,sjh_245
18,173,29.9378881987578,inferiorparietal_part2,sjh_172
19,317,25.8215962441315,inferiorparietal_part3,sjh_319
20,436,25.78125,inferiorparietal_part4,sjh_438
21,184,59.6279069767442,inferiorparietal_part5,sjh_183
22,229,34.1942148760331,inferiorparietal_part6,sjh_230
23,174,44.4570135746606,inferiorparietal_part7,sjh_173
24,182,25,inferiorparietal_part8,sjh_181
25,330,23.3050847457627,inferiortemporal_part1,sjh_332
26,186,60.0249066002491,inferiortemporal_part2,sjh_185
27,322,30.6513409961686,inferiortemporal_part3,sjh_324
28,325,36.2573099415205,inferiortemporal_part4,sjh_327
29,331,46.4959568733154,inferiortemporal_part5,sjh_333
30,326,49.9280575539568,inferiortemporal_part6,sjh_328
31,264,27.827380952381,isthmuscingulate_part1,sjh_265
32,1,29.8646362098139,isthmuscingulate_part2,sjh_0
33,167,20.3576341127923,lateraloccipital_part1,sjh_166
34,188,59.5382746051033,lateraloccipital_part2,sjh_187
35,342,37.173579109063,lateraloccipital_part3,sjh_344
36,479,32.518337408313,lateraloccipital_part4,sjh_481
37,132,26.3322884012539,lateraloccipital_part5,sjh_131
38,478,30.8605341246291,lateraloccipital_part6,sjh_480
39,347,28.6675639300135,lateraloccipital_part7,sjh_349
40,343,39.6747967479675,lateraloccipital_part8,sjh_345
41,477,37.6811594202899,lateraloccipital_part9,sjh_479
42,34,21.4477211796247,lateralorbitofrontal_part1,sjh_33
43,75,31.4097279472383,lateralorbitofrontal_part2,sjh_74
44,74,23.0223123732252,lateralorbitofrontal_part3,sjh_73
45,97,28.5599356395817,lateralorbitofrontal_part4,sjh_96
46,157,38.6363636363636,lingual_part1,sjh_156
47,141,51.2922465208747,lingual_part2,sjh_140
48,407,26.6112266112266,lingual_part3,sjh_409
49,137,42.8571428571429,lingual_part4,sjh_136
50,156,31.0538116591928,lingual_part5,sjh_155
