annot1_idx,annot2_idx,Gof,label1,label2
1,0,80.3039297162531,no label,no matching lookup
2,140,60.4771784232365,bankssts_part1,L_TPOJ1_ROI
3,130,41.8708240534521,bankssts_part2,L_STSdp_ROI
4,61,28.4061696658098,caudalanteriorcingulate_part1,L_p32pr_ROI
5,68,47.2972972972973,caudalmiddlefrontal_part1,L_8Av_ROI
6,74,76.9230769230769,caudalmiddlefrontal_part2,L_8C_ROI
7,68,61.1178614823815,caudalmiddlefrontal_part3,L_8Av_ROI
8,97,42.9133858267717,caudalmiddlefrontal_part4,L_6a_ROI
9,5,70.5653021442495,cuneus_part1,L_V2_ROI
10,5,67.7842565597668,cuneus_part2,L_V2_ROI
11,6,45.0530035335689,cuneus_part3,L_V3_ROI
12,123,71.4154411764706,entorhinal_part1,L_PeEc_ROI
13,139,50.2369668246445,fusiform_part1,L_PH_ROI
14,136,63.4177215189873,fusiform_part2,L_TF_ROI
15,8,46.9283276450512,fusiform_part3,L_V8_ROI
16,136,55.1963048498845,fusiform_part4,L_TF_ROI
17,155,37.7892030848329,fusiform_part5,L_VMV3_ROI
18,19,44.6111869031378,fusiform_part6,L_FFC_ROI
19,144,44.0089585666293,inferiorparietal_part1,L_PGp_ROI
20,151,76.078914919852,inferiorparietal_part2,L_PGi_ROI
21,146,46.9866071428571,inferiorparietal_part3,L_IP1_ROI
22,151,49.8936170212766,inferiorparietal_part4,L_PGi_ROI
23,146,40.1162790697674,inferiorparietal_part5,L_IP1_ROI
24,144,28.9709172259508,inferiorparietal_part6,L_PGp_ROI
25,150,56.4423076923077,inferiorparietal_part7,L_PFm_ROI
26,152,71.6627634660422,inferiorparietal_part8,L_PGs_ROI
27,150,61.3721804511278,inferiorparietal_part9,L_PFm_ROI
28,173,48.5215053763441,inferiortemporal_part1,L_TGv_ROI
29,139,56.5467625899281,inferiortemporal_part2,L_PH_ROI
30,135,73.6551724137931,inferiortemporal_part3,L_TE2a_ROI
31,137,44.2225392296719,inferiortemporal_part4,L_TE2p_ROI
32,134,38.265306122449,inferiortemporal_part5,L_TE1p_ROI
33,137,43.5075885328836,inferiortemporal_part6,L_TE2p_ROI
34,32,26.9230769230769,isthmuscingulate_part1,L_POS1_ROI
35,36,36.724960254372,isthmuscingulate_part2,L_31pv_ROI
36,7,46.4887640449438,lateraloccipital_part1,L_V4_ROI
37,158,28.8490284005979,lateraloccipital_part2,L_FST_ROI
38,7,31.4366998577525,lateraloccipital_part3,L_V4_ROI
39,7,39.3103448275862,lateraloccipital_part4,L_V4_ROI
40,5,46.0063897763578,lateraloccipital_part5,L_V2_ROI
41,24,30.225988700565,lateraloccipital_part6,L_MT_ROI
42,7,35.6589147286822,lateraloccipital_part7,L_V4_ROI
43,2,70.2746365105008,lateraloccipital_part8,L_V1_ROI
44,6,35.9605911330049,lateraloccipital_part9,L_V3_ROI
45,92,59.8976109215017,lateralorbitofrontal_part1,L_11l_ROI
46,95,25.4273504273504,lateralorbitofrontal_part2,L_47s_ROI
47,67,33.9009287925697,lateralorbitofrontal_part3,L_47m_ROI
48,93,55.5393586005831,lateralorbitofrontal_part4,L_13l_ROI
49,112,51.9317160826595,lateralorbitofrontal_part5,L_AVI_ROI
50,2,82.7146171693736,lingual_part1,L_V1_ROI
51,2,56.9169960474308,lingual_part2,L_V1_ROI
52,5,32.3453608247423,lingual_part3,L_V2_ROI
53,5,55.6179775280899,lingual_part4,L_V2_ROI
54,6,33.4975369458128,lingual_part5,L_V3_ROI
55,6,47.4645030425963,lingual_part6,L_V3_ROI
56,167,39.1908975979772,medialorbitofrontal_part1,L_pOFC_ROI
57,66,44.7415329768271,medialorbitofrontal_part2,L_10r_ROI
58,89,47.3773265651438,medialorbitofrontal_part3,L_10v_ROI
59,166,23.6127508854782,medialorbitofrontal_part4,L_s32_ROI
60,141,38.0764163372859,middletemporal_part1,L_TPOJ2_ROI
61,134,50.5249343832021,middletemporal_part2,L_TE1p_ROI
62,132,44.3148688046647,middletemporal_part3,L_TGd_ROI
63,131,60.186263096624,middletemporal_part4,L_STSvp_ROI
64,133,55.2295918367347,middletemporal_part5,L_TE1a_ROI
65,178,57.9896907216495,middletemporal_part6,L_TE1m_ROI
66,128,21.0735586481113,parahippocampal_part1,L_PHA3_ROI
67,37,39.1812865497076,paracentral_part1,L_5m_ROI
68,38,39.2322097378277,paracentral_part2,L_5mv_ROI
69,9,47.2764645426516,paracentral_part3,L_4_ROI
70,82,54.1605839416058,parsopercularis_part1,L_IFSp_ROI
71,109,53.0883502736513,parsopercularis_part2,L_FOP4_ROI
72,80,44.0080563947633,parsopercularis_part3,L_IFJa_ROI
73,78,58.2909460834181,parsorbitalis_part1,L_a47r_ROI
74,76,40.8212560386473,parstriangularis_part1,L_45_ROI
75,170,41.4448669201521,parstriangularis_part2,L_FOP5_ROI
76,2,100,pericalcarine_part1,L_V1_ROI
77,2,99.8603351955307,pericalcarine_part2,L_V1_ROI
78,2,100,pericalcarine_part3,L_V1_ROI
79,10,43.3165829145729,postcentral_part1,L_3b_ROI
80,101,40.2472527472528,postcentral_part2,L_OP4_ROI
81,10,50.2246181491465,postcentral_part3,L_3b_ROI
82,10,27.313769751693,postcentral_part4,L_3b_ROI
83,10,33.1468531468531,postcentral_part5,L_3b_ROI
84,53,47.2602739726027,postcentral_part6,L_2_ROI
85,10,50.6410256410256,postcentral_part7,L_3b_ROI
86,53,36.6957903097697,postcentral_part8,L_2_ROI
87,39,45.3995970449966,posteriorcingulate_part1,L_23c_ROI
88,42,25.9168704156479,posteriorcingulate_part2,L_24dv_ROI
