annot1_idx,annot2_idx,Gof,label1,label2
1,19,40.1816454944794,no label,FreeSurfer_Defined_Medial_Wall
2,15,99.2738589211618,bankssts_part1,17Networks_14
3,15,75.3897550111359,bankssts_part2,17Networks_14
4,9,46.7866323907455,caudalanteriorcingulate_part1,17Networks_8
5,17,53.3783783783784,caudalmiddlefrontal_part1,17Networks_16
6,14,49.5604395604396,caudalmiddlefrontal_part2,17Networks_13
7,18,66.221142162819,caudalmiddlefrontal_part3,17Networks_17
8,7,42.6181102362205,caudalmiddlefrontal_part4,17Networks_6
9,3,77.3879142300195,cuneus_part1,17Networks_2
10,3,99.8542274052478,cuneus_part2,17Networks_2
11,3,100,cuneus_part3,17Networks_2
12,10,100,entorhinal_part1,17Networks_9
13,6,59.2417061611374,fusiform_part1,17Networks_5
14,10,100,fusiform_part2,17Networks_9
15,2,100,fusiform_part3,17Networks_1
16,10,45.6120092378753,fusiform_part4,17Networks_9
17,2,87.9177377892031,fusiform_part5,17Networks_1
18,6,69.4406548431105,fusiform_part6,17Networks_5
19,6,65.3975363941769,inferiorparietal_part1,17Networks_5
20,18,76.6954377311961,inferiorparietal_part2,17Networks_17
21,13,35.2678571428571,inferiorparietal_part3,17Networks_12
22,18,34.468085106383,inferiorparietal_part4,17Networks_17
23,14,44.6511627906977,inferiorparietal_part5,17Networks_13
24,6,48.7695749440716,inferiorparietal_part6,17Networks_5
25,14,67.8846153846154,inferiorparietal_part7,17Networks_13
26,17,89.8126463700234,inferiorparietal_part8,17Networks_16
27,18,53.6654135338346,inferiorparietal_part9,17Networks_17
28,10,89.247311827957,inferiortemporal_part1,17Networks_9
29,6,67.0503597122302,inferiortemporal_part2,17Networks_5
30,10,59.8620689655172,inferiortemporal_part3,17Networks_9
31,10,47.5035663338088,inferiortemporal_part4,17Networks_9
32,13,75.1700680272109,inferiortemporal_part5,17Networks_12
33,14,41.6526138279933,inferiortemporal_part6,17Networks_13
34,16,33.8691159586682,isthmuscingulate_part1,17Networks_15
35,17,86.9634340222575,isthmuscingulate_part2,17Networks_16
36,2,99.2977528089888,lateraloccipital_part1,17Networks_1
37,6,62.3318385650224,lateraloccipital_part2,17Networks_5
38,2,91.0384068278805,lateraloccipital_part3,17Networks_1
39,2,100,lateraloccipital_part4,17Networks_1
40,2,99.8402555910543,lateraloccipital_part5,17Networks_1
