annot1_idx,annot2_idx,Gof,label1,label2
1,0,43.5949186750564,no label,no label
2,3,68.6721991701245,bankssts_part1,heteromodal
3,4,64.4766146993318,bankssts_part2,unimodal
4,2,77.3778920308483,caudalanteriorcingulate_part1,paralimbic
5,4,87.3873873873874,caudalmiddlefrontal_part1,unimodal
6,4,94.0659340659341,caudalmiddlefrontal_part2,unimodal
7,4,99.8784933171324,caudalmiddlefrontal_part3,unimodal
8,4,67.9133858267717,caudalmiddlefrontal_part4,unimodal
9,5,79.9220272904483,cuneus_part1,idiotypic
10,5,59.0379008746356,cuneus_part2,idiotypic
11,4,77.3851590106007,cuneus_part3,unimodal
12,2,93.5661764705882,entorhinal_part1,paralimbic
13,4,100,fusiform_part1,unimodal
14,4,42.4050632911392,fusiform_part2,unimodal
15,4,99.1467576791809,fusiform_part3,unimodal
16,4,96.7667436489607,fusiform_part4,unimodal
17,4,97.3007712082262,fusiform_part5,unimodal
18,4,100,fusiform_part6,unimodal
19,4,99.8880179171333,inferiorparietal_part1,unimodal
20,3,100,inferiorparietal_part2,heteromodal
21,3,78.0133928571429,inferiorparietal_part3,heteromodal
22,3,78.6170212765958,inferiorparietal_part4,heteromodal
23,3,100,inferiorparietal_part5,heteromodal
24,4,54.6979865771812,inferiorparietal_part6,unimodal
25,3,100,inferiorparietal_part7,heteromodal
26,3,99.2974238875878,inferiorparietal_part8,heteromodal
27,3,100,inferiorparietal_part9,heteromodal
28,4,62.9032258064516,inferiortemporal_part1,unimodal
29,4,96.4028776978417,inferiortemporal_part2,unimodal
30,4,97.5172413793103,inferiortemporal_part3,unimodal
31,4,97.8601997146933,inferiortemporal_part4,unimodal
32,4,96.9387755102041,inferiortemporal_part5,unimodal
33,4,95.4468802698145,inferiortemporal_part6,unimodal
34,2,36.0505166475316,isthmuscingulate_part1,paralimbic
35,2,52.543720190779,isthmuscingulate_part2,paralimbic
36,4,87.2191011235955,lateraloccipital_part1,unimodal
37,4,100,lateraloccipital_part2,unimodal
38,4,70.5547652916074,lateraloccipital_part3,unimodal
39,4,64.8275862068965,lateraloccipital_part4,unimodal
40,5,50.3194888178914,lateraloccipital_part5,idiotypic
41,4,100,lateraloccipital_part6,unimodal
42,4,87.2868217054263,lateraloccipital_part7,unimodal
43,5,100,lateraloccipital_part8,idiotypic
44,5,87.6847290640394,lateraloccipital_part9,idiotypic
45,3,79.0102389078498,lateralorbitofrontal_part1,heteromodal
46,2,92.0940170940171,lateralorbitofrontal_part2,paralimbic
47,2,69.0402476780186,lateralorbitofrontal_part3,paralimbic
48,2,100,lateralorbitofrontal_part4,paralimbic
49,2,77.6280323450135,lateralorbitofrontal_part5,paralimbic
50,5,100,lingual_part1,idiotypic
51,5,100,lingual_part2,idiotypic
52,5,100,lingual_part3,idiotypic
53,5,100,lingual_part4,idiotypic
54,5,82.9228243021346,lingual_part5,idiotypic
55,5,83.5699797160243,lingual_part6,idiotypic
56,2,64.8546144121365,medialorbitofrontal_part1,paralimbic
57,3,72.7272727272727,medialorbitofrontal_part2,heteromodal
58,2,86.9712351945854,medialorbitofrontal_part3,paralimbic
59,2,87.7213695395513,medialorbitofrontal_part4,paralimbic
60,3,58.8932806324111,middletemporal_part1,heteromodal
61,3,91.2073490813648,middletemporal_part2,heteromodal
62,3,69.8250728862974,middletemporal_part3,heteromodal
63,4,57.3923166472643,middletemporal_part4,unimodal
64,3,70.280612244898,middletemporal_part5,heteromodal
65,3,76.9329896907217,middletemporal_part6,heteromodal
66,3,53.1809145129225,parahippocampal_part1,heteromodal
67,5,95.906432748538,paracentral_part1,idiotypic
68,5,91.6666666666667,paracentral_part2,idiotypic
69,5,100,paracentral_part3,idiotypic
70,4,92.4087591240876,parsopercularis_part1,unimodal
71,3,52.697419859265,parsopercularis_part2,heteromodal
72,4,86.1027190332326,parsopercularis_part3,unimodal
73,3,99.4913530010173,parsorbitalis_part1,heteromodal
74,3,100,parstriangularis_part1,heteromodal
75,3,84.8669201520913,parstriangularis_part2,heteromodal
76,5,100,pericalcarine_part1,idiotypic
77,5,100,pericalcarine_part2,idiotypic
78,5,100,pericalcarine_part3,idiotypic
79,5,97.7889447236181,postcentral_part1,idiotypic
80,3,46.6346153846154,postcentral_part2,heteromodal
81,5,90.8355795148248,postcentral_part3,idiotypic
82,5,98.9841986455982,postcentral_part4,idiotypic
83,5,91.4685314685315,postcentral_part5,idiotypic
84,5,68.75,postcentral_part6,idiotypic
85,5,99.7863247863248,postcentral_part7,idiotypic
86,5,88.4034948371724,postcentral_part8,idiotypic
87,5,63.8012088650101,posteriorcingulate_part1,idiotypic
88,2,57.4572127139364,posteriorcingulate_part2,paralimbic
89,5,100,precentral_part1,idiotypic
90,4,48.7375669472073,precentral_part2,unimodal
91,5,100,precentral_part3,idiotypic
92,5,82.7458256029685,precentral_part4,idiotypic
93,5,99.8622589531681,precentral_part5,idiotypic
94,5,96.6691339748335,precentral_part6,idiotypic
95,5,100,precentral_part7,idiotypic
96,5,90.0578034682081,precentral_part8,idiotypic
97,5,100,precentral_part9,idiotypic
98,4,90.4013961605585,precuneus_part1,unimodal
99,3,68.0781758957655,precuneus_part2,heteromodal
100,5,59.3269230769231,precuneus_part3,idiotypic
101,3,97.7933801404213,precuneus_part4,heteromodal
102,4,65.138592750533,precuneus_part5,unimodal
103,3,83.0653804930332,precuneus_part6,heteromodal
104,3,100,precuneus_part7,heteromodal
105,2,75.8481421647819,rostralanteriorcingulate_part1,paralimbic
106,3,51.2071156289708,rostralmiddlefrontal_part1,heteromodal
107,3,71.6267339218159,rostralmiddlefrontal_part2,heteromodal
108,3,100,rostralmiddlefrontal_part3,heteromodal
109,3,97.7950713359274,rostralmiddlefrontal_part4,heteromodal
110,3,100,rostralmiddlefrontal_part5,heteromodal
111,3,100,rostralmiddlefrontal_part6,heteromodal
112,3,100,rostralmiddlefrontal_part7,heteromodal
113,3,100,rostralmiddlefrontal_part8,heteromodal
114,3,100,rostralmiddlefrontal_part9,heteromodal
115,3,100,rostralmiddlefrontal_part10,heteromodal
116,3,100,rostralmiddlefrontal_part11,heteromodal
117,5,70.8043694141013,superiorfrontal_part1,idiotypic
118,4,74.3324720068906,superiorfrontal_part2,unimodal
119,3,100,superiorfrontal_part3,heteromodal
120,3,100,superiorfrontal_part4,heteromodal
121,4,95.7213930348259,superiorfrontal_part5,unimodal
122,3,100,superiorfrontal_part6,heteromodal
123,4,98.6425339366516,superiorfrontal_part7,unimodal
124,3,100,superiorfrontal_part8,heteromodal
