annot1_idx,annot2_idx,Gof,label1,label2
1,10,49.3143773002493,no label,unknown
2,1,100,bankssts_part1,unknown
3,1,100,bankssts_part2,unknown
4,1,100,caudalanteriorcingulate_part1,unknown
5,1,100,caudalmiddlefrontal_part1,unknown
6,1,100,caudalmiddlefrontal_part2,unknown
7,1,100,caudalmiddlefrontal_part3,unknown
8,1,100,caudalmiddlefrontal_part4,unknown
9,1,100,cuneus_part1,unknown
10,1,100,cuneus_part2,unknown
11,1,100,cuneus_part3,unknown
12,1,85.5698529411765,entorhinal_part1,unknown
13,1,100,fusiform_part1,unknown
14,1,100,fusiform_part2,unknown
15,1,100,fusiform_part3,unknown
16,1,100,fusiform_part4,unknown
17,1,100,fusiform_part5,unknown
18,1,100,fusiform_part6,unknown
19,1,99.3281075027996,inferiorparietal_part1,unknown
20,1,100,inferiorparietal_part2,unknown
21,1,78.4598214285714,inferiorparietal_part3,unknown
22,1,100,inferiorparietal_part4,unknown
23,1,100,inferiorparietal_part5,unknown
24,1,100,inferiorparietal_part6,unknown
25,1,57.5961538461538,inferiorparietal_part7,unknown
26,1,100,inferiorparietal_part8,unknown
27,1,98.3082706766917,inferiorparietal_part9,unknown
28,1,100,inferiortemporal_part1,unknown
29,1,100,inferiortemporal_part2,unknown
30,1,100,inferiortemporal_part3,unknown
31,1,100,inferiortemporal_part4,unknown
32,1,100,inferiortemporal_part5,unknown
33,1,100,inferiortemporal_part6,unknown
34,1,90.9873708381171,isthmuscingulate_part1,unknown
35,1,100,isthmuscingulate_part2,unknown
36,1,100,lateraloccipital_part1,unknown
37,1,100,lateraloccipital_part2,unknown
38,1,100,lateraloccipital_part3,unknown
39,1,100,lateraloccipital_part4,unknown
40,1,100,lateraloccipital_part5,unknown
41,1,100,lateraloccipital_part6,unknown
42,1,100,lateraloccipital_part7,unknown
43,1,100,lateraloccipital_part8,unknown
44,1,100,lateraloccipital_part9,unknown
45,1,100,lateralorbitofrontal_part1,unknown
46,1,100,lateralorbitofrontal_part2,unknown
47,1,100,lateralorbitofrontal_part3,unknown
48,1,100,lateralorbitofrontal_part4,unknown
49,1,100,lateralorbitofrontal_part5,unknown
50,1,100,lingual_part1,unknown
51,1,100,lingual_part2,unknown
52,1,100,lingual_part3,unknown
53,1,100,lingual_part4,unknown
54,1,100,lingual_part5,unknown
55,1,100,lingual_part6,unknown
56,1,100,medialorbitofrontal_part1,unknown
57,1,100,medialorbitofrontal_part2,unknown
58,1,71.912013536379,medialorbitofrontal_part3,unknown
59,1,93.5064935064935,medialorbitofrontal_part4,unknown
60,1,100,middletemporal_part1,unknown
61,1,100,middletemporal_part2,unknown
62,1,100,middletemporal_part3,unknown
63,1,89.0570430733411,middletemporal_part4,unknown
64,1,100,middletemporal_part5,unknown
65,1,72.4226804123711,middletemporal_part6,unknown
66,1,99.403578528827,parahippocampal_part1,unknown
67,1,100,paracentral_part1,unknown
68,1,100,paracentral_part2,unknown
69,1,100,paracentral_part3,unknown
70,1,100,parsopercularis_part1,unknown
71,1,100,parsopercularis_part2,unknown
72,1,100,parsopercularis_part3,unknown
73,1,100,parsorbitalis_part1,unknown
74,1,96.256038647343,parstriangularis_part1,unknown
75,1,88.4410646387833,parstriangularis_part2,unknown
76,1,100,pericalcarine_part1,unknown
77,1,100,pericalcarine_part2,unknown
78,1,100,pericalcarine_part3,unknown
79,1,100,postcentral_part1,unknown
80,1,100,postcentral_part2,unknown
81,1,100,postcentral_part3,unknown
82,1,100,postcentral_part4,unknown
83,1,100,postcentral_part5,unknown
84,1,100,postcentral_part6,unknown
85,1,100,postcentral_part7,unknown
86,1,100,postcentral_part8,unknown
87,1,100,posteriorcingulate_part1,unknown
88,1,100,posteriorcingulate_part2,unknown
89,1,100,precentral_part1,unknown
90,1,100,precentral_part2,unknown
91,1,100,precentral_part3,unknown
92,1,100,precentral_part4,unknown
93,1,100,precentral_part5,unknown
94,1,100,precentral_part6,unknown
95,1,100,precentral_part7,unknown
96,1,100,precentral_part8,unknown
97,1,100,precentral_part9,unknown
98,1,100,precuneus_part1,unknown
99,1,100,precuneus_part2,unknown
100,1,94.2307692307692,precuneus_part3,unknown
101,1,100,precuneus_part4,unknown
102,1,100,precuneus_part5,unknown
103,1,100,precuneus_part6,unknown
104,1,100,precuneus_part7,unknown
105,1,100,rostralanteriorcingulate_part1,unknown
106,1,100,rostralmiddlefrontal_part1,unknown
107,1,100,rostralmiddlefrontal_part2,unknown
108,1,100,rostralmiddlefrontal_part3,unknown
109,1,100,rostralmiddlefrontal_part4,unknown
110,1,100,rostralmiddlefrontal_part5,unknown
111,1,99.8525073746313,rostralmiddlefrontal_part6,unknown
112,1,100,rostralmiddlefrontal_part7,unknown
113,1,100,rostralmiddlefrontal_part8,unknown
114,1,100,rostralmiddlefrontal_part9,unknown
115,1,100,rostralmiddlefrontal_part10,unknown
116,1,100,rostralmiddlefrontal_part11,unknown
117,1,100,superiorfrontal_part1,unknown
118,1,100,superiorfrontal_part2,unknown
119,1,100,superiorfrontal_part3,unknown
120,1,100,superiorfrontal_part4,unknown
121,1,100,superiorfrontal_part5,unknown
122,1,100,superiorfrontal_part6,unknown
123,1,100,superiorfrontal_part7,unknown
124,1,100,superiorfrontal_part8,unknown
125,1,100,superiorfrontal_part9,unknown
126,1,100,superiorfrontal_part10,unknown
127,1,100,superiorfrontal_part11,unknown
128,1,100,superiorfrontal_part12,unknown
129,1,100,superiorfrontal_part13,unknown
130,1,100,superiorparietal_part1,unknown
131,1,100,superiorparietal_part2,unknown
132,1,100,superiorparietal_part3,unknown
133,1,100,superiorparietal_part4,unknown
134,1,100,superiorparietal_part5,unknown
135,1,100,superiorparietal_part6,unknown
136,1,100,superiorparietal_part7,unknown
137,1,100,superiorparietal_part8,unknown
138,1,100,superiorparietal_part9,unknown
139,1,100,superiorparietal_part10,unknown
140,1,100,superiortemporal_part1,unknown
141,1,94.8545861297539,superiortemporal_part2,unknown
142,1,100,superiortemporal_part3,unknown
143,1,100,superiortemporal_part4,unknown
144,1,100,superiortemporal_part5,unknown
145,1,100,superiortemporal_part6,unknown
146,1,100,superiortemporal_part7,unknown
147,1,100,supramarginal_part1,unknown
148,1,100,supramarginal_part2,unknown
149,1,100,supramarginal_part3,unknown
150,1,100,supramarginal_part4,unknown
151,1,100,supramarginal_part5,unknown
152,1,100,supramarginal_part6,unknown
153,1,96.830985915493,supramarginal_part7,unknown
154,1,100,frontalpole_part1,unknown
155,1,69.8689956331878,temporalpole_part1,unknown
156,1,100,transversetemporal_part1,unknown
157,1,98.2608695652174,insula_part1,unknown
158,1,100,insula_part2,unknown
159,1,100,insula_part3,unknown
160,1,100,insula_part4,unknown
161,10,100,bankssts_part1,unknown
162,10,100,bankssts_part2,unknown
163,10,100,caudalanteriorcingulate_part1,unknown
164,10,100,caudalmiddlefrontal_part1,unknown
165,10,100,caudalmiddlefrontal_part2,unknown
166,10,100,caudalmiddlefrontal_part3,unknown
167,10,100,caudalmiddlefrontal_part4,unknown
168,10,100,cuneus_part1,unknown
169,10,100,cuneus_part2,unknown
170,10,100,cuneus_part3,unknown
171,10,75.4332313965342,entorhinal_part1,unknown
172,10,100,fusiform_part1,unknown
173,10,100,fusiform_part2,unknown
174,10,100,fusiform_part3,unknown
175,10,100,fusiform_part4,unknown
176,10,100,fusiform_part5,unknown
177,10,100,fusiform_part6,unknown
178,10,83.7342497136312,inferiorparietal_part1,unknown
179,10,100,inferiorparietal_part2,unknown
180,10,95.2127659574468,inferiorparietal_part3,unknown
181,10,100,inferiorparietal_part4,unknown
182,10,98.1447124304267,inferiorparietal_part5,unknown
183,10,100,inferiorparietal_part6,unknown
184,10,73.6301369863014,inferiorparietal_part7,unknown
185,10,100,inferiorparietal_part8,unknown
186,10,100,inferiorparietal_part9,unknown
187,10,100,inferiortemporal_part1,unknown
188,10,100,inferiortemporal_part2,unknown
189,10,100,inferiortemporal_part3,unknown
190,10,100,inferiortemporal_part4,unknown
191,10,100,inferiortemporal_part5,unknown
192,10,100,inferiortemporal_part6,unknown
193,10,93.634741225461,isthmuscingulate_part1,unknown
194,10,93.2098765432099,isthmuscingulate_part2,unknown
195,10,100,lateraloccipital_part1,unknown
196,10,100,lateraloccipital_part2,unknown
197,10,100,lateraloccipital_part3,unknown
198,10,100,lateraloccipital_part4,unknown
199,10,100,lateraloccipital_part5,unknown
200,10,100,lateraloccipital_part6,unknown
201,10,100,lateraloccipital_part7,unknown
202,10,100,lateraloccipital_part8,unknown
203,10,100,lateraloccipital_part9,unknown
204,10,100,lateralorbitofrontal_part1,unknown
205,10,97.8189749182116,lateralorbitofrontal_part2,unknown
206,10,100,lateralorbitofrontal_part3,unknown
207,10,98.8679245283019,lateralorbitofrontal_part4,unknown
208,10,100,lateralorbitofrontal_part5,unknown
209,10,100,lingual_part1,unknown
210,10,100,lingual_part2,unknown
211,10,100,lingual_part3,unknown
212,10,100,lingual_part4,unknown
213,10,100,lingual_part5,unknown
214,10,100,lingual_part6,unknown
215,10,58.7616822429907,medialorbitofrontal_part1,unknown
216,10,100,medialorbitofrontal_part2,unknown
217,10,100,medialorbitofrontal_part3,unknown
218,10,96.7647058823529,medialorbitofrontal_part4,unknown
219,10,72.7391874180865,middletemporal_part1,unknown
220,10,75.3504672897196,middletemporal_part2,unknown
