annot1_idx,annot2_idx,Gof,label1,label2
1,506,38.1485219043096,no label,sjh_0
2,303,37.0331950207469,bankssts_part1,sjh_305
3,301,40.8685968819599,bankssts_part2,sjh_303
4,439,25.1285347043702,caudalanteriorcingulate_part1,sjh_441
5,47,34.4594594594595,caudalmiddlefrontal_part1,sjh_46
6,57,40,caudalmiddlefrontal_part2,sjh_56
7,42,18.955042527339,caudalmiddlefrontal_part3,sjh_41
8,45,30.0196850393701,caudalmiddlefrontal_part4,sjh_44
9,140,37.4269005847953,cuneus_part1,sjh_139
10,396,24.3440233236152,cuneus_part2,sjh_398
11,144,28.6219081272085,cuneus_part3,sjh_143
12,318,25.3676470588235,entorhinal_part1,sjh_320
13,464,34.7551342812006,fusiform_part1,sjh_466
14,193,30.8860759493671,fusiform_part2,sjh_192
15,475,30.0341296928328,fusiform_part3,sjh_477
16,194,45.4965357967667,fusiform_part4,sjh_193
17,198,29.8200514138817,fusiform_part5,sjh_197
18,348,30.968622100955,fusiform_part6,sjh_350
19,173,24.0761478163494,inferiorparietal_part1,sjh_172
20,305,33.1689272503083,inferiorparietal_part2,sjh_307
21,436,31.9196428571429,inferiorparietal_part3,sjh_438
22,184,57.3404255319149,inferiorparietal_part4,sjh_183
23,229,31.8604651162791,inferiorparietal_part5,sjh_230
24,183,30.6487695749441,inferiorparietal_part6,sjh_182
25,244,49.0384615384615,inferiorparietal_part7,sjh_245
26,182,43.559718969555,inferiorparietal_part8,sjh_181
27,248,21.3345864661654,inferiorparietal_part9,sjh_249
28,330,33.1989247311828,inferiortemporal_part1,sjh_332
29,186,67.9136690647482,inferiortemporal_part2,sjh_185
30,334,45.2413793103448,inferiortemporal_part3,sjh_336
31,331,35.3780313837375,inferiortemporal_part4,sjh_333
32,325,42.3469387755102,inferiortemporal_part5,sjh_327
33,326,50.9274873524452,inferiortemporal_part6,sjh_328
34,264,20.8381171067738,isthmuscingulate_part1,sjh_265
35,123,25.516693163752,isthmuscingulate_part2,sjh_122
36,171,18.9606741573034,lateraloccipital_part1,sjh_170
37,188,62.4813153961136,lateraloccipital_part2,sjh_187
38,172,46.6571834992888,lateraloccipital_part3,sjh_171
39,478,26.551724137931,lateraloccipital_part4,sjh_480
40,155,26.038338658147,lateraloccipital_part5,sjh_154
41,479,31.0734463276836,lateraloccipital_part6,sjh_481
42,477,40.6201550387597,lateraloccipital_part7,sjh_479
43,132,26.8174474959612,lateraloccipital_part8,sjh_131
44,341,31.5270935960591,lateraloccipital_part9,sjh_343
45,34,27.4744027303754,lateralorbitofrontal_part1,sjh_33
46,75,40.491452991453,lateralorbitofrontal_part2,sjh_74
47,74,37.9256965944272,lateralorbitofrontal_part3,sjh_73
48,33,26.2390670553936,lateralorbitofrontal_part4,sjh_32
49,97,35.0404312668464,lateralorbitofrontal_part5,sjh_96
50,134,39.6751740139211,lingual_part1,sjh_133
51,141,54.3478260869565,lingual_part2,sjh_140
52,156,28.6082474226804,lingual_part3,sjh_155
53,137,32.5842696629214,lingual_part4,sjh_136
54,161,27.9146141215107,lingual_part5,sjh_160
55,161,29.2089249492901,lingual_part6,sjh_160
56,419,27.307206068268,medialorbitofrontal_part1,sjh_421
57,490,23.8859180035651,medialorbitofrontal_part2,sjh_492
58,377,34.5177664974619,medialorbitofrontal_part3,sjh_379
59,93,17.4734356552538,medialorbitofrontal_part4,sjh_92
60,185,29.9077733860343,middletemporal_part1,sjh_184
61,312,39.501312335958,middletemporal_part2,sjh_314
62,311,29.1545189504373,middletemporal_part3,sjh_313
63,357,36.5541327124563,middletemporal_part4,sjh_359
64,304,31.25,middletemporal_part5,sjh_306
65,315,32.0876288659794,middletemporal_part6,sjh_317
66,163,13.5188866799205,parahippocampal_part1,sjh_162
67,274,29.2397660818713,paracentral_part1,sjh_275
68,271,26.7790262172285,paracentral_part2,sjh_272
69,268,21.6855087358684,paracentral_part3,sjh_269
70,68,36.7883211678832,parsopercularis_part1,sjh_67
71,375,26.3487099296325,parsopercularis_part2,sjh_377
72,64,35.2467270896274,parsopercularis_part3,sjh_63
73,467,19.0233977619532,parsorbitalis_part1,sjh_469
74,462,33.2125603864734,parstriangularis_part1,sjh_464
75,71,35.1330798479087,parstriangularis_part2,sjh_70
76,131,38.9072847682119,pericalcarine_part1,sjh_130
77,136,47.3463687150838,pericalcarine_part2,sjh_135
78,138,49.113475177305,pericalcarine_part3,sjh_137
79,365,20.6030150753769,postcentral_part1,sjh_367
80,363,24.2445054945055,postcentral_part2,sjh_365
81,202,30.5480682839173,postcentral_part3,sjh_201
82,205,32.8442437923251,postcentral_part4,sjh_204
83,201,22.2377622377622,postcentral_part5,sjh_200
84,213,23.0308219178082,postcentral_part6,sjh_212
85,204,27.1367521367521,postcentral_part7,sjh_203
86,214,17.1564733915806,postcentral_part8,sjh_213
87,116,30.8260577568838,posteriorcingulate_part1,sjh_115
88,117,25.5501222493887,posteriorcingulate_part2,sjh_116
89,14,21.6604244694132,precentral_part1,sjh_13
90,76,25.6312165263963,precentral_part2,sjh_75
91,365,24.7181266261925,precentral_part3,sjh_367
92,10,24.2115027829314,precentral_part4,sjh_9
93,3,39.1184573002755,precentral_part5,sjh_2
94,7,20.9474463360474,precentral_part6,sjh_6
95,18,42.9298067141404,precentral_part7,sjh_17
96,4,30.0578034682081,precentral_part8,sjh_3
97,9,40.0765794511806,precentral_part9,sjh_8
98,250,28.8830715532286,precuneus_part1,sjh_251
99,353,30.6188925081433,precuneus_part2,sjh_355
100,150,26.3461538461538,precuneus_part3,sjh_149
101,252,45.135406218656,precuneus_part4,sjh_253
102,265,21.4285714285714,precuneus_part5,sjh_266
103,384,32.368703108253,precuneus_part6,sjh_386
104,263,31.3549832026876,precuneus_part7,sjh_264
105,452,22.7786752827141,rostralanteriorcingulate_part1,sjh_454
106,434,22.7445997458704,rostralmiddlefrontal_part1,sjh_436
107,465,35.687263556116,rostralmiddlefrontal_part2,sjh_467
108,35,25.473321858864,rostralmiddlefrontal_part3,sjh_34
109,52,53.4370946822309,rostralmiddlefrontal_part4,sjh_51
110,468,27.613104524181,rostralmiddlefrontal_part5,sjh_470
111,336,25.9587020648968,rostralmiddlefrontal_part6,sjh_338
112,55,27.7272727272727,rostralmiddlefrontal_part7,sjh_54
113,446,32.2056833558863,rostralmiddlefrontal_part8,sjh_448
114,25,44.9319213313162,rostralmiddlefrontal_part9,sjh_24
115,54,34.4285714285714,rostralmiddlefrontal_part10,sjh_53
