annot1_idx,annot2_idx,Gof,label1,label2
1,0,96.3528053005896,no matching lookup,no label
2,78,17.1011719684286,L_V1_ROI,pericalcarine_part2
3,38,37.7777777777778,L_MST_ROI,lateraloccipital_part2
4,11,27.5049115913556,L_V6_ROI,cuneus_part2
5,11,15.4126615843553,L_V2_ROI,cuneus_part2
6,41,13.5416666666667,L_V3_ROI,lateraloccipital_part5
7,37,21.2043561819347,L_V4_ROI,lateraloccipital_part1
8,16,92.5925925925926,L_V8_ROI,fusiform_part3
9,98,22.1170610211706,L_4_ROI,precentral_part9
10,82,19.6485061511424,L_3b_ROI,postcentral_part3
11,98,35.3365384615385,L_FEF_ROI,precentral_part9
12,95,49.6,L_PEF_ROI,precentral_part6
13,97,70.2743902439024,L_55b_ROI,precentral_part8
14,135,66.820987654321,L_V3A_ROI,superiorparietal_part5
15,35,42.5228891149542,L_RSC_ROI,isthmuscingulate_part1
16,104,46.0711331679074,L_POS2_ROI,precuneus_part6
17,136,72.992700729927,L_V7_ROI,superiorparietal_part6
18,137,71.1656441717791,L_IPS1_ROI,superiorparietal_part7
19,19,41.9230769230769,L_FFC_ROI,fusiform_part6
20,137,55.7422969187675,L_V3B_ROI,superiorparietal_part7
21,39,64.1509433962264,L_LO1_ROI,lateraloccipital_part3
22,43,40.2476780185758,L_LO2_ROI,lateraloccipital_part7
23,40,41.0828025477707,L_PIT_ROI,lateraloccipital_part4
24,42,73.2876712328767,L_MT_ROI,lateraloccipital_part6
25,157,93,L_A1_ROI,transversetemporal_part1
26,143,34.8224513172967,L_PSL_ROI,superiortemporal_part3
27,124,55.1801801801802,L_SFL_ROI,superiorfrontal_part7
28,100,62.0786516853933,L_PCV_ROI,precuneus_part2
29,2,52.3529411764706,L_STV_ROI,bankssts_part1
30,102,62.4489795918367,L_7Pm_ROI,precuneus_part4
31,105,48.1132075471698,L_7m_ROI,precuneus_part7
32,101,50.8133971291866,L_POS1_ROI,precuneus_part3
33,88,63.2093933463796,L_23d_ROI,posteriorcingulate_part1
34,35,63.7096774193548,L_v23ab_ROI,isthmuscingulate_part1
35,36,78.1970649895178,L_d23ab_ROI,isthmuscingulate_part2
36,36,91.304347826087,L_31pv_ROI,isthmuscingulate_part2
37,68,66.6003976143141,L_5m_ROI,paracentral_part1
38,69,42.8863868986694,L_5mv_ROI,paracentral_part2
39,88,53.950518754988,L_23c_ROI,posteriorcingulate_part1
40,99,59.4847775175644,L_5L_ROI,precuneus_part1
41,119,31.5695067264574,L_24dd_ROI,superiorfrontal_part2
42,89,62.629246676514,L_24dv_ROI,posteriorcingulate_part2
43,131,53.3271719038817,L_7AL_ROI,superiorparietal_part1
44,119,45.1273046532046,L_SCEF_ROI,superiorfrontal_part2
45,122,45.0310559006211,L_6ma_ROI,superiorfrontal_part5
46,102,47.0869149952244,L_7Am_ROI,precuneus_part4
47,132,90.5838041431262,L_7PL_ROI,superiorparietal_part2
48,134,61.1560693641618,L_7PC_ROI,superiorparietal_part4
49,139,42.7450980392157,L_LIPv_ROI,superiorparietal_part9
50,138,69.5278969957081,L_VIP_ROI,superiorparietal_part8
51,140,58.1196581196581,L_MIP_ROI,superiorparietal_part10
52,82,18.40888066605,L_1_ROI,postcentral_part3
53,85,21.6131558339859,L_2_ROI,postcentral_part6
54,90,22.3509933774834,L_3a_ROI,precentral_part1
55,90,38.1679389312977,L_6d_ROI,precentral_part1
56,118,38.7029288702929,L_6mp_ROI,superiorfrontal_part1
57,93,46.6522678185745,L_6v_ROI,precentral_part4
58,89,83.4070796460177,L_p24pr_ROI,posteriorcingulate_part2
59,4,45.6591639871383,L_33pr_ROI,caudalanteriorcingulate_part1
60,4,100,L_a24pr_ROI,caudalanteriorcingulate_part1
61,4,60.3825136612022,L_p32pr_ROI,caudalanteriorcingulate_part1
62,106,100,L_a24_ROI,rostralanteriorcingulate_part1
63,125,56.3405797101449,L_d32_ROI,superiorfrontal_part8
64,130,47.247119078105,L_8BM_ROI,superiorfrontal_part13
65,58,35.7466063348416,L_p32_ROI,medialorbitofrontal_part2
66,58,56.4044943820225,L_10r_ROI,medialorbitofrontal_part2
67,48,92.4050632911392,L_47m_ROI,lateralorbitofrontal_part3
68,7,51.4841351074719,L_8Av_ROI,caudalmiddlefrontal_part3
69,127,37.8565254969749,L_8Ad_ROI,superiorfrontal_part10
70,123,47.1929824561404,L_9m_ROI,superiorfrontal_part6
71,127,45.0236966824645,L_8BL_ROI,superiorfrontal_part10
72,128,65.7219973009447,L_9p_ROI,superiorfrontal_part11
73,120,62.1683967704729,L_10d_ROI,superiorfrontal_part3
74,6,67.1785028790787,L_8C_ROI,caudalmiddlefrontal_part2
75,72,45.1149425287356,L_44_ROI,parsopercularis_part2
76,76,51.0460251046025,L_45_ROI,parstriangularis_part2
77,74,52.5114155251142,L_47l_ROI,parsorbitalis_part1
78,74,62.6229508196721,L_a47r_ROI,parsorbitalis_part1
79,93,38.6904761904762,L_6r_ROI,precentral_part4
80,73,77.0723104056437,L_IFJa_ROI,parsopercularis_part3
81,93,49.003984063745,L_IFJp_ROI,precentral_part4
82,71,71.3461538461539,L_IFSp_ROI,parsopercularis_part1
83,112,31.0810810810811,L_IFSa_ROI,rostralmiddlefrontal_part6
84,108,58.816120906801,L_p9-46v_ROI,rostralmiddlefrontal_part2
85,116,32.639545884579,L_46_ROI,rostralmiddlefrontal_part10
86,113,65.0618982118294,L_a9-46v_ROI,rostralmiddlefrontal_part7
87,116,25.1497005988024,L_9-46d_ROI,rostralmiddlefrontal_part10
88,117,35.3811149032992,L_9a_ROI,rostralmiddlefrontal_part11
89,59,40.3458213256484,L_10v_ROI,medialorbitofrontal_part3
90,109,44.327731092437,L_a10p_ROI,rostralmiddlefrontal_part3
91,155,39.1521197007481,L_10pp_ROI,frontalpole_part1
92,46,49.2286115007013,L_11l_ROI,lateralorbitofrontal_part1
93,49,48.1668773704172,L_13l_ROI,lateralorbitofrontal_part4
94,49,22.8547153780799,L_OFC_ROI,lateralorbitofrontal_part4
95,50,55.9105431309904,L_47s_ROI,lateralorbitofrontal_part5
96,139,76.260162601626,L_LIPd_ROI,superiorparietal_part9
97,122,31.728045325779,L_6a_ROI,superiorfrontal_part5
98,8,40.0728597449909,L_i6-8_ROI,caudalmiddlefrontal_part4
99,126,94.4625407166124,L_s6-8_ROI,superiorfrontal_part9
100,91,45.8259325044405,L_43_ROI,precentral_part2
101,81,64.9667405764967,L_OP4_ROI,postcentral_part2
102,148,72.5,L_OP1_ROI,supramarginal_part1
103,81,52.9323308270677,L_OP2-3_ROI,postcentral_part2
104,160,59.9605522682446,L_52_ROI,insula_part3
105,148,54.7854785478548,L_RI_ROI,supramarginal_part1
106,149,52.8718703976436,L_PFcm_ROI,supramarginal_part2
107,161,34.2857142857143,L_PoI2_ROI,insula_part4
108,145,52.9411764705882,L_TA2_ROI,superiortemporal_part5
109,72,67.7644710578842,L_FOP4_ROI,parsopercularis_part2
110,161,59.1690544412607,L_MI_ROI,insula_part4
111,158,88.4902840059791,L_Pir_ROI,insula_part1
112,50,80.7262569832402,L_AVI_ROI,lateralorbitofrontal_part5
113,158,89.6487985212569,L_AAIC_ROI,insula_part1
114,91,100,L_FOP1_ROI,precentral_part2
115,159,71.5116279069768,L_FOP3_ROI,insula_part2
116,91,52.75,L_FOP2_ROI,precentral_part2
117,151,59.4444444444444,L_PFt_ROI,supramarginal_part4
118,150,48.0170835875534,L_AIP_ROI,supramarginal_part3
119,0,81.3121272365805,L_EC_ROI,no label
120,0,98.122866894198,L_PreS_ROI,no label
121,0,100,L_H_ROI,no label
122,35,57.536231884058,L_ProS_ROI,isthmuscingulate_part1
123,13,62.6612903225806,L_PeEc_ROI,entorhinal_part1
124,142,65.2733118971061,L_STGa_ROI,superiortemporal_part2
125,144,35.8389261744966,L_PBelt_ROI,superiortemporal_part4
126,141,39.945652173913,L_A5_ROI,superiortemporal_part1
127,67,69.4827586206897,L_PHA1_ROI,parahippocampal_part1
128,67,59.2178770949721,L_PHA3_ROI,parahippocampal_part1
129,147,58.1504702194357,L_STSda_ROI,superiortemporal_part7
130,141,43.6192468619247,L_STSdp_ROI,superiortemporal_part1
131,64,50.1454898157129,L_STSvp_ROI,middletemporal_part4
132,156,37.4164810690423,L_TGd_ROI,temporalpole_part1
133,65,57.2751322751323,L_TE1a_ROI,middletemporal_part5
134,62,32.8218243819267,L_TE1p_ROI,middletemporal_part2
135,31,44.0957886044591,L_TE2a_ROI,inferiortemporal_part3
136,15,37.1661721068249,L_TF_ROI,fusiform_part2
137,32,38.4615384615385,L_TE2p_ROI,inferiortemporal_part4
138,62,36.2068965517241,L_PHT_ROI,middletemporal_part2
139,30,39.1824526420738,L_PH_ROI,inferiortemporal_part2
140,2,68.107476635514,L_TPOJ1_ROI,bankssts_part1
141,61,48.4087102177554,L_TPOJ2_ROI,middletemporal_part1
142,25,60.75,L_TPOJ3_ROI,inferiorparietal_part6
143,101,33.4302325581395,L_DVT_ROI,precuneus_part3
144,20,58.6567164179104,L_PGp_ROI,inferiorparietal_part1
145,26,44.4,L_IP2_ROI,inferiorparietal_part7
146,22,51.4041514041514,L_IP1_ROI,inferiorparietal_part3
147,20,57.0342205323194,L_IP0_ROI,inferiorparietal_part1
148,153,73.0631704410012,L_PFop_ROI,supramarginal_part6
149,149,22.4209078404402,L_PF_ROI,supramarginal_part2
150,28,26.6421868625051,L_PFm_ROI,inferiorparietal_part9
151,21,35.3784403669725,L_PGi_ROI,inferiorparietal_part2
152,27,46.2235649546828,L_PGs_ROI,inferiorparietal_part8
153,136,100,L_V6A_ROI,superiorparietal_part6
154,67,63.3867276887872,L_VMV1_ROI,parahippocampal_part1
155,18,94.8387096774194,L_VMV3_ROI,fusiform_part5
156,67,100,L_PHA2_ROI,parahippocampal_part1
157,42,57.258064516129,L_V4t_ROI,lateraloccipital_part6
158,30,36,L_FST_ROI,inferiortemporal_part2
159,37,36.436170212766,L_V3CD_ROI,lateraloccipital_part1
160,39,48.9230769230769,L_LO3_ROI,lateraloccipital_part3
161,55,35.4466858789625,L_VMV2_ROI,lingual_part5
162,105,68.8073394495413,L_31pd_ROI,precuneus_part7
163,88,36.7052023121387,L_31a_ROI,posteriorcingulate_part1
164,18,40.9810126582278,L_VVC_ROI,fusiform_part5
165,106,38.3928571428571,L_25_ROI,rostralanteriorcingulate_part1
166,60,71.4285714285714,L_s32_ROI,medialorbitofrontal_part4
167,57,56.672760511883,L_pOFC_ROI,medialorbitofrontal_part1
168,161,32.8165374677003,L_PoI1_ROI,insula_part4
169,160,69.4852941176471,L_Ig_ROI,insula_part3
170,76,76.9774011299435,L_FOP5_ROI,parstriangularis_part2
171,115,90.1639344262295,L_p10p_ROI,rostralmiddlefrontal_part9
172,75,38.2303839732888,L_p47r_ROI,parstriangularis_part1
173,29,54.6142208774584,L_TGv_ROI,inferiortemporal_part1
174,157,37.1666666666667,L_MBelt_ROI,transversetemporal_part1
175,157,43.824027072758,L_LBelt_ROI,transversetemporal_part1
176,141,40.1483050847458,L_A4_ROI,superiortemporal_part1
177,147,29.0854572713643,L_STSva_ROI,superiortemporal_part7
178,66,67.8733031674208,L_TE1m_ROI,middletemporal_part6
179,142,44.070796460177,L_PI_ROI,superiortemporal_part2
180,4,54.4592030360531,L_a32pr_ROI,caudalanteriorcingulate_part1
