annot1_idx,annot2_idx,Gof,label1,label2
1,0,100,no matching lookup,no matching lookup
2,2,100,L_V1_ROI,L_V1_ROI
3,3,100,L_MST_ROI,L_MST_ROI
4,4,100,L_V6_ROI,L_V6_ROI
5,5,100,L_V2_ROI,L_V2_ROI
6,6,100,L_V3_ROI,L_V3_ROI
7,7,100,L_V4_ROI,L_V4_ROI
8,8,100,L_V8_ROI,L_V8_ROI
9,9,100,L_4_ROI,L_4_ROI
10,10,100,L_3b_ROI,L_3b_ROI
11,11,100,L_FEF_ROI,L_FEF_ROI
12,12,100,L_PEF_ROI,L_PEF_ROI
13,13,100,L_55b_ROI,L_55b_ROI
14,14,100,L_V3A_ROI,L_V3A_ROI
15,15,100,L_RSC_ROI,L_RSC_ROI
16,16,100,L_POS2_ROI,L_POS2_ROI
17,17,100,L_V7_ROI,L_V7_ROI
18,18,100,L_IPS1_ROI,L_IPS1_ROI
19,19,100,L_FFC_ROI,L_FFC_ROI
20,20,100,L_V3B_ROI,L_V3B_ROI
21,21,100,L_LO1_ROI,L_LO1_ROI
22,22,100,L_LO2_ROI,L_LO2_ROI
23,23,100,L_PIT_ROI,L_PIT_ROI
24,24,100,L_MT_ROI,L_MT_ROI
25,25,100,L_A1_ROI,L_A1_ROI
26,26,100,L_PSL_ROI,L_PSL_ROI
27,27,100,L_SFL_ROI,L_SFL_ROI
28,28,100,L_PCV_ROI,L_PCV_ROI
29,29,100,L_STV_ROI,L_STV_ROI
30,30,100,L_7Pm_ROI,L_7Pm_ROI
31,31,100,L_7m_ROI,L_7m_ROI
32,32,100,L_POS1_ROI,L_POS1_ROI
33,33,100,L_23d_ROI,L_23d_ROI
34,34,100,L_v23ab_ROI,L_v23ab_ROI
35,35,100,L_d23ab_ROI,L_d23ab_ROI
36,36,100,L_31pv_ROI,L_31pv_ROI
37,37,100,L_5m_ROI,L_5m_ROI
38,38,100,L_5mv_ROI,L_5mv_ROI
39,39,100,L_23c_ROI,L_23c_ROI
40,40,100,L_5L_ROI,L_5L_ROI
41,41,100,L_24dd_ROI,L_24dd_ROI
42,42,100,L_24dv_ROI,L_24dv_ROI
43,43,100,L_7AL_ROI,L_7AL_ROI
44,44,100,L_SCEF_ROI,L_SCEF_ROI
45,45,100,L_6ma_ROI,L_6ma_ROI
46,46,100,L_7Am_ROI,L_7Am_ROI
47,47,100,L_7PL_ROI,L_7PL_ROI
48,48,100,L_7PC_ROI,L_7PC_ROI
49,49,100,L_LIPv_ROI,L_LIPv_ROI
50,50,100,L_VIP_ROI,L_VIP_ROI
51,51,100,L_MIP_ROI,L_MIP_ROI
52,52,100,L_1_ROI,L_1_ROI
