annot1_idx,annot2_idx,Gof,label1,label2
1,9,49.0912406540636,no matching lookup,parc_0
2,6,70.4616120545324,L_V1_ROI,parc_5
3,5,100,L_MST_ROI,parc_4
4,5,90.3732809430255,L_V6_ROI,parc_4
5,5,88.4653629433212,L_V2_ROI,parc_4
6,5,100,L_V3_ROI,parc_4
7,5,100,L_V4_ROI,parc_4
8,5,100,L_V8_ROI,parc_4
9,2,96.0149439601494,L_4_ROI,parc_1
10,3,50.0527240773286,L_3b_ROI,parc_2
11,2,66.5865384615385,L_FEF_ROI,parc_1
12,2,54.1333333333333,L_PEF_ROI,parc_1
13,2,75.4573170731707,L_55b_ROI,parc_1
14,5,100,L_V3A_ROI,parc_4
15,7,69.0742624618515,L_RSC_ROI,parc_6
16,3,100,L_POS2_ROI,parc_2
17,5,59.1240875912409,L_V7_ROI,parc_4
18,3,100,L_IPS1_ROI,parc_2
19,5,52.6923076923077,L_FFC_ROI,parc_4
20,5,69.4677871148459,L_V3B_ROI,parc_4
21,5,100,L_LO1_ROI,parc_4
22,5,100,L_LO2_ROI,parc_4
23,5,100,L_PIT_ROI,parc_4
24,5,100,L_MT_ROI,parc_4
25,6,64.75,L_A1_ROI,parc_5
26,3,57.1592210767468,L_PSL_ROI,parc_2
27,3,100,L_SFL_ROI,parc_2
28,3,100,L_PCV_ROI,parc_2
29,3,84.8529411764706,L_STV_ROI,parc_2
30,3,100,L_7Pm_ROI,parc_2
31,3,100,L_7m_ROI,parc_2
32,6,44.9760765550239,L_POS1_ROI,parc_5
33,7,100,L_23d_ROI,parc_6
34,7,83.8709677419355,L_v23ab_ROI,parc_6
35,7,100,L_d23ab_ROI,parc_6
36,7,96.4426877470356,L_31pv_ROI,parc_6
37,2,86.2823061630219,L_5m_ROI,parc_1
38,3,52.0982599795292,L_5mv_ROI,parc_2
39,7,76.6959297685555,L_23c_ROI,parc_6
40,6,78.1030444964871,L_5L_ROI,parc_5
41,3,71.1210762331839,L_24dd_ROI,parc_2
42,3,71.1964549483013,L_24dv_ROI,parc_2
43,3,57.7634011090573,L_7AL_ROI,parc_2
44,3,100,L_SCEF_ROI,parc_2
45,3,100,L_6ma_ROI,parc_2
46,3,99.9044890162369,L_7Am_ROI,parc_2
47,3,100,L_7PL_ROI,parc_2
48,4,84.8554913294798,L_7PC_ROI,parc_3
49,4,86.4052287581699,L_LIPv_ROI,parc_3
50,3,91.1301859799714,L_VIP_ROI,parc_2
51,3,86.4468864468865,L_MIP_ROI,parc_2
52,6,84.9213691026827,L_1_ROI,parc_5
53,4,95.1448707909162,L_2_ROI,parc_3
54,2,49.2273730684327,L_3a_ROI,parc_1
55,2,99.7818974918212,L_6d_ROI,parc_1
56,2,53.6959553695955,L_6mp_ROI,parc_1
57,3,54.4276457883369,L_6v_ROI,parc_2
58,7,100,L_p24pr_ROI,parc_6
59,7,86.4951768488746,L_33pr_ROI,parc_6
60,7,100,L_a24pr_ROI,parc_6
61,3,63.2513661202186,L_p32pr_ROI,parc_2
62,5,56.8539325842697,L_a24_ROI,parc_4
