annot1_idx,annot2_idx,Gof,label1,label2
1,0,47.9849249285758,no matching lookup,no label
2,5,100,L_V1_ROI,idiotypic
3,4,100,L_MST_ROI,unimodal
4,4,99.803536345776,L_V6_ROI,unimodal
5,5,83.2615180643023,L_V2_ROI,idiotypic
6,5,54.8958333333333,L_V3_ROI,idiotypic
7,4,71.044202434337,L_V4_ROI,unimodal
8,4,100,L_V8_ROI,unimodal
9,5,100,L_4_ROI,idiotypic
10,5,100,L_3b_ROI,idiotypic
11,5,88.3413461538462,L_FEF_ROI,idiotypic
12,5,96.5333333333333,L_PEF_ROI,idiotypic
13,5,64.0243902439024,L_55b_ROI,idiotypic
14,4,100,L_V3A_ROI,unimodal
15,2,75.0762970498474,L_RSC_ROI,paralimbic
16,3,61.7866004962779,L_POS2_ROI,heteromodal
17,4,100,L_V7_ROI,unimodal
18,4,81.2883435582822,L_IPS1_ROI,unimodal
19,4,100,L_FFC_ROI,unimodal
20,4,100,L_V3B_ROI,unimodal
21,4,100,L_LO1_ROI,unimodal
22,4,100,L_LO2_ROI,unimodal
23,4,100,L_PIT_ROI,unimodal
24,4,100,L_MT_ROI,unimodal
25,5,74.75,L_A1_ROI,idiotypic
26,4,92.7835051546392,L_PSL_ROI,unimodal
27,4,65.7657657657658,L_SFL_ROI,unimodal
28,3,94.1011235955056,L_PCV_ROI,heteromodal
29,4,59.1176470588235,L_STV_ROI,unimodal
30,3,100,L_7Pm_ROI,heteromodal
31,3,100,L_7m_ROI,heteromodal
32,3,52.6315789473684,L_POS1_ROI,heteromodal
33,2,90.9980430528376,L_23d_ROI,paralimbic
34,3,60.2150537634409,L_v23ab_ROI,heteromodal
35,2,100,L_d23ab_ROI,paralimbic
36,3,80.6324110671937,L_31pv_ROI,heteromodal
37,5,96.0238568588469,L_5m_ROI,idiotypic
38,5,74.5138178096213,L_5mv_ROI,idiotypic
39,5,81.8834796488428,L_23c_ROI,idiotypic
40,4,86.5339578454332,L_5L_ROI,unimodal
41,5,89.237668161435,L_24dd_ROI,idiotypic
42,4,51.9940915805022,L_24dv_ROI,unimodal
43,3,68.0221811460259,L_7AL_ROI,heteromodal
44,4,89.9034240561896,L_SCEF_ROI,unimodal
45,4,94.6169772256729,L_6ma_ROI,unimodal
46,3,74.5940783190067,L_7Am_ROI,heteromodal
47,3,100,L_7PL_ROI,heteromodal
48,3,81.9653179190751,L_7PC_ROI,heteromodal
49,3,100,L_LIPv_ROI,heteromodal
50,3,100,L_VIP_ROI,heteromodal
51,3,99.6336996336996,L_MIP_ROI,heteromodal
52,5,98.7974098057354,L_1_ROI,idiotypic
53,4,55.8339859044636,L_2_ROI,unimodal
54,5,100,L_3a_ROI,idiotypic
55,5,100,L_6d_ROI,idiotypic
56,5,99.2329149232915,L_6mp_ROI,idiotypic
57,5,100,L_6v_ROI,idiotypic
58,2,100,L_p24pr_ROI,paralimbic
59,2,99.3569131832797,L_33pr_ROI,paralimbic
60,2,100,L_a24pr_ROI,paralimbic
61,2,35.655737704918,L_p32pr_ROI,paralimbic
62,2,98.876404494382,L_a24_ROI,paralimbic
63,3,95.4710144927536,L_d32_ROI,heteromodal
64,3,94.1101152368758,L_8BM_ROI,heteromodal
65,2,64.9321266968326,L_p32_ROI,paralimbic
66,3,50.7865168539326,L_10r_ROI,heteromodal
67,2,82.2784810126582,L_47m_ROI,paralimbic
68,4,96.7246673490276,L_8Av_ROI,unimodal
69,3,74.8487467588591,L_8Ad_ROI,heteromodal
70,3,96.7543859649123,L_9m_ROI,heteromodal
71,3,100,L_8BL_ROI,heteromodal
72,3,100,L_9p_ROI,heteromodal
73,3,100,L_10d_ROI,heteromodal
74,4,93.3781190019194,L_8C_ROI,unimodal
75,4,83.764367816092,L_44_ROI,unimodal
76,3,80.1255230125523,L_45_ROI,heteromodal
77,3,99.8477929984779,L_47l_ROI,heteromodal
78,3,98.3606557377049,L_a47r_ROI,heteromodal
79,5,51.0204081632653,L_6r_ROI,idiotypic
80,4,100,L_IFJa_ROI,unimodal
81,4,51.394422310757,L_IFJp_ROI,unimodal
82,4,98.6538461538462,L_IFSp_ROI,unimodal
83,3,95.1951951951952,L_IFSa_ROI,heteromodal
84,3,69.5214105793451,L_p9-46v_ROI,heteromodal
85,3,99.6215704824976,L_46_ROI,heteromodal
86,3,100,L_a9-46v_ROI,heteromodal
87,3,100,L_9-46d_ROI,heteromodal
88,3,100,L_9a_ROI,heteromodal
89,3,54.0345821325648,L_10v_ROI,heteromodal
90,3,100,L_a10p_ROI,heteromodal
91,3,100,L_10pp_ROI,heteromodal
92,3,87.7980364656381,L_11l_ROI,heteromodal
93,2,99.6207332490518,L_13l_ROI,paralimbic
94,2,91.588785046729,L_OFC_ROI,paralimbic
95,2,89.1373801916933,L_47s_ROI,paralimbic
96,3,100,L_LIPd_ROI,heteromodal
97,4,53.8810198300283,L_6a_ROI,unimodal
98,4,100,L_i6-8_ROI,unimodal
99,4,60.586319218241,L_s6-8_ROI,unimodal
100,4,47.7797513321492,L_43_ROI,unimodal
