annot1_idx,annot2_idx,Gof,label1,label2
1,102,43.9334004602992,no matching lookup,
2,11,50.9686677828271,L_V1_ROI,7Networks_LH_Vis_10
3,9,100,L_MST_ROI,7Networks_LH_Vis_8
4,13,61.6895874263261,L_V6_ROI,7Networks_LH_Vis_12
5,5,20.5111402359109,L_V2_ROI,7Networks_LH_Vis_4
6,14,24.4270833333333,L_V3_ROI,7Networks_LH_Vis_13
7,3,32.5432415118514,L_V4_ROI,7Networks_LH_Vis_2
8,3,99.3265993265993,L_V8_ROI,7Networks_LH_Vis_2
9,30,33.3250311332503,L_4_ROI,7Networks_LH_SomMot_15
10,25,39.8945518453427,L_3b_ROI,7Networks_LH_SomMot_10
11,42,79.4471153846154,L_FEF_ROI,7Networks_LH_DorsAttn_FEF_1
12,71,74.1333333333333,L_PEF_ROI,7Networks_LH_Cont_PFCl_6
13,71,60.2134146341463,L_55b_ROI,7Networks_LH_Cont_PFCl_6
14,15,52.7777777777778,L_V3A_ROI,7Networks_LH_Vis_14
15,73,49.3589743589744,L_RSC_ROI,7Networks_LH_Cont_Cing_1
16,72,78.9909015715467,L_POS2_ROI,7Networks_LH_Cont_pCun_1
17,15,83.5766423357664,L_V7_ROI,7Networks_LH_Vis_14
18,34,61.5030674846626,L_IPS1_ROI,7Networks_LH_DorsAttn_Post_3
19,32,71.6666666666667,L_FFC_ROI,7Networks_LH_DorsAttn_Post_1
20,15,100,L_V3B_ROI,7Networks_LH_Vis_14
21,12,95.2830188679245,L_LO1_ROI,7Networks_LH_Vis_11
22,12,45.2012383900929,L_LO2_ROI,7Networks_LH_Vis_11
23,4,64.968152866242,L_PIT_ROI,7Networks_LH_Vis_3
24,9,100,L_MT_ROI,7Networks_LH_Vis_8
25,17,67.75,L_A1_ROI,7Networks_LH_SomMot_2
26,45,70.6758304696449,L_PSL_ROI,7Networks_LH_SalVentAttn_ParOper_1
27,96,95.4954954954955,L_SFL_ROI,7Networks_LH_Default_PFC_13
28,100,54.2134831460674,L_PCV_ROI,7Networks_LH_Default_PCC_4
29,79,56.7647058823529,L_STV_ROI,7Networks_LH_Default_Temp_5
30,40,47.7551020408163,L_7Pm_ROI,7Networks_LH_DorsAttn_Post_9
31,98,56.9182389937107,L_7m_ROI,7Networks_LH_Default_PCC_2
32,97,95.4066985645933,L_POS1_ROI,7Networks_LH_Default_PCC_1
33,99,80.8219178082192,L_23d_ROI,7Networks_LH_Default_PCC_3
34,98,84.9462365591398,L_v23ab_ROI,7Networks_LH_Default_PCC_2
35,98,50.104821802935,L_d23ab_ROI,7Networks_LH_Default_PCC_2
