annot1_idx,annot2_idx,Gof,label1,label2
1,46,49.3131472957422,no matching lookup,unknown
2,30,66.8739535996173,L_V1_ROI,OC
3,38,100,L_MST_ROI,PH
4,28,83.8899803536346,L_V6_ROI,OA
5,28,52.2935779816514,L_V2_ROI,OA
6,28,100,L_V3_ROI,OA
7,28,71.4285714285714,L_V4_ROI,OA
8,38,100,L_V8_ROI,PH
9,3,98.8293897882939,L_4_ROI,FA
10,32,45.0615114235501,L_3b_ROI,PB
11,3,71.3942307692308,L_FEF_ROI,FA
12,3,70.6666666666667,L_PEF_ROI,FA
13,3,74.6951219512195,L_55b_ROI,FA
14,28,100,L_V3A_ROI,OA
15,27,42.1245421245421,L_RSC_ROI,LE
16,35,100,L_POS2_ROI,PE
17,28,60.2189781021898,L_V7_ROI,OA
18,35,100,L_IPS1_ROI,PE
19,44,60.7692307692308,L_FFC_ROI,TF
20,28,70.5882352941177,L_V3B_ROI,OA
21,38,99.685534591195,L_LO1_ROI,PH
22,38,100,L_LO2_ROI,PH
23,38,100,L_PIT_ROI,PH
24,38,100,L_MT_ROI,PH
25,41,59.5,L_A1_ROI,TC
26,36,53.9518900343643,L_PSL_ROI,PF
27,4,89.9774774774775,L_SFL_ROI,FB
28,35,73.876404494382,L_PCV_ROI,PE
29,43,83.8235294117647,L_STV_ROI,TE
30,35,100,L_7Pm_ROI,PE
31,35,100,L_7m_ROI,PE
32,23,27.6555023923445,L_POS1_ROI,LC1
33,24,35.2250489236791,L_23d_ROI,LC2
34,24,48.1182795698925,L_v23ab_ROI,LC2
35,24,74.8427672955975,L_d23ab_ROI,LC2
36,23,95.8498023715415,L_31pv_ROI,LC1
37,31,50.8946322067594,L_5m_ROI,PA
38,31,40.6345957011259,L_5mv_ROI,PA
39,23,43.8946528332003,L_23c_ROI,LC1
40,33,74.0046838407494,L_5L_ROI,PC
41,4,59.9103139013453,L_24dd_ROI,FB
42,4,61.7429837518464,L_24dv_ROI,FB
43,35,52.7726432532348,L_7AL_ROI,PE
44,4,98.595258999122,L_SCEF_ROI,FB
45,4,100,L_6ma_ROI,FB
46,35,84.0496657115568,L_7Am_ROI,PE
47,35,92.090395480226,L_7PL_ROI,PE
48,35,74.3352601156069,L_7PC_ROI,PE
49,34,75.9477124183007,L_LIPv_ROI,PD
50,35,72.1030042918455,L_VIP_ROI,PE
51,35,76.1904761904762,L_MIP_ROI,PE
52,33,86.2164662349676,L_1_ROI,PC
53,34,92.6781519185591,L_2_ROI,PD
54,31,57.3951434878587,L_3a_ROI,PA
55,3,100,L_6d_ROI,FA
56,3,50.4881450488145,L_6mp_ROI,FA
57,4,56.8034557235421,L_6v_ROI,FB
58,21,76.3274336283186,L_p24pr_ROI,LA1
59,22,78.4565916398714,L_33pr_ROI,LA2
60,21,84.4961240310078,L_a24pr_ROI,LA1
61,4,52.1857923497268,L_p32pr_ROI,FB
62,21,37.752808988764,L_a24_ROI,LA1
63,7,69.7463768115942,L_d32_ROI,FD
64,5,88.4763124199744,L_8BM_ROI,FC
65,10,73.0769230769231,L_p32_ROI,FE
66,10,94.8314606741573,L_10r_ROI,FE
67,11,100,L_47m_ROI,FF
68,4,74.3091095189355,L_8Av_ROI,FB
69,5,84.4425237683665,L_8Ad_ROI,FC
70,7,94.9122807017544,L_9m_ROI,FD
71,5,100,L_8BL_ROI,FC
72,7,57.4898785425101,L_9p_ROI,FD
73,7,88.9273356401384,L_10d_ROI,FD
74,5,51.0556621880998,L_8C_ROI,FC
75,6,96.8390804597701,L_44_ROI,FCBm
76,9,77.7196652719665,L_45_ROI,FDT
77,11,100,L_47l_ROI,FF
78,7,56.5027322404372,L_a47r_ROI,FD
79,4,76.6156462585034,L_6r_ROI,FB
80,6,79.5414462081129,L_IFJa_ROI,FCBm
81,4,80.8764940239044,L_IFJp_ROI,FB
82,6,73.4615384615385,L_IFSp_ROI,FCBm
83,9,71.1711711711712,L_IFSa_ROI,FDT
84,5,90.8060453400504,L_p9-46v_ROI,FC
85,5,54.7776726584674,L_46_ROI,FC
86,7,67.9504814305364,L_a9-46v_ROI,FD
87,8,38.0239520958084,L_9-46d_ROI,FDdelta
88,7,78.4982935153584,L_9a_ROI,FD
89,10,62.2478386167147,L_10v_ROI,FE
90,7,60.0840336134454,L_a10p_ROI,FD
91,10,100,L_10pp_ROI,FE
92,10,58.0645161290323,L_11l_ROI,FE
93,11,100,L_13l_ROI,FF
94,11,41.9711129991504,L_OFC_ROI,FF
95,11,93.4504792332268,L_47s_ROI,FF
96,34,85.2032520325203,L_LIPd_ROI,PD
97,4,73.7110481586402,L_6a_ROI,FB
98,4,100,L_i6-8_ROI,FB
99,4,57.0032573289902,L_s6-8_ROI,FB
100,4,96.8028419182948,L_43_ROI,FB
101,33,56.7627494456763,L_OP4_ROI,PC
102,36,100,L_OP1_ROI,PF
103,36,84.3609022556391,L_OP2-3_ROI,PF
104,20,42.8007889546351,L_52_ROI,IB
105,36,62.3762376237624,L_RI_ROI,PF
106,36,97.7908689248895,L_PFcm_ROI,PF
107,20,65.7142857142857,L_PoI2_ROI,IB
108,39,57.4229691876751,L_TA2_ROI,TA
109,6,78.5429141716567,L_FOP4_ROI,FCBm
110,19,100,L_MI_ROI,IA
111,1,37.0702541106129,L_Pir_ROI,unknown
112,14,43.9944134078212,L_AVI_ROI,FJK
113,14,78.18853974122,L_AAIC_ROI,FJK
114,4,96.989966555184,L_FOP1_ROI,FB
115,19,57.3643410852713,L_FOP3_ROI,IA
116,4,78.25,L_FOP2_ROI,FB
117,34,93.6507936507936,L_PFt_ROI,PD
118,34,96.7663209273948,L_AIP_ROI,PD
119,16,42.0783645655877,L_EC_ROI,HA
120,18,54.7418967587035,L_PreS_ROI,HC
121,1,89.802371541502,L_H_ROI,unknown
122,30,94.3478260869565,L_ProS_ROI,OC
123,44,31.650641025641,L_PeEc_ROI,TF
124,45,62.379421221865,L_STGa_ROI,TG
125,43,50.6040268456376,L_PBelt_ROI,TE
126,43,58.695652173913,L_A5_ROI,TE
127,18,69.0437601296596,L_PHA1_ROI,HC
128,44,86.0335195530726,L_PHA3_ROI,TF
129,39,87.1473354231975,L_STSda_ROI,TA
130,43,99.8953974895397,L_STSdp_ROI,TE
131,43,100,L_STSvp_ROI,TE
132,45,98.3296213808463,L_TGd_ROI,TG
133,43,99.8677248677249,L_TE1a_ROI,TE
134,43,100,L_TE1p_ROI,TE
135,43,100,L_TE2a_ROI,TE
136,44,53.0415430267062,L_TF_ROI,TF
137,43,93.424317617866,L_TE2p_ROI,TE
138,43,79.8850574712644,L_PHT_ROI,TE
139,38,58.4247258225324,L_PH_ROI,PH
140,43,100,L_TPOJ1_ROI,TE
141,38,53.0988274706868,L_TPOJ2_ROI,PH
142,38,72.75,L_TPOJ3_ROI,PH
143,35,66.1337209302326,L_DVT_ROI,PE
144,37,97.0149253731343,L_PGp_ROI,PG
145,34,98.1,L_IP2_ROI,PD
146,34,36.019536019536,L_IP1_ROI,PD
147,37,82.1292775665399,L_IP0_ROI,PG
148,36,56.9725864123957,L_PFop_ROI,PF
149,36,94.4062356717102,L_PF_ROI,PF
150,37,47.2052223582211,L_PFm_ROI,PG
151,37,93.0619266055046,L_PGi_ROI,PG
152,37,100,L_PGs_ROI,PG
153,35,63.0952380952381,L_V6A_ROI,PE
154,28,80.5491990846682,L_VMV1_ROI,OA
155,38,79.3548387096774,L_VMV3_ROI,PH
156,18,80.4568527918782,L_PHA2_ROI,HC
157,38,100,L_V4t_ROI,PH
158,38,100,L_FST_ROI,PH
159,28,53.9893617021277,L_V3CD_ROI,OA
160,38,100,L_LO3_ROI,PH
161,28,100,L_VMV2_ROI,OA
162,35,75.2293577981651,L_31pd_ROI,PE
163,23,82.6589595375723,L_31a_ROI,LC1
164,44,61.2341772151899,L_VVC_ROI,TF
165,15,46.8834688346883,L_25_ROI,FLMN
166,13,88.9285714285714,L_s32_ROI,FH
167,11,52.8336380255942,L_pOFC_ROI,FF
168,20,94.8320413436692,L_PoI1_ROI,IB
169,20,72.9779411764706,L_Ig_ROI,IB
170,9,49.1525423728814,L_FOP5_ROI,FDT
171,7,65.7559198542805,L_p10p_ROI,FD
172,7,59.5993322203673,L_p47r_ROI,FD
173,45,77.9122541603631,L_TGv_ROI,TG
174,41,49.3333333333333,L_MBelt_ROI,TC
175,39,81.3874788494078,L_LBelt_ROI,TA
176,43,71.9279661016949,L_A4_ROI,TE
177,43,82.3088455772114,L_STSva_ROI,TE
178,43,100,L_TE1m_ROI,TE
179,39,42.1238938053097,L_PI_ROI,TA
180,5,66.6034155597723,L_a32pr_ROI,FC
181,21,53.9432176656151,L_p24_ROI,LA1
182,75,69.4590713259933,R_V1_ROI,OC
183,83,91.4285714285714,R_MST_ROI,PH
184,73,63.3802816901408,R_V6_ROI,OA
185,73,49.2477432296891,R_V2_ROI,OA
186,73,99.2961287078934,R_V3_ROI,OA
187,73,74.6337702390131,R_V4_ROI,OA
188,83,98.876404494382,R_V8_ROI,PH
189,48,89.2088197146563,R_4_ROI,FA
190,77,62.8134796238245,R_3b_ROI,PB
191,48,64.9411764705882,R_FEF_ROI,FA
192,49,89.1666666666667,R_PEF_ROI,FB
193,48,50.8313539192399,R_55b_ROI,FA
194,73,100,R_V3A_ROI,OA
195,72,29.9047619047619,R_RSC_ROI,LE
196,80,99.0061162079511,R_POS2_ROI,PE
197,73,48.951048951049,R_V7_ROI,OA
198,79,70.8791208791209,R_IPS1_ROI,PD
199,89,77.752808988764,R_FFC_ROI,TF
200,73,66.57824933687,R_V3B_ROI,OA
201,83,100,R_LO1_ROI,PH
202,83,100,R_LO2_ROI,PH
203,83,100,R_PIT_ROI,PH
204,83,100,R_MT_ROI,PH
205,86,46.843853820598,R_A1_ROI,TC
206,81,84.6066134549601,R_PSL_ROI,PF
207,49,93.6170212765958,R_SFL_ROI,FB
208,80,77.6047904191617,R_PCV_ROI,PE
209,88,57.4944071588367,R_STV_ROI,TE
210,80,100,R_7Pm_ROI,PE
211,80,100,R_7m_ROI,PE
212,80,34.297520661157,R_POS1_ROI,PE
213,66,32.1637426900585,R_23d_ROI,LA1
214,68,66.6666666666667,R_v23ab_ROI,LC1
215,68,62.1160409556314,R_d23ab_ROI,LC1
216,68,90.034965034965,R_31pv_ROI,LC1
217,76,36.3975155279503,R_5m_ROI,PA
218,77,56.5567176186645,R_5mv_ROI,PB
219,66,32.377358490566,R_23c_ROI,LA1
220,78,53.3185840707965,R_5L_ROI,PC
221,49,75.2525252525252,R_24dd_ROI,FB
222,49,76.3297872340426,R_24dv_ROI,FB
223,79,50,R_7AL_ROI,PD
224,49,100,R_SCEF_ROI,FB
225,49,100,R_6ma_ROI,FB
226,80,87.6531573986805,R_7Am_ROI,PE
227,80,73.4265734265734,R_7PL_ROI,PE
228,80,72.2772277227723,R_7PC_ROI,PE
229,79,100,R_LIPv_ROI,PD
230,79,50.6666666666667,R_VIP_ROI,PD
231,79,85.6441717791411,R_MIP_ROI,PD
232,78,86.8459657701711,R_1_ROI,PC
233,79,92.0013731548232,R_2_ROI,PD
234,76,79.6610169491525,R_3a_ROI,PA
235,48,100,R_6d_ROI,FA
236,49,61.2792297111417,R_6mp_ROI,FB
237,49,55.0070521861777,R_6v_ROI,FB
238,66,91.5467625899281,R_p24pr_ROI,LA1
