annot1_idx,annot2_idx,Gof,label1,label2
1,10,50.1294591484465,no matching lookup,unknown
2,1,100,L_V1_ROI,unknown
3,1,100,L_MST_ROI,unknown
4,1,100,L_V6_ROI,unknown
5,1,100,L_V2_ROI,unknown
6,1,100,L_V3_ROI,unknown
7,1,100,L_V4_ROI,unknown
8,1,100,L_V8_ROI,unknown
9,1,100,L_4_ROI,unknown
10,1,100,L_3b_ROI,unknown
11,1,100,L_FEF_ROI,unknown
12,1,100,L_PEF_ROI,unknown
13,1,100,L_55b_ROI,unknown
14,1,100,L_V3A_ROI,unknown
15,1,100,L_RSC_ROI,unknown
16,1,100,L_POS2_ROI,unknown
17,1,100,L_V7_ROI,unknown
18,1,100,L_IPS1_ROI,unknown
19,1,100,L_FFC_ROI,unknown
20,1,100,L_V3B_ROI,unknown
21,1,100,L_LO1_ROI,unknown
22,1,100,L_LO2_ROI,unknown
23,1,100,L_PIT_ROI,unknown
24,1,100,L_MT_ROI,unknown
25,1,100,L_A1_ROI,unknown
26,1,100,L_PSL_ROI,unknown
27,1,100,L_SFL_ROI,unknown
28,1,100,L_PCV_ROI,unknown
29,1,100,L_STV_ROI,unknown
30,1,100,L_7Pm_ROI,unknown
31,1,100,L_7m_ROI,unknown
32,1,92.5358851674641,L_POS1_ROI,unknown
33,1,100,L_23d_ROI,unknown
34,1,62.6344086021505,L_v23ab_ROI,unknown
35,1,100,L_d23ab_ROI,unknown
36,1,100,L_31pv_ROI,unknown
37,1,100,L_5m_ROI,unknown
38,1,100,L_5mv_ROI,unknown
39,1,100,L_23c_ROI,unknown
40,1,100,L_5L_ROI,unknown
41,1,100,L_24dd_ROI,unknown
42,1,100,L_24dv_ROI,unknown
43,1,100,L_7AL_ROI,unknown
44,1,100,L_SCEF_ROI,unknown
45,1,100,L_6ma_ROI,unknown
46,1,100,L_7Am_ROI,unknown
47,1,100,L_7PL_ROI,unknown
48,1,100,L_7PC_ROI,unknown
49,1,100,L_LIPv_ROI,unknown
50,1,100,L_VIP_ROI,unknown
51,1,100,L_MIP_ROI,unknown
52,1,100,L_1_ROI,unknown
53,1,100,L_2_ROI,unknown
54,1,100,L_3a_ROI,unknown
55,1,100,L_6d_ROI,unknown
56,1,100,L_6mp_ROI,unknown
57,1,100,L_6v_ROI,unknown
58,1,100,L_p24pr_ROI,unknown
59,1,100,L_33pr_ROI,unknown
60,1,100,L_a24pr_ROI,unknown
61,1,100,L_p32pr_ROI,unknown
62,1,100,L_a24_ROI,unknown
63,1,100,L_d32_ROI,unknown
64,1,100,L_8BM_ROI,unknown
65,1,100,L_p32_ROI,unknown
66,1,99.1011235955056,L_10r_ROI,unknown
67,1,100,L_47m_ROI,unknown
68,1,100,L_8Av_ROI,unknown
69,1,100,L_8Ad_ROI,unknown
70,1,100,L_9m_ROI,unknown
71,1,100,L_8BL_ROI,unknown
72,1,100,L_9p_ROI,unknown
73,1,100,L_10d_ROI,unknown
74,1,100,L_8C_ROI,unknown
75,1,100,L_44_ROI,unknown
76,1,96.652719665272,L_45_ROI,unknown
77,1,100,L_47l_ROI,unknown
78,1,100,L_a47r_ROI,unknown
79,1,100,L_6r_ROI,unknown
80,1,100,L_IFJa_ROI,unknown
81,1,100,L_IFJp_ROI,unknown
82,1,100,L_IFSp_ROI,unknown
83,1,77.1771771771772,L_IFSa_ROI,unknown
84,1,100,L_p9-46v_ROI,unknown
85,1,100,L_46_ROI,unknown
86,1,100,L_a9-46v_ROI,unknown
87,1,100,L_9-46d_ROI,unknown
88,1,100,L_9a_ROI,unknown
89,1,71.6138328530259,L_10v_ROI,unknown
90,1,100,L_a10p_ROI,unknown
91,1,100,L_10pp_ROI,unknown
92,1,100,L_11l_ROI,unknown
93,1,100,L_13l_ROI,unknown
94,1,98.3007646559048,L_OFC_ROI,unknown
95,1,100,L_47s_ROI,unknown
96,1,100,L_LIPd_ROI,unknown
97,1,100,L_6a_ROI,unknown
98,1,100,L_i6-8_ROI,unknown
99,1,100,L_s6-8_ROI,unknown
100,1,100,L_43_ROI,unknown
101,1,100,L_OP4_ROI,unknown
102,1,100,L_OP1_ROI,unknown
103,1,100,L_OP2-3_ROI,unknown
104,1,100,L_52_ROI,unknown
105,1,100,L_RI_ROI,unknown
106,1,100,L_PFcm_ROI,unknown
107,1,100,L_PoI2_ROI,unknown
108,1,100,L_TA2_ROI,unknown
109,1,100,L_FOP4_ROI,unknown
110,1,100,L_MI_ROI,unknown
111,1,100,L_Pir_ROI,unknown
112,1,100,L_AVI_ROI,unknown
113,1,100,L_AAIC_ROI,unknown
114,1,100,L_FOP1_ROI,unknown
115,1,100,L_FOP3_ROI,unknown
116,1,100,L_FOP2_ROI,unknown
117,1,100,L_PFt_ROI,unknown
118,1,100,L_AIP_ROI,unknown
119,7,66.7802385008518,L_EC_ROI,oasis.chubs.mtl
120,1,96.8787515006002,L_PreS_ROI,unknown
121,1,99.5256916996047,L_H_ROI,unknown
122,1,100,L_ProS_ROI,unknown
123,1,93.349358974359,L_PeEc_ROI,unknown
124,1,100,L_STGa_ROI,unknown
125,1,100,L_PBelt_ROI,unknown
126,1,100,L_A5_ROI,unknown
127,1,100,L_PHA1_ROI,unknown
128,1,100,L_PHA3_ROI,unknown
129,1,100,L_STSda_ROI,unknown
130,1,100,L_STSdp_ROI,unknown
131,1,96.8962172647915,L_STSvp_ROI,unknown
132,1,84.0200445434298,L_TGd_ROI,unknown
133,1,100,L_TE1a_ROI,unknown
134,1,96.5899403239557,L_TE1p_ROI,unknown
135,1,100,L_TE2a_ROI,unknown
136,1,100,L_TF_ROI,unknown
137,1,100,L_TE2p_ROI,unknown
138,1,100,L_PHT_ROI,unknown
139,1,100,L_PH_ROI,unknown
140,1,100,L_TPOJ1_ROI,unknown
141,1,100,L_TPOJ2_ROI,unknown
142,1,100,L_TPOJ3_ROI,unknown
143,1,100,L_DVT_ROI,unknown
144,1,100,L_PGp_ROI,unknown
145,1,98.5,L_IP2_ROI,unknown
146,1,86.0805860805861,L_IP1_ROI,unknown
147,1,83.8403041825095,L_IP0_ROI,unknown
148,1,100,L_PFop_ROI,unknown
149,1,100,L_PF_ROI,unknown
150,1,80.4161566707466,L_PFm_ROI,unknown
151,1,100,L_PGi_ROI,unknown
152,1,100,L_PGs_ROI,unknown
153,1,100,L_V6A_ROI,unknown
154,1,100,L_VMV1_ROI,unknown
155,1,100,L_VMV3_ROI,unknown
156,1,100,L_PHA2_ROI,unknown
157,1,100,L_V4t_ROI,unknown
158,1,100,L_FST_ROI,unknown
159,1,100,L_V3CD_ROI,unknown
160,1,100,L_LO3_ROI,unknown
161,1,100,L_VMV2_ROI,unknown
162,1,100,L_31pd_ROI,unknown
163,1,100,L_31a_ROI,unknown
164,1,100,L_VVC_ROI,unknown
165,1,100,L_25_ROI,unknown
166,1,100,L_s32_ROI,unknown
167,1,100,L_pOFC_ROI,unknown
168,1,100,L_PoI1_ROI,unknown
169,1,100,L_Ig_ROI,unknown
170,1,100,L_FOP5_ROI,unknown
171,1,100,L_p10p_ROI,unknown
172,1,100,L_p47r_ROI,unknown
173,1,100,L_TGv_ROI,unknown
174,1,100,L_MBelt_ROI,unknown
175,1,100,L_LBelt_ROI,unknown
176,1,100,L_A4_ROI,unknown
177,1,100,L_STSva_ROI,unknown
178,1,64.4042232277526,L_TE1m_ROI,unknown
179,1,100,L_PI_ROI,unknown
180,1,100,L_a32pr_ROI,unknown
181,1,100,L_p24_ROI,unknown
182,10,100,R_V1_ROI,unknown
183,10,100,R_MST_ROI,unknown
184,10,100,R_V6_ROI,unknown
185,10,100,R_V2_ROI,unknown
186,10,100,R_V3_ROI,unknown
187,10,100,R_V4_ROI,unknown
188,10,100,R_V8_ROI,unknown
189,10,100,R_4_ROI,unknown
190,10,100,R_3b_ROI,unknown
191,10,100,R_FEF_ROI,unknown
192,10,100,R_PEF_ROI,unknown
193,10,100,R_55b_ROI,unknown
194,10,100,R_V3A_ROI,unknown
195,10,100,R_RSC_ROI,unknown
196,10,100,R_POS2_ROI,unknown
197,10,100,R_V7_ROI,unknown
198,10,100,R_IPS1_ROI,unknown
199,10,100,R_FFC_ROI,unknown
200,10,100,R_V3B_ROI,unknown
201,10,100,R_LO1_ROI,unknown
202,10,100,R_LO2_ROI,unknown
203,10,100,R_PIT_ROI,unknown
204,10,100,R_MT_ROI,unknown
205,10,100,R_A1_ROI,unknown
206,10,100,R_PSL_ROI,unknown
207,10,100,R_SFL_ROI,unknown
208,10,100,R_PCV_ROI,unknown
209,10,100,R_STV_ROI,unknown
210,10,100,R_7Pm_ROI,unknown
211,10,100,R_7m_ROI,unknown
212,10,100,R_POS1_ROI,unknown
213,10,100,R_23d_ROI,unknown
214,10,50,R_v23ab_ROI,unknown
215,10,98.6348122866894,R_d23ab_ROI,unknown
216,10,99.4755244755245,R_31pv_ROI,unknown
217,10,100,R_5m_ROI,unknown
218,10,100,R_5mv_ROI,unknown
219,10,100,R_23c_ROI,unknown
220,10,100,R_5L_ROI,unknown
221,10,100,R_24dd_ROI,unknown
222,10,100,R_24dv_ROI,unknown
223,10,100,R_7AL_ROI,unknown
224,10,100,R_SCEF_ROI,unknown
225,10,100,R_6ma_ROI,unknown
226,10,100,R_7Am_ROI,unknown
227,10,100,R_7PL_ROI,unknown
228,10,100,R_7PC_ROI,unknown
229,10,100,R_LIPv_ROI,unknown
230,10,100,R_VIP_ROI,unknown
231,10,100,R_MIP_ROI,unknown
232,10,100,R_1_ROI,unknown
233,10,100,R_2_ROI,unknown
234,10,100,R_3a_ROI,unknown
235,10,100,R_6d_ROI,unknown
236,10,100,R_6mp_ROI,unknown
237,10,100,R_6v_ROI,unknown
238,10,100,R_p24pr_ROI,unknown
239,10,100,R_33pr_ROI,unknown
240,10,100,R_a24pr_ROI,unknown
241,10,100,R_p32pr_ROI,unknown
242,10,100,R_a24_ROI,unknown
243,10,100,R_d32_ROI,unknown
244,10,100,R_8BM_ROI,unknown
245,10,100,R_p32_ROI,unknown
246,10,100,R_10r_ROI,unknown
247,10,100,R_47m_ROI,unknown
248,10,100,R_8Av_ROI,unknown
249,10,100,R_8Ad_ROI,unknown
250,10,100,R_9m_ROI,unknown
251,10,100,R_8BL_ROI,unknown
252,10,100,R_9p_ROI,unknown
253,10,100,R_10d_ROI,unknown
254,10,100,R_8C_ROI,unknown
255,10,100,R_44_ROI,unknown
256,10,82.9617834394904,R_45_ROI,unknown
257,10,100,R_47l_ROI,unknown
258,10,100,R_a47r_ROI,unknown
259,10,100,R_6r_ROI,unknown
260,10,100,R_IFJa_ROI,unknown
261,10,100,R_IFJp_ROI,unknown
262,10,100,R_IFSp_ROI,unknown
263,10,88.563829787234,R_IFSa_ROI,unknown
264,10,100,R_p9-46v_ROI,unknown
265,10,100,R_46_ROI,unknown
266,10,100,R_a9-46v_ROI,unknown
267,10,100,R_9-46d_ROI,unknown
268,10,100,R_9a_ROI,unknown
269,10,100,R_10v_ROI,unknown
270,10,100,R_a10p_ROI,unknown
271,10,100,R_10pp_ROI,unknown
272,10,100,R_11l_ROI,unknown
273,10,100,R_13l_ROI,unknown
274,10,78.7360594795539,R_OFC_ROI,unknown
275,10,100,R_47s_ROI,unknown
276,10,100,R_LIPd_ROI,unknown
277,10,100,R_6a_ROI,unknown
278,10,100,R_i6-8_ROI,unknown
279,10,100,R_s6-8_ROI,unknown
280,10,100,R_43_ROI,unknown
281,10,100,R_OP4_ROI,unknown
282,10,100,R_OP1_ROI,unknown
283,10,100,R_OP2-3_ROI,unknown
284,10,100,R_52_ROI,unknown
285,10,100,R_RI_ROI,unknown
