annot1_idx,annot2_idx,Gof,label1,label2
1,1,98.173712970952,Background+FreeSurfer_Defined_Medial_Wall,unknown_part1
2,47,35.1047904191617,7Networks_LH_Vis_1,lingual_part1
3,15,31.6283924843424,7Networks_LH_Vis_2,fusiform_part3
4,35,41.5812591508053,7Networks_LH_Vis_3,lateraloccipital_part2
5,50,27.1973466003317,7Networks_LH_Vis_4,lingual_part4
6,41,33.2532051282051,7Networks_LH_Vis_5,lateraloccipital_part8
7,49,45.1841359773371,7Networks_LH_Vis_6,lingual_part3
8,72,38.875,7Networks_LH_Vis_7,pericalcarine_part1
9,37,41.7380660954712,7Networks_LH_Vis_8,lateraloccipital_part4
10,40,46.1382113821138,7Networks_LH_Vis_9,lateraloccipital_part7
11,73,39.4422310756972,7Networks_LH_Vis_10,pericalcarine_part2
12,42,26.6569555717407,7Networks_LH_Vis_11,lateraloccipital_part9
13,10,65.6290531776913,7Networks_LH_Vis_12,cuneus_part1
14,11,27.3408239700375,7Networks_LH_Vis_13,cuneus_part2
15,34,31.1711711711712,7Networks_LH_Vis_14,lateraloccipital_part1
16,139,37.1592539454806,7Networks_LH_SomMot_1,superiortemporal_part6
17,134,43.5151515151515,7Networks_LH_SomMot_2,superiortemporal_part1
18,151,57.9068695251268,7Networks_LH_SomMot_3,insula_part1
19,75,44.9861495844875,7Networks_LH_SomMot_4,postcentral_part2
20,142,63.6690647482014,7Networks_LH_SomMot_5,supramarginal_part2
21,79,30.5514705882353,7Networks_LH_SomMot_6,postcentral_part6
22,92,37.4423203691496,7Networks_LH_SomMot_7,precentral_part9
23,116,42.2068965517241,7Networks_LH_SomMot_8,superiorfrontal_part6
24,80,44.969512195122,7Networks_LH_SomMot_9,postcentral_part7
25,78,42.9319371727749,7Networks_LH_SomMot_10,postcentral_part5
26,126,84.916864608076,7Networks_LH_SomMot_11,superiorparietal_part3
27,84,36.5505425471159,7Networks_LH_SomMot_12,precentral_part1
28,76,64.6121147715197,7Networks_LH_SomMot_13,postcentral_part3
29,88,51.0423246999368,7Networks_LH_SomMot_14,precentral_part5
30,63,26.9208878770632,7Networks_LH_SomMot_15,paracentral_part1
31,74,46.6594827586207,7Networks_LH_SomMot_16,postcentral_part1
32,16,33.1777881474568,7Networks_LH_DorsAttn_Post_1,fusiform_part4
33,57,52.8953229398664,7Networks_LH_DorsAttn_Post_2,middletemporal_part2
34,131,40.1273885350318,7Networks_LH_DorsAttn_Post_3,superiorparietal_part8
35,146,48.3870967741936,7Networks_LH_DorsAttn_Post_4,supramarginal_part6
36,127,37.8076062639821,7Networks_LH_DorsAttn_Post_5,superiorparietal_part4
37,127,58.8385994876174,7Networks_LH_DorsAttn_Post_6,superiorparietal_part4
38,133,44.9445531637312,7Networks_LH_DorsAttn_Post_7,superiorparietal_part10
39,128,47.0064724919094,7Networks_LH_DorsAttn_Post_8,superiorparietal_part5
40,98,37.4597034171502,7Networks_LH_DorsAttn_Post_9,precuneus_part6
41,124,55.7219892150989,7Networks_LH_DorsAttn_Post_10,superiorparietal_part1
42,91,37.030191004313,7Networks_LH_DorsAttn_FEF_1,precentral_part8
43,114,48.1938325991189,7Networks_LH_DorsAttn_FEF_2,superiorfrontal_part4
44,87,49.8847040737894,7Networks_LH_DorsAttn_PrCv_1,precentral_part4
45,136,40.2013422818792,7Networks_LH_SalVentAttn_ParOper_1,superiortemporal_part3
46,144,76.1650114591291,7Networks_LH_SalVentAttn_ParOper_2,supramarginal_part4
47,147,25.6019261637239,7Networks_LH_SalVentAttn_ParOper_3,supramarginal_part7
48,154,30.3791235844412,7Networks_LH_SalVentAttn_FrOper_1,insula_part4
49,154,30.2516411378556,7Networks_LH_SalVentAttn_FrOper_2,insula_part4
50,153,47.0545454545455,7Networks_LH_SalVentAttn_FrOper_3,insula_part3
51,67,42.2740524781341,7Networks_LH_SalVentAttn_FrOper_4,parsopercularis_part2
52,107,31.5618221258134,7Networks_LH_SalVentAttn_PFCl_1,rostralmiddlefrontal_part7
53,120,41.2874583795782,7Networks_LH_SalVentAttn_Med_1,superiorfrontal_part10
54,82,32.5837742504409,7Networks_LH_SalVentAttn_Med_2,posteriorcingulate_part1
55,112,57.2635135135135,7Networks_LH_SalVentAttn_Med_3,superiorfrontal_part2
56,44,54.8932384341637,7Networks_LH_Limbic_OFC_1,lateralorbitofrontal_part2
57,53,33.3940940576012,7Networks_LH_Limbic_OFC_2,medialorbitofrontal_part1
58,12,47.6666666666667,7Networks_LH_Limbic_TempPole_1,entorhinal_part1
59,28,35.5269922879177,7Networks_LH_Limbic_TempPole_2,inferiortemporal_part3
60,149,62.1827411167513,7Networks_LH_Limbic_TempPole_3,temporalpole_part1
61,135,68.366285119667,7Networks_LH_Limbic_TempPole_4,superiortemporal_part2
62,143,39.7402597402597,7Networks_LH_Cont_Par_1,supramarginal_part3
63,18,38.4885764499121,7Networks_LH_Cont_Par_2,inferiorparietal_part1
64,141,69.022687609075,7Networks_LH_Cont_Par_3,supramarginal_part1
65,59,43.2908912830558,7Networks_LH_Cont_Temp_1,middletemporal_part4
66,69,37.8733572281959,7Networks_LH_Cont_PFCl_1,parsorbitalis_part1
67,102,32.5842696629214,7Networks_LH_Cont_PFCl_2,rostralmiddlefrontal_part2
68,108,41.3848631239936,7Networks_LH_Cont_PFCl_3,rostralmiddlefrontal_part8
69,101,37.8181818181818,7Networks_LH_Cont_PFCl_4,rostralmiddlefrontal_part1
70,105,32.691149909693,7Networks_LH_Cont_PFCl_5,rostralmiddlefrontal_part5
71,8,30.5071315372425,7Networks_LH_Cont_PFCl_6,caudalmiddlefrontal_part4
72,97,48.6622073578595,7Networks_LH_Cont_pCun_1,precuneus_part5
73,83,38.3162863886703,7Networks_LH_Cont_Cing_1,posteriorcingulate_part2
74,83,62.7285513361463,7Networks_LH_Cont_Cing_2,posteriorcingulate_part2
75,58,34.0998685939553,7Networks_LH_Default_Temp_1,middletemporal_part3
76,56,36.9902912621359,7Networks_LH_Default_Temp_2,middletemporal_part1
77,139,18.3693516699411,7Networks_LH_Default_Temp_3,superiortemporal_part6
78,59,27.2388059701493,7Networks_LH_Default_Temp_4,middletemporal_part4
79,3,38.1951219512195,7Networks_LH_Default_Temp_5,bankssts_part2
80,20,52.4163568773234,7Networks_LH_Default_Temp_6,inferiorparietal_part3
81,24,45,7Networks_LH_Default_Temp_7,inferiorparietal_part7
82,145,50,7Networks_LH_Default_Temp_8,supramarginal_part5
83,25,44.8584202682563,7Networks_LH_Default_Temp_9,inferiorparietal_part8
84,46,45.2510176390773,7Networks_LH_Default_PFC_1,lateralorbitofrontal_part4
85,100,43.4586466165414,7Networks_LH_Default_PFC_2,rostralanteriorcingulate_part1
86,71,64.755838641189,7Networks_LH_Default_PFC_3,parstriangularis_part2
87,104,27.187008905186,7Networks_LH_Default_PFC_4,rostralmiddlefrontal_part4
88,66,39.1614629794826,7Networks_LH_Default_PFC_5,parsopercularis_part1
89,100,59.5281306715064,7Networks_LH_Default_PFC_6,rostralanteriorcingulate_part1
90,115,35.614849187935,7Networks_LH_Default_PFC_7,superiorfrontal_part5
91,4,56.0747663551402,7Networks_LH_Default_PFC_8,caudalanteriorcingulate_part1
92,119,39.3055555555556,7Networks_LH_Default_PFC_9,superiorfrontal_part9
93,123,46.0405156537753,7Networks_LH_Default_PFC_10,superiorfrontal_part13
94,8,35.6880733944954,7Networks_LH_Default_PFC_11,caudalmiddlefrontal_part4
95,5,26.1772853185596,7Networks_LH_Default_PFC_12,caudalmiddlefrontal_part1
96,118,49.9618611746758,7Networks_LH_Default_PFC_13,superiorfrontal_part8
97,93,42.8334255672385,7Networks_LH_Default_PCC_1,precuneus_part1
98,99,43.0510314875136,7Networks_LH_Default_PCC_2,precuneus_part7
99,82,67.5647668393782,7Networks_LH_Default_PCC_3,posteriorcingulate_part1
100,96,43.0758017492711,7Networks_LH_Default_PCC_4,precuneus_part4
101,61,37.8313253012048,7Networks_LH_Default_PHC_1,parahippocampal_part1
102,155,97.7111794578356,,unknown_part1
103,171,53.3682145192937,7Networks_RH_Vis_1,fusiform_part4
104,218,41.3401476433844,7Networks_RH_Vis_2,parahippocampal_part1
105,168,35.8524516419253,7Networks_RH_Vis_3,fusiform_part1
106,205,29.4117647058824,7Networks_RH_Vis_4,lingual_part3
107,191,45.6597222222222,7Networks_RH_Vis_5,lateraloccipital_part2
108,204,26.8911917098446,7Networks_RH_Vis_6,lingual_part2
109,203,44.5822994210091,7Networks_RH_Vis_7,lingual_part1
110,197,29.7270955165692,7Networks_RH_Vis_8,lateraloccipital_part8
111,232,33.4807327858497,7Networks_RH_Vis_9,pericalcarine_part3
112,252,31.4703353396389,7Networks_RH_Vis_10,precuneus_part1
113,195,44.263775971093,7Networks_RH_Vis_11,lateraloccipital_part6
114,193,31.1805187930122,7Networks_RH_Vis_12,lateraloccipital_part4
115,164,42.6122448979592,7Networks_RH_Vis_13,cuneus_part1
116,285,60.7142857142857,7Networks_RH_Vis_14,superiorparietal_part3
117,174,30.2699228791774,7Networks_RH_Vis_15,inferiorparietal_part2
118,308,39.5098625224148,7Networks_RH_SomMot_1,transversetemporal_part1
119,294,62.9070691024623,7Networks_RH_SomMot_2,superiortemporal_part2
120,310,58.9572933998891,7Networks_RH_SomMot_3,insula_part2
121,300,63.8827838827839,7Networks_RH_SomMot_4,supramarginal_part2
122,234,37.1098265895954,7Networks_RH_SomMot_5,postcentral_part2
123,234,43.4825870646766,7Networks_RH_SomMot_6,postcentral_part2
124,247,26.7994409503843,7Networks_RH_SomMot_7,precentral_part5
125,241,64.493758668516,7Networks_RH_SomMot_8,posteriorcingulate_part1
126,240,39.5877754086709,7Networks_RH_SomMot_9,postcentral_part8
127,250,52.0630157539385,7Networks_RH_SomMot_10,precentral_part8
128,221,30.0424628450106,7Networks_RH_SomMot_11,paracentral_part2
129,239,44.9576597382602,7Networks_RH_SomMot_12,postcentral_part7
130,288,80.45197740113,7Networks_RH_SomMot_13,superiorparietal_part6
131,248,51.330376940133,7Networks_RH_SomMot_14,precentral_part6
132,235,62.2596153846154,7Networks_RH_SomMot_15,postcentral_part3
133,246,49.5662232504338,7Networks_RH_SomMot_16,precentral_part4
134,254,26.4426588750913,7Networks_RH_SomMot_17,precuneus_part3
135,244,35.0374614367563,7Networks_RH_SomMot_18,precentral_part2
136,233,54.7972304648862,7Networks_RH_SomMot_19,postcentral_part1
137,184,33.2829046898638,7Networks_RH_DorsAttn_Post_1,inferiortemporal_part2
138,177,43.0903155603917,7Networks_RH_DorsAttn_Post_2,inferiorparietal_part5
139,305,35.5791067373202,7Networks_RH_DorsAttn_Post_3,supramarginal_part7
140,299,34.5139412207988,7Networks_RH_DorsAttn_Post_4,supramarginal_part1
141,299,50.5576208178439,7Networks_RH_DorsAttn_Post_5,supramarginal_part1
142,289,53.9149888143177,7Networks_RH_DorsAttn_Post_6,superiorparietal_part7
143,290,49.3212669683258,7Networks_RH_DorsAttn_Post_7,superiorparietal_part8
144,291,32.9495614035088,7Networks_RH_DorsAttn_Post_8,superiorparietal_part9
145,254,39.1738840772818,7Networks_RH_DorsAttn_Post_9,precuneus_part3
146,284,56.5420560747664,7Networks_RH_DorsAttn_Post_10,superiorparietal_part2
147,251,50.2844950213371,7Networks_RH_DorsAttn_FEF_1,precentral_part9
148,274,44.0466278101582,7Networks_RH_DorsAttn_FEF_2,superiorfrontal_part5
149,245,38.8748099341105,7Networks_RH_DorsAttn_PrCv_1,precentral_part3
150,173,41.7760617760618,7Networks_RH_SalVentAttn_TempOccPar_1,inferiorparietal_part1
151,157,47.8767693588676,7Networks_RH_SalVentAttn_TempOccPar_2,bankssts_part2
152,302,34.6438302841573,7Networks_RH_SalVentAttn_TempOccPar_3,supramarginal_part4
153,249,43.7714285714286,7Networks_RH_SalVentAttn_PrC_1,precentral_part7
154,309,46.3815789473684,7Networks_RH_SalVentAttn_FrOper_1,insula_part1
155,298,25.3131524008351,7Networks_RH_SalVentAttn_FrOper_2,superiortemporal_part6
156,228,41.3133832086451,7Networks_RH_SalVentAttn_FrOper_3,parstriangularis_part2
157,243,29.6465222348917,7Networks_RH_SalVentAttn_FrOper_4,precentral_part1
158,270,53.5601764335224,7Networks_RH_SalVentAttn_Med_1,superiorfrontal_part1
159,220,44.9688334817453,7Networks_RH_SalVentAttn_Med_2,paracentral_part1
160,272,37.9268292682927,7Networks_RH_SalVentAttn_Med_3,superiorfrontal_part3
161,202,27.3500447627574,7Networks_RH_Limbic_OFC_1,lateralorbitofrontal_part4
162,199,50.6808762581409,7Networks_RH_Limbic_OFC_2,lateralorbitofrontal_part1
163,306,28.5381026438569,7Networks_RH_Limbic_OFC_3,frontalpole_part1
164,307,41.85303514377,7Networks_RH_Limbic_TempPole_1,temporalpole_part1
165,185,37.6470588235294,7Networks_RH_Limbic_TempPole_2,inferiortemporal_part3
166,167,43.595041322314,7Networks_RH_Limbic_TempPole_3,entorhinal_part1
167,303,34.6702317290553,7Networks_RH_Cont_Par_1,supramarginal_part5
168,178,48.8798370672098,7Networks_RH_Cont_Par_2,inferiorparietal_part6
169,181,44.1656210790464,7Networks_RH_Cont_Par_3,inferiorparietal_part9
170,216,44.296875,7Networks_RH_Cont_Temp_1,middletemporal_part5
171,201,45.8823529411765,7Networks_RH_Cont_PFCv_1,lateralorbitofrontal_part3
172,226,35.6728538283063,7Networks_RH_Cont_PFCl_1,parsorbitalis_part1
173,265,30.3252032520325,7Networks_RH_Cont_PFCl_2,rostralmiddlefrontal_part6
174,268,35.1145038167939,7Networks_RH_Cont_PFCl_3,rostralmiddlefrontal_part9
175,266,27.0945614894659,7Networks_RH_Cont_PFCl_4,rostralmiddlefrontal_part7
176,269,40.9038238702202,7Networks_RH_Cont_PFCl_5,rostralmiddlefrontal_part10
177,262,53.517877739331,7Networks_RH_Cont_PFCl_6,rostralmiddlefrontal_part3
178,161,37.3211963589077,7Networks_RH_Cont_PFCl_7,caudalmiddlefrontal_part3
179,257,41.1934552454283,7Networks_RH_Cont_pCun_1,precuneus_part6
180,242,37.2128637059724,7Networks_RH_Cont_PFCmp_1,posteriorcingulate_part2
181,158,43.625730994152,7Networks_RH_Cont_PFCmp_2,caudalanteriorcingulate_part1
182,158,40.1639344262295,7Networks_RH_Cont_PFCmp_3,caudalanteriorcingulate_part1
183,280,35.7010500308833,7Networks_RH_Cont_PFCmp_4,superiorfrontal_part11
184,179,47.2727272727273,7Networks_RH_Default_Par_1,inferiorparietal_part7
185,175,49.8710675605982,7Networks_RH_Default_Par_2,inferiorparietal_part3
186,180,45.8813838550247,7Networks_RH_Default_Par_3,inferiorparietal_part8
187,213,39.7474443776308,7Networks_RH_Default_Temp_1,middletemporal_part2
188,214,34.5911949685535,7Networks_RH_Default_Temp_2,middletemporal_part3
189,296,38.7493319080706,7Networks_RH_Default_Temp_3,superiortemporal_part4
190,212,64.6938775510204,7Networks_RH_Default_Temp_4,middletemporal_part1
191,156,62.0817843866171,7Networks_RH_Default_Temp_5,bankssts_part1
192,228,24.1474147414741,7Networks_RH_Default_PFCv_1,parstriangularis_part2
193,211,31.1567164179104,7Networks_RH_Default_PFCm_1,medialorbitofrontal_part3
194,259,56.6835871404399,7Networks_RH_Default_PFCm_2,rostralanteriorcingulate_part1
195,158,87.7384196185286,7Networks_RH_Default_PFCm_3,caudalanteriorcingulate_part1
196,275,26.5359477124183,7Networks_RH_Default_PFCm_4,superiorfrontal_part6
197,277,31.5576143601621,7Networks_RH_Default_PFCm_5,superiorfrontal_part8
198,262,30.7915758896151,7Networks_RH_Default_PFCm_6,rostralmiddlefrontal_part3
199,278,59.5238095238095,7Networks_RH_Default_PFCm_7,superiorfrontal_part9
200,252,43.6811406351264,7Networks_RH_Default_PCC_1,precuneus_part1
201,253,27.7186963979417,7Networks_RH_Default_PCC_2,precuneus_part2
202,256,49.9361430395913,7Networks_RH_Default_PCC_3,precuneus_part5
