annot1_idx,annot2_idx,Gof,label1,label2
1,0,95.5493241299971,Background+FreeSurfer_Defined_Medial_Wall,no label
2,67,32.4850299401198,7Networks_LH_Vis_1,parahippocampal_part1
3,16,28.705636743215,7Networks_LH_Vis_2,fusiform_part3
4,14,35.5051244509517,7Networks_LH_Vis_3,fusiform_part1
5,53,40.7131011608624,7Networks_LH_Vis_4,lingual_part3
6,44,30.0480769230769,7Networks_LH_Vis_5,lateraloccipital_part8
7,0,42.0679886685552,7Networks_LH_Vis_6,no label
8,79,34.8125,7Networks_LH_Vis_7,pericalcarine_part3
9,42,35.8629130966952,7Networks_LH_Vis_8,lateraloccipital_part6
10,41,33.3333333333333,7Networks_LH_Vis_9,lateraloccipital_part5
11,51,28.4317276349149,7Networks_LH_Vis_10,lingual_part1
12,39,36.5622723962127,7Networks_LH_Vis_11,lateraloccipital_part3
13,11,61.348897535668,7Networks_LH_Vis_12,cuneus_part2
14,12,24.5050829320492,7Networks_LH_Vis_13,cuneus_part3
15,37,31.6516516516517,7Networks_LH_Vis_14,lateraloccipital_part1
16,146,38.4505021520803,7Networks_LH_SomMot_1,superiortemporal_part6
17,144,27.7171717171717,7Networks_LH_SomMot_2,superiortemporal_part4
18,160,52.9276164130936,7Networks_LH_SomMot_3,insula_part3
19,81,51.9667590027701,7Networks_LH_SomMot_4,postcentral_part2
20,148,60.341726618705,7Networks_LH_SomMot_5,supramarginal_part1
21,83,28.1985294117647,7Networks_LH_SomMot_6,postcentral_part4
22,98,62.5576796308504,7Networks_LH_SomMot_7,precentral_part9
23,89,51.5862068965517,7Networks_LH_SomMot_8,posteriorcingulate_part2
24,85,43.5213414634146,7Networks_LH_SomMot_9,postcentral_part6
25,86,35.5497382198953,7Networks_LH_SomMot_10,postcentral_part7
26,134,45.4869358669834,7Networks_LH_SomMot_11,superiorparietal_part4
27,90,70.0742432895488,7Networks_LH_SomMot_12,precentral_part1
28,82,39.5324123273114,7Networks_LH_SomMot_13,postcentral_part3
29,94,44.7883765003159,7Networks_LH_SomMot_14,precentral_part5
30,68,24.3312464428002,7Networks_LH_SomMot_15,paracentral_part1
31,82,40.0862068965517,7Networks_LH_SomMot_16,postcentral_part3
32,19,27.484834344377,7Networks_LH_DorsAttn_Post_1,fusiform_part6
33,30,35.9688195991091,7Networks_LH_DorsAttn_Post_2,inferiortemporal_part2
34,137,43.4536447275301,7Networks_LH_DorsAttn_Post_3,superiorparietal_part7
35,151,49.652118912081,7Networks_LH_DorsAttn_Post_4,supramarginal_part4
36,150,41.834451901566,7Networks_LH_DorsAttn_Post_5,supramarginal_part3
37,139,59.5217762596072,7Networks_LH_DorsAttn_Post_6,superiorparietal_part9
38,132,53.8812785388128,7Networks_LH_DorsAttn_Post_7,superiorparietal_part2
39,140,33.252427184466,7Networks_LH_DorsAttn_Post_8,superiorparietal_part10
40,102,53.384912959381,7Networks_LH_DorsAttn_Post_9,precuneus_part4
41,131,54.1042540443379,7Networks_LH_DorsAttn_Post_10,superiorparietal_part1
42,96,40.4805914972274,7Networks_LH_DorsAttn_FEF_1,precentral_part7
43,122,52.3348017621145,7Networks_LH_DorsAttn_FEF_2,superiorfrontal_part5
44,93,56.5718677940046,7Networks_LH_DorsAttn_PrCv_1,precentral_part4
45,149,46.7114093959731,7Networks_LH_SalVentAttn_ParOper_1,supramarginal_part2
46,153,55.1566080977846,7Networks_LH_SalVentAttn_ParOper_2,supramarginal_part6
47,152,33.3868378812199,7Networks_LH_SalVentAttn_ParOper_3,supramarginal_part5
48,161,42.8360413589365,7Networks_LH_SalVentAttn_FrOper_1,insula_part4
49,76,27.7352297592998,7Networks_LH_SalVentAttn_FrOper_2,parstriangularis_part2
50,159,50.7636363636364,7Networks_LH_SalVentAttn_FrOper_3,insula_part2
51,72,44.4606413994169,7Networks_LH_SalVentAttn_FrOper_4,parsopercularis_part2
52,116,30.2060737527115,7Networks_LH_SalVentAttn_PFCl_1,rostralmiddlefrontal_part10
53,4,39.0122086570477,7Networks_LH_SalVentAttn_Med_1,caudalanteriorcingulate_part1
54,88,41.4902998236332,7Networks_LH_SalVentAttn_Med_2,posteriorcingulate_part1
55,118,48.9864864864865,7Networks_LH_SalVentAttn_Med_3,superiorfrontal_part1
56,47,46.085409252669,7Networks_LH_Limbic_OFC_1,lateralorbitofrontal_part2
57,57,26.4309150565075,7Networks_LH_Limbic_OFC_2,medialorbitofrontal_part1
58,13,45,7Networks_LH_Limbic_TempPole_1,entorhinal_part1
59,15,23.6503856041131,7Networks_LH_Limbic_TempPole_2,fusiform_part2
60,156,41.2859560067682,7Networks_LH_Limbic_TempPole_3,temporalpole_part1
61,142,54.318418314256,7Networks_LH_Limbic_TempPole_4,superiortemporal_part2
62,154,43.5497835497835,7Networks_LH_Cont_Par_1,supramarginal_part7
63,24,42.0620972466315,7Networks_LH_Cont_Par_2,inferiorparietal_part5
64,150,49.4764397905759,7Networks_LH_Cont_Par_3,supramarginal_part3
65,34,30.5582761998041,7Networks_LH_Cont_Temp_1,inferiortemporal_part6
66,48,38.8291517323775,7Networks_LH_Cont_PFCl_1,lateralorbitofrontal_part3
67,111,34.7378277153558,7Networks_LH_Cont_PFCl_2,rostralmiddlefrontal_part5
68,117,32.2061191626409,7Networks_LH_Cont_PFCl_3,rostralmiddlefrontal_part11
69,112,38.969696969697,7Networks_LH_Cont_PFCl_4,rostralmiddlefrontal_part6
70,108,27.9951836243227,7Networks_LH_Cont_PFCl_5,rostralmiddlefrontal_part2
71,6,32.6465927099841,7Networks_LH_Cont_PFCl_6,caudalmiddlefrontal_part2
72,104,41.3879598662207,7Networks_LH_Cont_pCun_1,precuneus_part6
73,0,65.6963021243116,7Networks_LH_Cont_Cing_1,no label
74,0,72.1518987341772,7Networks_LH_Cont_Cing_2,no label
75,63,40.9986859395532,7Networks_LH_Default_Temp_1,middletemporal_part3
76,31,29.2233009708738,7Networks_LH_Default_Temp_2,inferiortemporal_part3
77,147,35.8546168958743,7Networks_LH_Default_Temp_3,superiortemporal_part7
78,64,37.953091684435,7Networks_LH_Default_Temp_4,middletemporal_part4
79,2,39.4634146341463,7Networks_LH_Default_Temp_5,bankssts_part1
80,21,36.9516728624535,7Networks_LH_Default_Temp_6,inferiorparietal_part2
81,25,41.7272727272727,7Networks_LH_Default_Temp_7,inferiorparietal_part6
82,152,60.2119460500963,7Networks_LH_Default_Temp_8,supramarginal_part5
83,27,37.2081470442126,7Networks_LH_Default_Temp_9,inferiorparietal_part8
84,50,55.6987788331072,7Networks_LH_Default_PFC_1,lateralorbitofrontal_part5
85,106,42.6315789473684,7Networks_LH_Default_PFC_2,rostralanteriorcingulate_part1
86,75,48.5138004246284,7Networks_LH_Default_PFC_3,parstriangularis_part1
87,109,23.6249345206915,7Networks_LH_Default_PFC_4,rostralmiddlefrontal_part3
88,76,40.2319357716325,7Networks_LH_Default_PFC_5,parstriangularis_part2
89,106,60.5263157894737,7Networks_LH_Default_PFC_6,rostralanteriorcingulate_part1
90,121,37.8190255220418,7Networks_LH_Default_PFC_7,superiorfrontal_part4
91,4,60.202492211838,7Networks_LH_Default_PFC_8,caudalanteriorcingulate_part1
92,128,46.1111111111111,7Networks_LH_Default_PFC_9,superiorfrontal_part11
93,130,36.6482504604052,7Networks_LH_Default_PFC_10,superiorfrontal_part13
94,7,50.3669724770642,7Networks_LH_Default_PFC_11,caudalmiddlefrontal_part3
95,5,30.1015697137581,7Networks_LH_Default_PFC_12,caudalmiddlefrontal_part1
96,124,50.5720823798627,7Networks_LH_Default_PFC_13,superiorfrontal_part7
97,35,50.3043718871057,7Networks_LH_Default_PCC_1,isthmuscingulate_part1
98,36,31.5418023887079,7Networks_LH_Default_PCC_2,isthmuscingulate_part2
99,88,43.9378238341969,7Networks_LH_Default_PCC_3,posteriorcingulate_part1
100,100,35.2040816326531,7Networks_LH_Default_PCC_4,precuneus_part2
101,67,59.7590361445783,7Networks_LH_Default_PHC_1,parahippocampal_part1
102,0,96.3164294399542,,no label
103,178,51.6677567037279,7Networks_RH_Vis_1,fusiform_part4
104,228,68.824531516184,7Networks_RH_Vis_2,parahippocampal_part1
105,179,26.0008996851102,7Networks_RH_Vis_3,fusiform_part5
106,214,48.7522281639929,7Networks_RH_Vis_4,lingual_part3
107,199,50.3472222222222,7Networks_RH_Vis_5,lateraloccipital_part2
108,240,28.2383419689119,7Networks_RH_Vis_6,pericalcarine_part3
109,196,35.9801488833747,7Networks_RH_Vis_7,isthmuscingulate_part1
110,205,28.7037037037037,7Networks_RH_Vis_8,lateraloccipital_part8
111,238,31.7751105495894,7Networks_RH_Vis_9,pericalcarine_part1
112,212,33.7919174548581,7Networks_RH_Vis_10,lingual_part1
113,200,38.6630532971996,7Networks_RH_Vis_11,lateraloccipital_part3
114,296,27.8983589200635,7Networks_RH_Vis_12,superiorparietal_part5
115,172,46.6938775510204,7Networks_RH_Vis_13,cuneus_part2
116,297,60.2678571428571,7Networks_RH_Vis_14,superiorparietal_part6
117,298,49.2287917737789,7Networks_RH_Vis_15,superiorparietal_part7
118,318,51.7632994620442,7Networks_RH_SomMot_1,transversetemporal_part1
119,304,44.7974583002383,7Networks_RH_SomMot_2,superiortemporal_part3
120,321,48.91846921797,7Networks_RH_SomMot_3,insula_part3
121,309,62.0512820512821,7Networks_RH_SomMot_4,supramarginal_part1
122,242,36.9942196531792,7Networks_RH_SomMot_5,postcentral_part2
