annot1_idx,annot2_idx,Gof,label1,label2
1,0,46.0382513661202,Background+FreeSurfer_Defined_Medial_Wall,no matching lookup
2,161,25.748502994012,7Networks_LH_Vis_1,L_VMV2_ROI
3,7,26.5135699373695,7Networks_LH_Vis_2,L_V4_ROI
4,139,42.6793557833089,7Networks_LH_Vis_3,L_PH_ROI
5,5,51.9071310116086,7Networks_LH_Vis_4,L_V2_ROI
6,2,41.5865384615385,7Networks_LH_Vis_5,L_V1_ROI
7,122,34.1359773371105,7Networks_LH_Vis_6,L_ProS_ROI
8,2,86.75,7Networks_LH_Vis_7,L_V1_ROI
9,3,22.03182374541,7Networks_LH_Vis_8,L_MST_ROI
10,6,36.280487804878,7Networks_LH_Vis_9,L_V3_ROI
11,2,77.1821803694314,7Networks_LH_Vis_10,L_V1_ROI
12,21,22.068463219228,7Networks_LH_Vis_11,L_LO1_ROI
13,5,40.9857328145266,7Networks_LH_Vis_12,L_V2_ROI
14,5,31.1931514178705,7Networks_LH_Vis_13,L_V2_ROI
15,20,21.4414414414414,7Networks_LH_Vis_14,L_V3B_ROI
16,174,32.7116212338594,7Networks_LH_SomMot_1,L_MBelt_ROI
17,125,27.1111111111111,7Networks_LH_SomMot_2,L_PBelt_ROI
18,103,27.0170585523283,7Networks_LH_SomMot_3,L_OP2-3_ROI
19,101,33.4072022160665,7Networks_LH_SomMot_4,L_OP4_ROI
20,102,38.9388489208633,7Networks_LH_SomMot_5,L_OP1_ROI
21,10,30.625,7Networks_LH_SomMot_6,L_3b_ROI
22,9,44.6934739617666,7Networks_LH_SomMot_7,L_4_ROI
23,41,51.1724137931034,7Networks_LH_SomMot_8,L_24dd_ROI
24,52,58.0030487804878,7Networks_LH_SomMot_9,L_1_ROI
25,10,59.4240837696335,7Networks_LH_SomMot_10,L_3b_ROI
26,48,50.8313539192399,7Networks_LH_SomMot_11,L_7PC_ROI
27,9,67.2187321530554,7Networks_LH_SomMot_12,L_4_ROI
28,53,55.7917109458023,7Networks_LH_SomMot_13,L_2_ROI
29,56,45.925457991156,7Networks_LH_SomMot_14,L_6mp_ROI
30,9,38.076266363119,7Networks_LH_SomMot_15,L_4_ROI
31,10,70.6896551724138,7Networks_LH_SomMot_16,L_3b_ROI
32,137,27.2515165655623,7Networks_LH_DorsAttn_Post_1,L_TE2p_ROI
33,138,62.6948775055679,7Networks_LH_DorsAttn_Post_2,L_PHT_ROI
34,51,36.5888181174805,7Networks_LH_DorsAttn_Post_3,L_MIP_ROI
35,117,62.8083491461101,7Networks_LH_DorsAttn_Post_4,L_PFt_ROI
36,118,56.5995525727069,7Networks_LH_DorsAttn_Post_5,L_AIP_ROI
37,118,50.6404782237404,7Networks_LH_DorsAttn_Post_6,L_AIP_ROI
38,47,32.2896281800391,7Networks_LH_DorsAttn_Post_7,L_7PL_ROI
39,49,52.1035598705502,7Networks_LH_DorsAttn_Post_8,L_LIPv_ROI
40,46,60.6705351386202,7Networks_LH_DorsAttn_Post_9,L_7Am_ROI
41,43,57.2798082684242,7Networks_LH_DorsAttn_Post_10,L_7AL_ROI
42,97,49.3530499075786,7Networks_LH_DorsAttn_FEF_1,L_6a_ROI
43,97,52.2466960352423,7Networks_LH_DorsAttn_FEF_2,L_6a_ROI
44,79,34.0507302075327,7Networks_LH_DorsAttn_PrCv_1,L_6r_ROI
45,26,41.4093959731544,7Networks_LH_SalVentAttn_ParOper_1,L_PSL_ROI
46,148,50.5729564553094,7Networks_LH_SalVentAttn_ParOper_2,L_PFop_ROI
47,149,98.4751203852327,7Networks_LH_SalVentAttn_ParOper_3,L_PF_ROI
48,107,32.9886755292959,7Networks_LH_SalVentAttn_FrOper_1,L_PoI2_ROI
49,170,32.3304157549234,7Networks_LH_SalVentAttn_FrOper_2,L_FOP5_ROI
50,115,34.9090909090909,7Networks_LH_SalVentAttn_FrOper_3,L_FOP3_ROI
51,79,50.1457725947522,7Networks_LH_SalVentAttn_FrOper_4,L_6r_ROI
52,87,47.5054229934924,7Networks_LH_SalVentAttn_PFCl_1,L_9-46d_ROI
53,61,35.2941176470588,7Networks_LH_SalVentAttn_Med_1,L_p32pr_ROI
54,39,46.4726631393298,7Networks_LH_SalVentAttn_Med_2,L_23c_ROI
55,44,48.902027027027,7Networks_LH_SalVentAttn_Med_3,L_SCEF_ROI
56,93,55.5160142348754,7Networks_LH_Limbic_OFC_1,L_13l_ROI
57,94,41.7426175720015,7Networks_LH_Limbic_OFC_2,L_OFC_ROI
58,123,44.1111111111111,7Networks_LH_Limbic_TempPole_1,L_PeEc_ROI
59,136,53.3161953727506,7Networks_LH_Limbic_TempPole_2,L_TF_ROI
60,132,69.3739424703892,7Networks_LH_Limbic_TempPole_3,L_TGd_ROI
61,179,39.1259105098855,7Networks_LH_Limbic_TempPole_4,L_PI_ROI
62,150,98.0952380952381,7Networks_LH_Cont_Par_1,L_PFm_ROI
63,146,35.5594610427651,7Networks_LH_Cont_Par_2,L_IP1_ROI
64,145,39.0052356020942,7Networks_LH_Cont_Par_3,L_IP2_ROI
65,134,75.2203721841332,7Networks_LH_Cont_Temp_1,L_TE1p_ROI
66,92,46.9534050179211,7Networks_LH_Cont_PFCl_1,L_11l_ROI
67,78,47.4719101123596,7Networks_LH_Cont_PFCl_2,L_a47r_ROI
68,87,27.4557165861514,7Networks_LH_Cont_PFCl_3,L_9-46d_ROI
69,83,30.3636363636364,7Networks_LH_Cont_PFCl_4,L_IFSa_ROI
70,82,28.7778446718844,7Networks_LH_Cont_PFCl_5,L_IFSp_ROI
71,13,31.2995245641838,7Networks_LH_Cont_PFCl_6,L_55b_ROI
72,16,79.8494983277592,7Networks_LH_Cont_pCun_1,L_POS2_ROI
73,0,51.8489378442171,7Networks_LH_Cont_Cing_1,no matching lookup
74,0,48.3825597749648,7Networks_LH_Cont_Cing_2,no matching lookup
75,132,51.5768725361367,7Networks_LH_Default_Temp_1,L_TGd_ROI
