annot1_idx,annot2_idx,Gof,label1,label2
1,0,98.1593327581248,Background+FreeSurfer_Defined_Medial_Wall,no label
2,63,75.4491017964072,7Networks_LH_Vis_1,S_oc-temp_med_and_Lingual
3,22,25.1565762004175,7Networks_LH_Vis_2,G_oc-temp_lat-fusifor
4,3,34.5534407027818,7Networks_LH_Vis_3,G_and_S_occipital_inf
5,23,91.7910447761194,7Networks_LH_Vis_4,G_oc-temp_med-Lingual
6,44,68.1089743589744,7Networks_LH_Vis_5,Pole_occipital
7,46,54.8158640226629,7Networks_LH_Vis_6,S_calcarine
8,44,32.9375,7Networks_LH_Vis_7,Pole_occipital
9,61,35.5569155446756,7Networks_LH_Vis_8,S_occipital_ant
10,59,47.7642276422764,7Networks_LH_Vis_9,S_oc_middle_and_Lunatus
11,46,70.5179282868526,7Networks_LH_Vis_10,S_calcarine
12,20,59.2862345229425,7Networks_LH_Vis_11,G_occipital_middle
13,67,79.3774319066148,7Networks_LH_Vis_12,S_parieto_occipital
14,21,53.8790797217763,7Networks_LH_Vis_13,G_occipital_sup
15,60,62.3423423423423,7Networks_LH_Vis_14,S_oc_sup_and_transversal
16,50,35.8680057388809,7Networks_LH_SomMot_1,S_circular_insula_inf
17,42,29.2929292929293,7Networks_LH_SomMot_2,Lat_Fis-post
18,42,36.6067312125403,7Networks_LH_SomMot_3,Lat_Fis-post
19,5,75.180055401662,7Networks_LH_SomMot_4,G_and_S_subcentral
20,5,56.5647482014389,7Networks_LH_SomMot_5,G_and_S_subcentral
21,47,52.9779411764706,7Networks_LH_SomMot_6,S_central
22,47,50.0988793671721,7Networks_LH_SomMot_7,S_central
23,9,79.2413793103448,7Networks_LH_SomMot_8,G_and_S_cingul-Mid-Post
24,29,83.9939024390244,7Networks_LH_SomMot_9,G_postcentral
25,47,60.4188481675393,7Networks_LH_SomMot_10,S_central
26,69,56.7695961995249,7Networks_LH_SomMot_11,S_postcentral
27,30,59.1661907481439,7Networks_LH_SomMot_12,G_precentral
28,69,59.6174282678002,7Networks_LH_SomMot_13,S_postcentral
29,71,48.7049905243209,7Networks_LH_SomMot_14,S_precentral-sup-part
30,4,57.7689243027888,7Networks_LH_SomMot_15,G_and_S_paracentral
31,47,67.8879310344828,7Networks_LH_SomMot_16,S_central
32,22,39.2440503966402,7Networks_LH_DorsAttn_Post_1,G_oc-temp_lat-fusifor
33,39,47.7728285077951,7Networks_LH_DorsAttn_Post_2,G_temporal_middle
34,58,82.3071479122435,7Networks_LH_DorsAttn_Post_3,S_intrapariet_and_P_trans
35,69,65.7811511701455,7Networks_LH_DorsAttn_Post_4,S_postcentral
36,69,99.4780014914243,7Networks_LH_DorsAttn_Post_5,S_postcentral
37,58,74.466268146883,7Networks_LH_DorsAttn_Post_6,S_intrapariet_and_P_trans
38,28,77.429876060013,7Networks_LH_DorsAttn_Post_7,G_parietal_sup
39,28,58.9805825242718,7Networks_LH_DorsAttn_Post_8,G_parietal_sup
40,31,72.0180528691167,7Networks_LH_DorsAttn_Post_9,G_precuneus
41,28,66.4469742360695,7Networks_LH_DorsAttn_Post_10,G_parietal_sup
42,71,65.8040665434381,7Networks_LH_DorsAttn_FEF_1,S_precentral-sup-part
43,56,63.9647577092511,7Networks_LH_DorsAttn_FEF_2,S_front_sup
44,70,63.6433512682552,7Networks_LH_DorsAttn_PrCv_1,S_precentral-inf-part
45,37,52.4161073825503,7Networks_LH_SalVentAttn_ParOper_1,G_temp_sup-Plan_tempo
46,27,80.8250572956455,7Networks_LH_SalVentAttn_ParOper_2,G_pariet_inf-Supramar
47,27,80.0963081861958,7Networks_LH_SalVentAttn_ParOper_3,G_pariet_inf-Supramar
48,50,52.4864598719842,7Networks_LH_SalVentAttn_FrOper_1,S_circular_insula_inf
49,51,62.855579868709,7Networks_LH_SalVentAttn_FrOper_2,S_circular_insula_sup
50,51,83.3454545454545,7Networks_LH_SalVentAttn_FrOper_3,S_circular_insula_sup
51,13,53.935860058309,7Networks_LH_SalVentAttn_FrOper_4,G_front_inf-Opercular
52,55,48.6984815618221,7Networks_LH_SalVentAttn_PFCl_1,S_front_middle
53,8,75.8601553829079,7Networks_LH_SalVentAttn_Med_1,G_and_S_cingul-Mid-Ant
54,48,71.9135802469136,7Networks_LH_SalVentAttn_Med_2,S_cingul-Marginalis
55,17,100,7Networks_LH_SalVentAttn_Med_3,G_front_sup
56,25,55.9608540925267,7Networks_LH_Limbic_OFC_1,G_orbital
57,32,31.7900109369304,7Networks_LH_Limbic_OFC_2,G_rectus
58,24,55.6111111111111,7Networks_LH_Limbic_TempPole_1,G_oc-temp_med-Parahip
59,52,53.573264781491,7Networks_LH_Limbic_TempPole_2,S_collat_transv_ant
60,45,51.7766497461929,7Networks_LH_Limbic_TempPole_3,Pole_temporal
61,50,59.729448491155,7Networks_LH_Limbic_TempPole_4,S_circular_insula_inf
