annot1_idx,annot2_idx,Gof,label1,label2
1,0,98.1593327581248,Background+FreeSurfer_Defined_Medial_Wall,no label
2,14,56.811377245509,7Networks_LH_Vis_1,lingual
3,8,45.0417536534447,7Networks_LH_Vis_2,fusiform
4,12,47.2181551976574,7Networks_LH_Vis_3,lateraloccipital
5,14,100,7Networks_LH_Vis_4,lingual
6,12,100,7Networks_LH_Vis_5,lateraloccipital
7,14,47.5920679886686,7Networks_LH_Vis_6,lingual
8,22,40.125,7Networks_LH_Vis_7,pericalcarine
9,12,56.6707466340269,7Networks_LH_Vis_8,lateraloccipital
10,12,100,7Networks_LH_Vis_9,lateraloccipital
11,22,45.9978268743209,7Networks_LH_Vis_10,pericalcarine
12,12,66.1325564457393,7Networks_LH_Vis_11,lateraloccipital
13,6,72.7626459143969,7Networks_LH_Vis_12,cuneus
14,30,52.1134296415195,7Networks_LH_Vis_13,superiorparietal
15,30,42.4624624624625,7Networks_LH_Vis_14,superiorparietal
16,31,76.3271162123386,7Networks_LH_SomMot_1,superiortemporal
17,31,69.979797979798,7Networks_LH_SomMot_2,superiortemporal
18,36,62.4711848778239,7Networks_LH_SomMot_3,insula
19,25,53.4072022160665,7Networks_LH_SomMot_4,precentral
20,32,66.636690647482,7Networks_LH_SomMot_5,supramarginal
21,23,65.2573529411765,7Networks_LH_SomMot_6,postcentral
22,25,95.0560316413975,7Networks_LH_SomMot_7,precentral
23,29,44.4827586206897,7Networks_LH_SomMot_8,superiorfrontal
24,23,99.4664634146341,7Networks_LH_SomMot_9,postcentral
25,23,85.0261780104712,7Networks_LH_SomMot_10,postcentral
26,30,99.8812351543943,7Networks_LH_SomMot_11,superiorparietal
27,25,100,7Networks_LH_SomMot_12,precentral
28,23,86.5037194473964,7Networks_LH_SomMot_13,postcentral
29,25,71.951989892609,7Networks_LH_SomMot_14,precentral
30,18,61.4684120660216,7Networks_LH_SomMot_15,paracentral
31,23,77.5862068965517,7Networks_LH_SomMot_16,postcentral
32,8,58.5627624825012,7Networks_LH_DorsAttn_Post_1,fusiform
33,16,55.3452115812918,7Networks_LH_DorsAttn_Post_2,middletemporal
34,30,72.4699221514508,7Networks_LH_DorsAttn_Post_3,superiorparietal
35,32,58.8867805186591,7Networks_LH_DorsAttn_Post_4,supramarginal
36,30,40.2684563758389,7Networks_LH_DorsAttn_Post_5,superiorparietal
37,30,96.0717335610589,7Networks_LH_DorsAttn_Post_6,superiorparietal
38,30,99.6738421395956,7Networks_LH_DorsAttn_Post_7,superiorparietal
39,30,100,7Networks_LH_DorsAttn_Post_8,superiorparietal
40,26,72.7272727272727,7Networks_LH_DorsAttn_Post_9,precuneus
41,30,80.6470940683044,7Networks_LH_DorsAttn_Post_10,superiorparietal
42,25,55.083179297597,7Networks_LH_DorsAttn_FEF_1,precentral
43,29,76.4757709251101,7Networks_LH_DorsAttn_FEF_2,superiorfrontal
44,25,72.1752498078401,7Networks_LH_DorsAttn_PrCv_1,precentral
45,32,54.9664429530201,7Networks_LH_SalVentAttn_ParOper_1,supramarginal
46,32,91.9786096256685,7Networks_LH_SalVentAttn_ParOper_2,supramarginal
47,32,100,7Networks_LH_SalVentAttn_ParOper_3,supramarginal
48,36,86.903003446578,7Networks_LH_SalVentAttn_FrOper_1,insula
49,36,36.3785557986871,7Networks_LH_SalVentAttn_FrOper_2,insula
50,36,53.6727272727273,7Networks_LH_SalVentAttn_FrOper_3,insula
51,19,64.7230320699708,7Networks_LH_SalVentAttn_FrOper_4,parsopercularis
52,28,100,7Networks_LH_SalVentAttn_PFCl_1,rostralmiddlefrontal
53,29,62.1531631520533,7Networks_LH_SalVentAttn_Med_1,superiorfrontal
54,26,35.2733686067019,7Networks_LH_SalVentAttn_Med_2,precuneus
55,29,99.7466216216216,7Networks_LH_SalVentAttn_Med_3,superiorfrontal
56,13,94.3060498220641,7Networks_LH_Limbic_OFC_1,lateralorbitofrontal
57,15,50.9660955158585,7Networks_LH_Limbic_OFC_2,medialorbitofrontal
58,7,47.6111111111111,7Networks_LH_Limbic_TempPole_1,entorhinal
59,10,62.4678663239075,7Networks_LH_Limbic_TempPole_2,inferiortemporal
60,34,62.1827411167513,7Networks_LH_Limbic_TempPole_3,temporalpole
61,31,89.2819979188345,7Networks_LH_Limbic_TempPole_4,superiortemporal
62,32,58.8744588744589,7Networks_LH_Cont_Par_1,supramarginal
63,9,71.9976567076743,7Networks_LH_Cont_Par_2,inferiorparietal
64,32,93.0191972076789,7Networks_LH_Cont_Par_3,supramarginal
65,10,51.2242899118511,7Networks_LH_Cont_Temp_1,inferiortemporal
66,13,58.7813620071685,7Networks_LH_Cont_PFCl_1,lateralorbitofrontal
67,28,50.8426966292135,7Networks_LH_Cont_PFCl_2,rostralmiddlefrontal
68,28,100,7Networks_LH_Cont_PFCl_3,rostralmiddlefrontal
69,28,79.8181818181818,7Networks_LH_Cont_PFCl_4,rostralmiddlefrontal
70,28,43.2871763997592,7Networks_LH_Cont_PFCl_5,rostralmiddlefrontal
71,4,61.8066561014263,7Networks_LH_Cont_PFCl_6,caudalmiddlefrontal
72,26,82.2742474916388,7Networks_LH_Cont_pCun_1,precuneus
73,24,53.0291109362707,7Networks_LH_Cont_Cing_1,posteriorcingulate
74,24,62.7285513361463,7Networks_LH_Cont_Cing_2,posteriorcingulate
75,16,45.6636005256242,7Networks_LH_Default_Temp_1,middletemporal
76,16,55.5339805825243,7Networks_LH_Default_Temp_2,middletemporal
77,31,62.328094302554,7Networks_LH_Default_Temp_3,superiortemporal
78,16,53.1982942430704,7Networks_LH_Default_Temp_4,middletemporal
79,2,73.9512195121951,7Networks_LH_Default_Temp_5,bankssts
80,9,71.5985130111524,7Networks_LH_Default_Temp_6,inferiorparietal
