annot1_idx,annot2_idx,Gof,label1,label2
1,1,93.3635317802703,Background+FreeSurfer_Defined_Medial_Wall,unknown
2,28,65.8682634730539,7Networks_LH_Vis_1,OA
3,38,49.6346555323591,7Networks_LH_Vis_2,PH
4,38,94.7291361639824,7Networks_LH_Vis_3,PH
5,28,54.228855721393,7Networks_LH_Vis_4,OA
6,28,65.625,7Networks_LH_Vis_5,OA
7,30,63.0311614730878,7Networks_LH_Vis_6,OC
8,30,60,7Networks_LH_Vis_7,OC
9,38,99.8776009791922,7Networks_LH_Vis_8,PH
10,28,81.4024390243902,7Networks_LH_Vis_9,OA
11,30,78.1238681637088,7Networks_LH_Vis_10,OC
12,38,54.3335761107065,7Networks_LH_Vis_11,PH
13,28,80.1556420233463,7Networks_LH_Vis_12,OA
14,28,75.4414125200642,7Networks_LH_Vis_13,OA
15,28,70.6906906906907,7Networks_LH_Vis_14,OA
16,39,38.5222381635581,7Networks_LH_SomMot_1,TA
17,43,41.4141414141414,7Networks_LH_SomMot_2,TE
18,36,43.8450899031812,7Networks_LH_SomMot_3,PF
19,4,50.415512465374,7Networks_LH_SomMot_4,FB
20,36,83.8129496402878,7Networks_LH_SomMot_5,PF
21,31,30.4779411764706,7Networks_LH_SomMot_6,PA
22,3,91.2326961107449,7Networks_LH_SomMot_7,FA
23,4,58.3448275862069,7Networks_LH_SomMot_8,FB
24,33,56.9359756097561,7Networks_LH_SomMot_9,PC
25,31,44.1361256544503,7Networks_LH_SomMot_10,PA
26,34,58.3135391923991,7Networks_LH_SomMot_11,PD
27,3,97.4871501998858,7Networks_LH_SomMot_12,FA
28,34,75.7704569606801,7Networks_LH_SomMot_13,PD
29,3,63.7397346809855,7Networks_LH_SomMot_14,FA
30,3,58.9356858281161,7Networks_LH_SomMot_15,FA
31,31,37.7155172413793,7Networks_LH_SomMot_16,PA
32,44,50.5832944470369,7Networks_LH_DorsAttn_Post_1,TF
33,43,54.7884187082405,7Networks_LH_DorsAttn_Post_2,TE
34,35,76.2915782024062,7Networks_LH_DorsAttn_Post_3,PE
35,34,84.3137254901961,7Networks_LH_DorsAttn_Post_4,PD
36,34,98.5831469052946,7Networks_LH_DorsAttn_Post_5,PD
37,34,85.1409052092229,7Networks_LH_DorsAttn_Post_6,PD
38,35,80.4305283757339,7Networks_LH_DorsAttn_Post_7,PE
39,34,50.4045307443366,7Networks_LH_DorsAttn_Post_8,PD
40,35,86.1379754996776,7Networks_LH_DorsAttn_Post_9,PE
41,34,37.9269023367286,7Networks_LH_DorsAttn_Post_10,PD
42,4,50.3388786198398,7Networks_LH_DorsAttn_FEF_1,FB
43,4,100,7Networks_LH_DorsAttn_FEF_2,FB
44,4,73.7893927747886,7Networks_LH_DorsAttn_PrCv_1,FB
45,43,51.8791946308725,7Networks_LH_SalVentAttn_ParOper_1,TE
46,36,66.5393430099312,7Networks_LH_SalVentAttn_ParOper_2,PF
