annot1_idx,annot2_idx,Gof,label1,label2
1,1,92.7451826287029,Background+FreeSurfer_Defined_Medial_Wall,parc_0
2,5,78.1437125748503,7Networks_LH_Vis_1,parc_4
3,5,99.1649269311065,7Networks_LH_Vis_2,parc_4
4,5,94.3631039531479,7Networks_LH_Vis_3,parc_4
5,5,93.0348258706468,7Networks_LH_Vis_4,parc_4
6,5,100,7Networks_LH_Vis_5,parc_4
7,6,90.9348441926346,7Networks_LH_Vis_6,parc_5
8,6,59.125,7Networks_LH_Vis_7,parc_5
9,5,97.0012239902081,7Networks_LH_Vis_8,parc_4
10,5,100,7Networks_LH_Vis_9,parc_4
11,6,90.0760593987686,7Networks_LH_Vis_10,parc_5
12,5,71.7407137654771,7Networks_LH_Vis_11,parc_4
13,5,91.6990920881971,7Networks_LH_Vis_12,parc_4
14,5,89.0315676832531,7Networks_LH_Vis_13,parc_4
15,5,70.4504504504504,7Networks_LH_Vis_14,parc_4
16,4,51.8651362984218,7Networks_LH_SomMot_1,parc_3
17,4,51.6767676767677,7Networks_LH_SomMot_2,parc_3
18,4,50.3457814661134,7Networks_LH_SomMot_3,parc_3
19,3,66.0941828254848,7Networks_LH_SomMot_4,parc_2
20,4,85.7014388489209,7Networks_LH_SomMot_5,parc_3
21,6,38.4191176470588,7Networks_LH_SomMot_6,parc_5
22,2,91.1008569545155,7Networks_LH_SomMot_7,parc_1
23,3,67.1724137931034,7Networks_LH_SomMot_8,parc_2
24,6,52.2865853658537,7Networks_LH_SomMot_9,parc_5
25,3,53.979057591623,7Networks_LH_SomMot_10,parc_2
26,4,98.0997624703088,7Networks_LH_SomMot_11,parc_3
27,2,98.1724728726442,7Networks_LH_SomMot_12,parc_1
28,4,74.4952178533475,7Networks_LH_SomMot_13,parc_3
29,2,65.4453569172457,7Networks_LH_SomMot_14,parc_1
30,2,72.1115537848606,7Networks_LH_SomMot_15,parc_1
31,6,44.9353448275862,7Networks_LH_SomMot_16,parc_5
