annot1_idx,annot2_idx,Gof,label1,label2
1,1,90.9692263445499,Background+FreeSurfer_Defined_Medial_Wall,cortical_wall
2,4,42.8892215568862,7Networks_LH_Vis_1,unimodal
3,4,59.3945720250522,7Networks_LH_Vis_2,unimodal
4,4,99.9267935578331,7Networks_LH_Vis_3,unimodal
5,5,98.9220563847429,7Networks_LH_Vis_4,idiotypic
6,5,72.1955128205128,7Networks_LH_Vis_5,idiotypic
7,5,43.6260623229462,7Networks_LH_Vis_6,idiotypic
8,5,100,7Networks_LH_Vis_7,idiotypic
9,4,91.2484700122399,7Networks_LH_Vis_8,unimodal
10,5,68.1910569105691,7Networks_LH_Vis_9,idiotypic
11,5,100,7Networks_LH_Vis_10,idiotypic
12,4,90.6045156591406,7Networks_LH_Vis_11,unimodal
13,4,74.3190661478599,7Networks_LH_Vis_12,unimodal
14,4,79.6147672552167,7Networks_LH_Vis_13,unimodal
15,4,100,7Networks_LH_Vis_14,unimodal
16,4,100,7Networks_LH_SomMot_1,unimodal
17,4,58.1414141414141,7Networks_LH_SomMot_2,unimodal
18,3,32.1807284462886,7Networks_LH_SomMot_3,heteromodal
19,4,42.9916897506925,7Networks_LH_SomMot_4,unimodal
20,3,63.1294964028777,7Networks_LH_SomMot_5,heteromodal
21,5,100,7Networks_LH_SomMot_6,idiotypic
22,5,100,7Networks_LH_SomMot_7,idiotypic
23,5,60.4827586206897,7Networks_LH_SomMot_8,idiotypic
24,5,92.8353658536585,7Networks_LH_SomMot_9,idiotypic
25,5,100,7Networks_LH_SomMot_10,idiotypic
26,4,60.332541567696,7Networks_LH_SomMot_11,unimodal
27,5,100,7Networks_LH_SomMot_12,idiotypic
28,5,58.3421891604676,7Networks_LH_SomMot_13,idiotypic
29,5,91.282375236892,7Networks_LH_SomMot_14,idiotypic
30,5,88.6454183266932,7Networks_LH_SomMot_15,idiotypic
31,5,100,7Networks_LH_SomMot_16,idiotypic
32,4,100,7Networks_LH_DorsAttn_Post_1,unimodal
33,4,55.456570155902,7Networks_LH_DorsAttn_Post_2,unimodal
34,3,52.5831564048125,7Networks_LH_DorsAttn_Post_3,heteromodal
35,5,46.8058191018343,7Networks_LH_DorsAttn_Post_4,idiotypic
36,4,77.2557792692021,7Networks_LH_DorsAttn_Post_5,unimodal
37,3,100,7Networks_LH_DorsAttn_Post_6,heteromodal
38,3,86.5622961513373,7Networks_LH_DorsAttn_Post_7,heteromodal
39,3,100,7Networks_LH_DorsAttn_Post_8,heteromodal
40,3,80.1418439716312,7Networks_LH_DorsAttn_Post_9,heteromodal
41,4,44.877171959257,7Networks_LH_DorsAttn_Post_10,unimodal
42,5,72.7048675292668,7Networks_LH_DorsAttn_FEF_1,idiotypic
43,4,100,7Networks_LH_DorsAttn_FEF_2,unimodal
44,5,60.5687932359723,7Networks_LH_DorsAttn_PrCv_1,idiotypic
45,4,100,7Networks_LH_SalVentAttn_ParOper_1,unimodal
46,3,61.8792971734148,7Networks_LH_SalVentAttn_ParOper_2,heteromodal
47,3,71.4285714285714,7Networks_LH_SalVentAttn_ParOper_3,heteromodal
48,2,72.821270310192,7Networks_LH_SalVentAttn_FrOper_1,paralimbic
