annot1_idx,annot2_idx,Gof,label1,label2
1,1,99.9424791486914,Background+FreeSurfer_Defined_Medial_Wall,unknown
2,1,100,7Networks_LH_Vis_1,unknown
3,1,100,7Networks_LH_Vis_2,unknown
4,1,100,7Networks_LH_Vis_3,unknown
5,1,100,7Networks_LH_Vis_4,unknown
6,1,100,7Networks_LH_Vis_5,unknown
7,1,100,7Networks_LH_Vis_6,unknown
8,1,100,7Networks_LH_Vis_7,unknown
9,1,100,7Networks_LH_Vis_8,unknown
10,1,100,7Networks_LH_Vis_9,unknown
11,1,100,7Networks_LH_Vis_10,unknown
12,1,100,7Networks_LH_Vis_11,unknown
13,1,100,7Networks_LH_Vis_12,unknown
14,1,100,7Networks_LH_Vis_13,unknown
15,1,100,7Networks_LH_Vis_14,unknown
16,1,100,7Networks_LH_SomMot_1,unknown
17,1,100,7Networks_LH_SomMot_2,unknown
18,1,100,7Networks_LH_SomMot_3,unknown
19,1,100,7Networks_LH_SomMot_4,unknown
20,1,100,7Networks_LH_SomMot_5,unknown
21,1,100,7Networks_LH_SomMot_6,unknown
22,1,100,7Networks_LH_SomMot_7,unknown
23,1,100,7Networks_LH_SomMot_8,unknown
24,1,100,7Networks_LH_SomMot_9,unknown
25,1,100,7Networks_LH_SomMot_10,unknown
26,1,100,7Networks_LH_SomMot_11,unknown
27,1,100,7Networks_LH_SomMot_12,unknown
28,1,100,7Networks_LH_SomMot_13,unknown
29,1,100,7Networks_LH_SomMot_14,unknown
30,1,100,7Networks_LH_SomMot_15,unknown
31,1,100,7Networks_LH_SomMot_16,unknown
32,1,100,7Networks_LH_DorsAttn_Post_1,unknown
33,1,100,7Networks_LH_DorsAttn_Post_2,unknown
34,1,89.7381457891012,7Networks_LH_DorsAttn_Post_3,unknown
35,1,100,7Networks_LH_DorsAttn_Post_4,unknown
36,1,100,7Networks_LH_DorsAttn_Post_5,unknown
37,1,100,7Networks_LH_DorsAttn_Post_6,unknown
38,1,100,7Networks_LH_DorsAttn_Post_7,unknown
39,1,100,7Networks_LH_DorsAttn_Post_8,unknown
40,1,100,7Networks_LH_DorsAttn_Post_9,unknown
41,1,100,7Networks_LH_DorsAttn_Post_10,unknown
42,1,100,7Networks_LH_DorsAttn_FEF_1,unknown
43,1,100,7Networks_LH_DorsAttn_FEF_2,unknown
44,1,100,7Networks_LH_DorsAttn_PrCv_1,unknown
45,1,100,7Networks_LH_SalVentAttn_ParOper_1,unknown
46,1,100,7Networks_LH_SalVentAttn_ParOper_2,unknown
47,1,100,7Networks_LH_SalVentAttn_ParOper_3,unknown
48,1,100,7Networks_LH_SalVentAttn_FrOper_1,unknown
49,1,100,7Networks_LH_SalVentAttn_FrOper_2,unknown
50,1,100,7Networks_LH_SalVentAttn_FrOper_3,unknown
51,1,100,7Networks_LH_SalVentAttn_FrOper_4,unknown
52,1,100,7Networks_LH_SalVentAttn_PFCl_1,unknown
53,1,100,7Networks_LH_SalVentAttn_Med_1,unknown
54,1,100,7Networks_LH_SalVentAttn_Med_2,unknown
55,1,100,7Networks_LH_SalVentAttn_Med_3,unknown
56,1,100,7Networks_LH_Limbic_OFC_1,unknown
57,1,92.2347794385709,7Networks_LH_Limbic_OFC_2,unknown
58,1,76.5555555555556,7Networks_LH_Limbic_TempPole_1,unknown
59,1,100,7Networks_LH_Limbic_TempPole_2,unknown
60,1,79.6954314720812,7Networks_LH_Limbic_TempPole_3,unknown
61,1,97.3985431841831,7Networks_LH_Limbic_TempPole_4,unknown
62,1,72.8138528138528,7Networks_LH_Cont_Par_1,unknown
63,1,91.1540714704159,7Networks_LH_Cont_Par_2,unknown
64,1,98.1675392670157,7Networks_LH_Cont_Par_3,unknown
65,1,95.0048971596474,7Networks_LH_Cont_Temp_1,unknown
66,1,100,7Networks_LH_Cont_PFCl_1,unknown
67,1,100,7Networks_LH_Cont_PFCl_2,unknown
68,1,100,7Networks_LH_Cont_PFCl_3,unknown
69,1,92.1212121212121,7Networks_LH_Cont_PFCl_4,unknown
70,1,100,7Networks_LH_Cont_PFCl_5,unknown
71,1,100,7Networks_LH_Cont_PFCl_6,unknown
72,1,100,7Networks_LH_Cont_pCun_1,unknown
73,1,100,7Networks_LH_Cont_Cing_1,unknown
74,1,100,7Networks_LH_Cont_Cing_2,unknown
75,1,98.5545335085414,7Networks_LH_Default_Temp_1,unknown
76,1,86.504854368932,7Networks_LH_Default_Temp_2,unknown
77,1,99.852652259332,7Networks_LH_Default_Temp_3,unknown
