annot1_idx,annot2_idx,Gof,label1,label2
1,0,85.6508663898038,Background+FreeSurfer_Defined_Medial_Wall,no matching lookup
2,164,48.4848484848485,7Networks_LH_Vis_1,L_VVC_ROI
3,128,44.8336252189142,7Networks_LH_Vis_2,L_PHA3_ROI
4,164,46.9421487603306,7Networks_LH_Vis_3,L_VVC_ROI
5,161,32.8358208955224,7Networks_LH_Vis_4,L_VMV2_ROI
6,7,43.7333333333333,7Networks_LH_Vis_5,L_V4_ROI
7,7,42.0774647887324,7Networks_LH_Vis_6,L_V4_ROI
8,127,58.4973166368515,7Networks_LH_Vis_7,L_PHA1_ROI
9,139,45.4865181711606,7Networks_LH_Vis_8,L_PH_ROI
10,5,60.146252285192,7Networks_LH_Vis_9,L_V2_ROI
11,5,36.8343195266272,7Networks_LH_Vis_10,L_V2_ROI
12,5,74.4604316546763,7Networks_LH_Vis_11,L_V2_ROI
13,2,48.5115766262404,7Networks_LH_Vis_12,L_V1_ROI
14,5,38.7990762124711,7Networks_LH_Vis_13,L_V2_ROI
15,7,39.9678972712681,7Networks_LH_Vis_14,L_V4_ROI
16,2,86.0202931228861,7Networks_LH_Vis_15,L_V1_ROI
17,2,52.2756827048114,7Networks_LH_Vis_16,L_V1_ROI
18,3,27.90202342918,7Networks_LH_Vis_17,L_MST_ROI
19,2,98.3009708737864,7Networks_LH_Vis_18,L_V1_ROI
20,6,41.6223404255319,7Networks_LH_Vis_19,L_V3_ROI
21,15,35.9183673469388,7Networks_LH_Vis_20,L_RSC_ROI
22,2,95.9425190194421,7Networks_LH_Vis_21,L_V1_ROI
23,2,57.6536312849162,7Networks_LH_Vis_22,L_V1_ROI
24,159,29.863301787592,7Networks_LH_Vis_23,L_V3CD_ROI
25,5,41.7391304347826,7Networks_LH_Vis_24,L_V2_ROI
26,5,55.3648068669528,7Networks_LH_Vis_25,L_V2_ROI
27,5,45.7579972183588,7Networks_LH_Vis_26,L_V2_ROI
28,20,41.3833528722157,7Networks_LH_Vis_27,L_V3B_ROI
29,147,65.3944020356234,7Networks_LH_Vis_28,L_IP0_ROI
30,14,63.0541871921182,7Networks_LH_Vis_29,L_V3A_ROI
31,4,47.1042471042471,7Networks_LH_Vis_30,L_V6_ROI
32,18,50.314465408805,7Networks_LH_Vis_31,L_IPS1_ROI
33,174,48.993288590604,7Networks_LH_SomMot_1,L_MBelt_ROI
34,125,37.518355359765,7Networks_LH_SomMot_2,L_PBelt_ROI
35,104,26.7716535433071,7Networks_LH_SomMot_3,L_52_ROI
36,169,33.6380255941499,7Networks_LH_SomMot_4,L_Ig_ROI
37,105,41.4715719063545,7Networks_LH_SomMot_5,L_RI_ROI
38,26,40.5817174515235,7Networks_LH_SomMot_6,L_PSL_ROI
39,105,52.3866348448687,7Networks_LH_SomMot_7,L_RI_ROI
40,103,40.3708987161198,7Networks_LH_SomMot_8,L_OP2-3_ROI
41,100,43.6619718309859,7Networks_LH_SomMot_9,L_43_ROI
42,102,68.3385579937304,7Networks_LH_SomMot_10,L_OP1_ROI
43,101,53.4195933456562,7Networks_LH_SomMot_11,L_OP4_ROI
44,9,42.92343387471,7Networks_LH_SomMot_12,L_4_ROI
45,52,47.9871175523349,7Networks_LH_SomMot_13,L_1_ROI
46,10,38.5448916408669,7Networks_LH_SomMot_14,L_3b_ROI
47,53,41.9398907103825,7Networks_LH_SomMot_15,L_2_ROI
48,9,57.2930354796321,7Networks_LH_SomMot_16,L_4_ROI
49,10,74.3006993006993,7Networks_LH_SomMot_17,L_3b_ROI
50,41,71.1162255466053,7Networks_LH_SomMot_18,L_24dd_ROI
51,9,64.8801128349788,7Networks_LH_SomMot_19,L_4_ROI
52,10,68.8775510204082,7Networks_LH_SomMot_20,L_3b_ROI
53,52,56.7335243553009,7Networks_LH_SomMot_21,L_1_ROI
54,54,54.9098196392786,7Networks_LH_SomMot_22,L_3a_ROI
55,38,38.8286334056399,7Networks_LH_SomMot_23,L_5mv_ROI
56,9,53.2673267326733,7Networks_LH_SomMot_24,L_4_ROI
57,44,47.1264367816092,7Networks_LH_SomMot_25,L_SCEF_ROI
58,9,63.2471728594507,7Networks_LH_SomMot_26,L_4_ROI
59,48,50.8155583437892,7Networks_LH_SomMot_27,L_7PC_ROI
60,10,60.8,7Networks_LH_SomMot_28,L_3b_ROI
61,53,57.9865771812081,7Networks_LH_SomMot_29,L_2_ROI
62,55,44.4910807974816,7Networks_LH_SomMot_30,L_6d_ROI
63,9,65.2941176470588,7Networks_LH_SomMot_31,L_4_ROI
64,40,44.6527012127894,7Networks_LH_SomMot_32,L_5L_ROI
65,9,64.9647887323944,7Networks_LH_SomMot_33,L_4_ROI
66,56,87.1127633209418,7Networks_LH_SomMot_34,L_6mp_ROI
67,10,79.3517406962785,7Networks_LH_SomMot_35,L_3b_ROI
68,53,53.8670284938942,7Networks_LH_SomMot_36,L_2_ROI
69,9,69.8513800424628,7Networks_LH_SomMot_37,L_4_ROI
70,137,54.3130990415335,7Networks_LH_DorsAttn_Post_1,L_TE2p_ROI
71,139,44.1084462982273,7Networks_LH_DorsAttn_Post_2,L_PH_ROI
72,138,46.6083150984683,7Networks_LH_DorsAttn_Post_3,L_PHT_ROI
73,142,34.982332155477,7Networks_LH_DorsAttn_Post_4,L_TPOJ3_ROI
74,18,54.7486033519553,7Networks_LH_DorsAttn_Post_5,L_IPS1_ROI
75,117,64.0764331210191,7Networks_LH_DorsAttn_Post_6,L_PFt_ROI
76,51,78.9189189189189,7Networks_LH_DorsAttn_Post_7,L_MIP_ROI
77,53,38.6934673366834,7Networks_LH_DorsAttn_Post_8,L_2_ROI
78,118,62.4195624195624,7Networks_LH_DorsAttn_Post_9,L_AIP_ROI
79,96,60.1145038167939,7Networks_LH_DorsAttn_Post_10,L_LIPd_ROI
80,118,58.6614173228346,7Networks_LH_DorsAttn_Post_11,L_AIP_ROI
81,48,41.1764705882353,7Networks_LH_DorsAttn_Post_12,L_7PC_ROI
82,47,44.0451745379877,7Networks_LH_DorsAttn_Post_13,L_7PL_ROI
83,50,44.1677588466579,7Networks_LH_DorsAttn_Post_14,L_VIP_ROI
84,46,73.3882030178326,7Networks_LH_DorsAttn_Post_15,L_7Am_ROI
85,43,85.8503401360544,7Networks_LH_DorsAttn_Post_16,L_7AL_ROI
86,40,50.6265664160401,7Networks_LH_DorsAttn_Post_17,L_5L_ROI
87,11,84.6034214618974,7Networks_LH_DorsAttn_FEF_1,L_FEF_ROI
88,97,74.9307479224377,7Networks_LH_DorsAttn_FEF_2,L_6a_ROI
89,97,61.4457831325301,7Networks_LH_DorsAttn_FEF_3,L_6a_ROI
90,97,50.4347826086956,7Networks_LH_DorsAttn_FEF_4,L_6a_ROI
