annot1_idx,annot2_idx,Gof,label1,label2
1,1,98.00229127882,Background+FreeSurfer_Defined_Medial_Wall,Background+FreeSurfer_Defined_Medial_Wall
2,32,78.4688995215311,7Networks_LH_Vis_1,7Networks_LH_DorsAttn_Post_1
3,101,95.1838879159369,7Networks_LH_Vis_2,7Networks_LH_Default_PHC_1
4,3,54.8760330578512,7Networks_LH_Vis_3,7Networks_LH_Vis_2
5,2,97.6119402985075,7Networks_LH_Vis_4,7Networks_LH_Vis_1
6,3,93.4666666666667,7Networks_LH_Vis_5,7Networks_LH_Vis_2
7,3,66.1971830985916,7Networks_LH_Vis_6,7Networks_LH_Vis_2
8,101,78.7119856887299,7Networks_LH_Vis_7,7Networks_LH_Default_PHC_1
9,4,100,7Networks_LH_Vis_8,7Networks_LH_Vis_3
10,3,85.1919561243144,7Networks_LH_Vis_9,7Networks_LH_Vis_2
11,5,94.5266272189349,7Networks_LH_Vis_10,7Networks_LH_Vis_4
12,5,82.3741007194245,7Networks_LH_Vis_11,7Networks_LH_Vis_4
13,6,97.9051819184123,7Networks_LH_Vis_12,7Networks_LH_Vis_5
14,7,87.7598152424942,7Networks_LH_Vis_13,7Networks_LH_Vis_6
15,12,53.7720706260032,7Networks_LH_Vis_14,7Networks_LH_Vis_11
16,8,85.1183765501691,7Networks_LH_Vis_15,7Networks_LH_Vis_7
17,11,64.889466840052,7Networks_LH_Vis_16,7Networks_LH_Vis_10
18,9,91.2673056443025,7Networks_LH_Vis_17,7Networks_LH_Vis_8
19,8,84.5873786407767,7Networks_LH_Vis_18,7Networks_LH_Vis_7
20,10,93.75,7Networks_LH_Vis_19,7Networks_LH_Vis_9
21,97,67.9591836734694,7Networks_LH_Vis_20,7Networks_LH_Default_PCC_1
22,11,99.2392223161454,7Networks_LH_Vis_21,7Networks_LH_Vis_10
23,11,96.4245810055866,7Networks_LH_Vis_22,7Networks_LH_Vis_10
24,12,96.0042060988433,7Networks_LH_Vis_23,7Networks_LH_Vis_11
25,14,41.3664596273292,7Networks_LH_Vis_24,7Networks_LH_Vis_13
26,14,97.2818311874106,7Networks_LH_Vis_25,7Networks_LH_Vis_13
27,13,88.0389429763561,7Networks_LH_Vis_26,7Networks_LH_Vis_12
28,15,97.8898007033998,7Networks_LH_Vis_27,7Networks_LH_Vis_14
29,15,43.765903307888,7Networks_LH_Vis_28,7Networks_LH_Vis_14
30,14,69.2939244663383,7Networks_LH_Vis_29,7Networks_LH_Vis_13
31,14,69.4980694980695,7Networks_LH_Vis_30,7Networks_LH_Vis_13
32,38,58.9622641509434,7Networks_LH_Vis_31,7Networks_LH_DorsAttn_Post_7
33,16,93.7360178970917,7Networks_LH_SomMot_1,7Networks_LH_SomMot_1
34,17,99.1189427312775,7Networks_LH_SomMot_2,7Networks_LH_SomMot_2
35,18,80.7874015748032,7Networks_LH_SomMot_3,7Networks_LH_SomMot_3
36,50,48.5374771480804,7Networks_LH_SomMot_4,7Networks_LH_SalVentAttn_FrOper_3
37,18,97.6588628762542,7Networks_LH_SomMot_5,7Networks_LH_SomMot_3
38,45,81.4404432132964,7Networks_LH_SomMot_6,7Networks_LH_SalVentAttn_ParOper_1
39,17,93.1980906921241,7Networks_LH_SomMot_7,7Networks_LH_SomMot_2
40,19,64.6219686162625,7Networks_LH_SomMot_8,7Networks_LH_SomMot_4
41,19,93.6619718309859,7Networks_LH_SomMot_9,7Networks_LH_SomMot_4
42,20,94.2006269592476,7Networks_LH_SomMot_10,7Networks_LH_SomMot_5
43,20,72.8280961182994,7Networks_LH_SomMot_11,7Networks_LH_SomMot_5
44,21,90.3712296983759,7Networks_LH_SomMot_12,7Networks_LH_SomMot_6
45,21,93.5587761674718,7Networks_LH_SomMot_13,7Networks_LH_SomMot_6
