annot1_idx,annot2_idx,Gof,label1,label2
1,42,98.5393097522555,Background+FreeSurfer_Defined_Medial_Wall,Medial_wall
2,18,95.5342902711324,7Networks_LH_Vis_1,G_occipit-temp_lat-Or_fusiform
3,65,78.5464098073555,7Networks_LH_Vis_2,S_occipito-temporal_medial_and_S_Lingual
4,18,100,7Networks_LH_Vis_3,G_occipit-temp_lat-Or_fusiform
5,65,86.3681592039801,7Networks_LH_Vis_4,S_occipito-temporal_medial_and_S_Lingual
6,65,42.4,7Networks_LH_Vis_5,S_occipito-temporal_medial_and_S_Lingual
7,15,80.2816901408451,7Networks_LH_Vis_6,G_and_S_occipital_inferior
8,20,67.6207513416816,7Networks_LH_Vis_7,G_occipit-temp_med-Parahippocampal_part
9,15,40.4454865181712,7Networks_LH_Vis_8,G_and_S_occipital_inferior
10,19,40.9506398537477,7Networks_LH_Vis_9,G_occipit-temp_med-Lingual_part
11,19,80.9171597633136,7Networks_LH_Vis_10,G_occipit-temp_med-Lingual_part
12,19,100,7Networks_LH_Vis_11,G_occipit-temp_med-Lingual_part
13,43,80.2646085997795,7Networks_LH_Vis_12,Pole_occipital
14,45,34.1801385681293,7Networks_LH_Vis_13,S_calcarine
15,16,44.7833065810594,7Networks_LH_Vis_14,G_occipital_middle
16,43,64.8252536640361,7Networks_LH_Vis_15,Pole_occipital
17,45,66.5799739921977,7Networks_LH_Vis_16,S_calcarine
18,61,56.6560170394036,7Networks_LH_Vis_17,S_occipital_anterior
19,45,47.8155339805825,7Networks_LH_Vis_18,S_calcarine
20,62,55.5851063829787,7Networks_LH_Vis_19,S_occipital_middle_and_Lunatus
21,45,64.4897959183673,7Networks_LH_Vis_20,S_calcarine
22,45,61.876584953508,7Networks_LH_Vis_21,S_calcarine
23,45,81.2290502793296,7Networks_LH_Vis_22,S_calcarine
24,62,52.8916929547844,7Networks_LH_Vis_23,S_occipital_middle_and_Lunatus
25,17,56.6459627329193,7Networks_LH_Vis_24,G_occipital_superior
26,6,79.5422031473534,7Networks_LH_Vis_25,G_cuneus
27,70,75.1043115438109,7Networks_LH_Vis_26,S_parieto_occipital
28,63,88.9800703399766,7Networks_LH_Vis_27,S_occipital_superior_and_transversalis
29,16,49.618320610687,7Networks_LH_Vis_28,G_occipital_middle
30,17,82.5944170771757,7Networks_LH_Vis_29,G_occipital_superior
31,70,51.1583011583012,7Networks_LH_Vis_30,S_parieto_occipital
32,25,44.1823899371069,7Networks_LH_Vis_31,G_parietal_superior
33,51,41.0514541387025,7Networks_LH_SomMot_1,S_circular_insula_inferior
34,82,32.5256975036711,7Networks_LH_SomMot_2,S_temporal_transverse
