annot1_idx,annot2_idx,Gof,label1,label2
1,0,98.5393097522555,Background+FreeSurfer_Defined_Medial_Wall,no label
2,8,100,7Networks_LH_Vis_1,fusiform
3,17,54.9036777583187,7Networks_LH_Vis_2,parahippocampal
4,8,100,7Networks_LH_Vis_3,fusiform
5,14,64.7761194029851,7Networks_LH_Vis_4,lingual
6,8,51.0666666666667,7Networks_LH_Vis_5,fusiform
7,12,66.5492957746479,7Networks_LH_Vis_6,lateraloccipital
8,17,93.3810375670841,7Networks_LH_Vis_7,parahippocampal
9,12,55.9202813599062,7Networks_LH_Vis_8,lateraloccipital
10,12,61.7915904936015,7Networks_LH_Vis_9,lateraloccipital
11,14,100,7Networks_LH_Vis_10,lingual
12,14,100,7Networks_LH_Vis_11,lingual
13,12,100,7Networks_LH_Vis_12,lateraloccipital
14,14,43.8799076212471,7Networks_LH_Vis_13,lingual
15,12,100,7Networks_LH_Vis_14,lateraloccipital
16,12,55.8060879368658,7Networks_LH_Vis_15,lateraloccipital
17,14,96.3589076723017,7Networks_LH_Vis_16,lingual
18,12,93.2907348242811,7Networks_LH_Vis_17,lateraloccipital
19,22,64.4417475728155,7Networks_LH_Vis_18,pericalcarine
20,12,100,7Networks_LH_Vis_19,lateraloccipital
21,11,76.1224489795918,7Networks_LH_Vis_20,isthmuscingulate
22,22,71.5976331360947,7Networks_LH_Vis_21,pericalcarine
23,22,38.7709497206704,7Networks_LH_Vis_22,pericalcarine
24,12,56.9926393270242,7Networks_LH_Vis_23,lateraloccipital
25,12,77.1428571428572,7Networks_LH_Vis_24,lateraloccipital
26,6,74.6781115879828,7Networks_LH_Vis_25,cuneus
27,6,71.6272600834492,7Networks_LH_Vis_26,cuneus
28,30,44.6658851113716,7Networks_LH_Vis_27,superiorparietal
29,9,100,7Networks_LH_Vis_28,inferiorparietal
30,30,99.5073891625616,7Networks_LH_Vis_29,superiorparietal
31,30,55.019305019305,7Networks_LH_Vis_30,superiorparietal
32,30,100,7Networks_LH_Vis_31,superiorparietal
33,31,64.3176733780761,7Networks_LH_SomMot_1,superiortemporal
34,31,74.7430249632893,7Networks_LH_SomMot_2,superiortemporal
35,36,58.740157480315,7Networks_LH_SomMot_3,insula
36,36,75.5941499085923,7Networks_LH_SomMot_4,insula
37,36,57.4136008918618,7Networks_LH_SomMot_5,insula
38,31,97.2299168975069,7Networks_LH_SomMot_6,superiortemporal
39,31,62.6491646778043,7Networks_LH_SomMot_7,superiortemporal
40,23,96.0057061340942,7Networks_LH_SomMot_8,postcentral
41,25,59.0140845070423,7Networks_LH_SomMot_9,precentral
42,32,84.012539184953,7Networks_LH_SomMot_10,supramarginal
43,23,70.4251386321627,7Networks_LH_SomMot_11,postcentral
44,25,61.0208816705336,7Networks_LH_SomMot_12,precentral
45,23,100,7Networks_LH_SomMot_13,postcentral
46,23,65.9442724458204,7Networks_LH_SomMot_14,postcentral
47,23,80.4644808743169,7Networks_LH_SomMot_15,postcentral
48,25,100,7Networks_LH_SomMot_16,precentral
49,23,84.6153846153846,7Networks_LH_SomMot_17,postcentral
50,29,43.7284234752589,7Networks_LH_SomMot_18,superiorfrontal
51,25,94.4992947813822,7Networks_LH_SomMot_19,precentral
52,23,100,7Networks_LH_SomMot_20,postcentral
53,23,99.8089780324737,7Networks_LH_SomMot_21,postcentral
54,23,56.9138276553106,7Networks_LH_SomMot_22,postcentral
55,18,97.8308026030369,7Networks_LH_SomMot_23,paracentral
56,18,100,7Networks_LH_SomMot_24,paracentral
57,29,88.6973180076628,7Networks_LH_SomMot_25,superiorfrontal
58,25,100,7Networks_LH_SomMot_26,precentral
59,30,100,7Networks_LH_SomMot_27,superiorparietal
60,23,86.2666666666667,7Networks_LH_SomMot_28,postcentral
61,23,83.758389261745,7Networks_LH_SomMot_29,postcentral
62,25,86.2539349422875,7Networks_LH_SomMot_30,precentral
63,25,100,7Networks_LH_SomMot_31,precentral
64,18,55.678059536935,7Networks_LH_SomMot_32,paracentral
65,18,74.2077464788732,7Networks_LH_SomMot_33,paracentral
66,25,61.4622057001239,7Networks_LH_SomMot_34,precentral
67,23,85.1140456182473,7Networks_LH_SomMot_35,postcentral
68,23,73.4056987788331,7Networks_LH_SomMot_36,postcentral
69,25,100,7Networks_LH_SomMot_37,precentral
70,10,52.2364217252396,7Networks_LH_DorsAttn_Post_1,inferiortemporal
71,10,71.6371220020855,7Networks_LH_DorsAttn_Post_2,inferiortemporal
72,10,53.0634573304158,7Networks_LH_DorsAttn_Post_3,inferiortemporal
73,9,76.3250883392226,7Networks_LH_DorsAttn_Post_4,inferiorparietal
74,30,72.8119180633147,7Networks_LH_DorsAttn_Post_5,superiorparietal
75,32,100,7Networks_LH_DorsAttn_Post_6,supramarginal
76,30,98.2432432432432,7Networks_LH_DorsAttn_Post_7,superiorparietal
77,23,52.2613065326633,7Networks_LH_DorsAttn_Post_8,postcentral
78,30,78.3783783783784,7Networks_LH_DorsAttn_Post_9,superiorparietal
79,30,100,7Networks_LH_DorsAttn_Post_10,superiorparietal
80,30,56.8897637795276,7Networks_LH_DorsAttn_Post_11,superiorparietal
81,30,100,7Networks_LH_DorsAttn_Post_12,superiorparietal
82,30,99.7946611909651,7Networks_LH_DorsAttn_Post_13,superiorparietal
83,30,100,7Networks_LH_DorsAttn_Post_14,superiorparietal
84,30,56.3786008230453,7Networks_LH_DorsAttn_Post_15,superiorparietal
85,30,100,7Networks_LH_DorsAttn_Post_16,superiorparietal
86,30,91.4786967418546,7Networks_LH_DorsAttn_Post_17,superiorparietal
87,25,82.1150855365474,7Networks_LH_DorsAttn_FEF_1,precentral
88,4,68.5595567867036,7Networks_LH_DorsAttn_FEF_2,caudalmiddlefrontal
89,25,77.1084337349398,7Networks_LH_DorsAttn_FEF_3,precentral
90,29,95.6521739130435,7Networks_LH_DorsAttn_FEF_4,superiorfrontal
91,25,76.318407960199,7Networks_LH_DorsAttn_PrCv_1,precentral
92,25,95.8064516129032,7Networks_LH_DorsAttn_PrCv_2,precentral
93,32,99.3392070484581,7Networks_LH_SalVentAttn_ParOper_1,supramarginal
94,32,95.6214689265537,7Networks_LH_SalVentAttn_ParOper_2,supramarginal
95,32,89.2768079800499,7Networks_LH_SalVentAttn_ParOper_3,supramarginal
96,32,100,7Networks_LH_SalVentAttn_ParOper_4,supramarginal
97,2,53.3495736906212,7Networks_LH_SalVentAttn_TempOcc_1,bankssts
98,31,97.8662873399715,7Networks_LH_SalVentAttn_FrOper_1,superiortemporal
99,36,97.4645786726324,7Networks_LH_SalVentAttn_FrOper_2,insula
100,13,52.6896551724138,7Networks_LH_SalVentAttn_FrOper_3,lateralorbitofrontal
101,36,70.9256844850065,7Networks_LH_SalVentAttn_FrOper_4,insula
102,36,39.2929292929293,7Networks_LH_SalVentAttn_FrOper_5,insula
103,36,59.1168091168091,7Networks_LH_SalVentAttn_FrOper_6,insula
104,19,98.0314960629921,7Networks_LH_SalVentAttn_FrOper_7,parsopercularis
105,25,95.1657458563536,7Networks_LH_SalVentAttn_FrOper_8,precentral
106,19,67.4882629107981,7Networks_LH_SalVentAttn_FrOper_9,parsopercularis
107,28,100,7Networks_LH_SalVentAttn_PFCl_1,rostralmiddlefrontal
108,3,54.5358649789029,7Networks_LH_SalVentAttn_Med_1,caudalanteriorcingulate
109,29,44.6850393700787,7Networks_LH_SalVentAttn_Med_2,superiorfrontal
110,24,60.4210526315789,7Networks_LH_SalVentAttn_Med_3,posteriorcingulate
111,29,100,7Networks_LH_SalVentAttn_Med_4,superiorfrontal
112,26,59.6281540504648,7Networks_LH_SalVentAttn_Med_5,precuneus
113,26,100,7Networks_LH_SalVentAttn_Med_6,precuneus
114,29,99.5073891625616,7Networks_LH_SalVentAttn_Med_7,superiorfrontal
115,13,68.9956331877729,7Networks_LH_Limbic_OFC_1,lateralorbitofrontal
116,13,95.8451369216242,7Networks_LH_Limbic_OFC_2,lateralorbitofrontal
117,13,57.2463768115942,7Networks_LH_Limbic_OFC_3,lateralorbitofrontal
118,15,92.4050632911392,7Networks_LH_Limbic_OFC_4,medialorbitofrontal
119,28,62.0145631067961,7Networks_LH_Limbic_OFC_5,rostralmiddlefrontal
120,10,60.419091967404,7Networks_LH_Limbic_TempPole_1,inferiortemporal
121,34,41.3212435233161,7Networks_LH_Limbic_TempPole_2,temporalpole
122,7,70.1111111111111,7Networks_LH_Limbic_TempPole_3,entorhinal
123,10,99.8915401301518,7Networks_LH_Limbic_TempPole_4,inferiortemporal
124,8,68.9814814814815,7Networks_LH_Limbic_TempPole_5,fusiform
125,31,45.6340956340956,7Networks_LH_Limbic_TempPole_6,superiortemporal
126,34,44.1304347826087,7Networks_LH_Limbic_TempPole_7,temporalpole
127,17,75.3776435045317,7Networks_LH_Limbic_TempPole_8,parahippocampal
128,9,98.7593052109181,7Networks_LH_Cont_Par_1,inferiorparietal
129,32,100,7Networks_LH_Cont_Par_2,supramarginal
130,32,72.461752433936,7Networks_LH_Cont_Par_3,supramarginal
131,9,79.951690821256,7Networks_LH_Cont_Par_4,inferiorparietal
132,9,59.4982078853047,7Networks_LH_Cont_Par_5,inferiorparietal
133,32,98.9461358313817,7Networks_LH_Cont_Par_6,supramarginal
134,16,58.436944937833,7Networks_LH_Cont_Temp_1,middletemporal
135,13,68.649885583524,7Networks_LH_Cont_PFCl_1,lateralorbitofrontal
136,28,46.6395112016293,7Networks_LH_Cont_PFCl_2,rostralmiddlefrontal
137,21,59.8230088495575,7Networks_LH_Cont_PFCl_3,parstriangularis
138,28,100,7Networks_LH_Cont_PFCl_4,rostralmiddlefrontal
139,28,100,7Networks_LH_Cont_PFCl_5,rostralmiddlefrontal
140,28,100,7Networks_LH_Cont_PFCl_6,rostralmiddlefrontal
141,28,46.9919786096257,7Networks_LH_Cont_PFCl_7,rostralmiddlefrontal
142,4,91.2897822445561,7Networks_LH_Cont_PFCl_8,caudalmiddlefrontal
143,28,93.3774834437086,7Networks_LH_Cont_PFCl_9,rostralmiddlefrontal
144,36,66.1122661122661,7Networks_LH_Cont_PFCv_1,insula
145,30,50.177304964539,7Networks_LH_Cont_pCun_1,superiorparietal
146,26,93.3554817275748,7Networks_LH_Cont_pCun_2,precuneus
147,24,56.8627450980392,7Networks_LH_Cont_Cing_1,posteriorcingulate
148,24,95.2973720608575,7Networks_LH_Cont_Cing_2,posteriorcingulate
149,29,100,7Networks_LH_Cont_PFCmp_1,superiorfrontal
150,16,81.9645732689211,7Networks_LH_Default_Temp_1,middletemporal
151,16,84.1930116472546,7Networks_LH_Default_Temp_2,middletemporal
152,10,73.0874316939891,7Networks_LH_Default_Temp_3,inferiortemporal
153,16,64.9908592321755,7Networks_LH_Default_Temp_4,middletemporal
154,31,100,7Networks_LH_Default_Temp_5,superiortemporal
155,16,68.8132474701012,7Networks_LH_Default_Temp_6,middletemporal
156,31,59.3172119487909,7Networks_LH_Default_Temp_7,superiortemporal
157,31,100,7Networks_LH_Default_Temp_8,superiortemporal
158,2,51.8331226295828,7Networks_LH_Default_Temp_9,bankssts
159,2,100,7Networks_LH_Default_Temp_10,bankssts
160,2,46.1538461538462,7Networks_LH_Default_Temp_11,bankssts
161,9,98.4455958549223,7Networks_LH_Default_Temp_12,inferiorparietal
162,9,100,7Networks_LH_Default_Temp_13,inferiorparietal
163,9,100,7Networks_LH_Default_Temp_14,inferiorparietal
164,32,67.2897196261682,7Networks_LH_Default_Temp_15,supramarginal
165,9,100,7Networks_LH_Default_Temp_16,inferiorparietal
166,9,100,7Networks_LH_Default_Temp_17,inferiorparietal
167,13,82.2042467138524,7Networks_LH_Default_PFC_1,lateralorbitofrontal
168,13,50,7Networks_LH_Default_PFC_2,lateralorbitofrontal
169,15,88.7230514096186,7Networks_LH_Default_PFC_3,medialorbitofrontal
170,27,50.2722323049002,7Networks_LH_Default_PFC_4,rostralanteriorcingulate
171,21,55.440414507772,7Networks_LH_Default_PFC_5,parstriangularis
172,28,100,7Networks_LH_Default_PFC_6,rostralmiddlefrontal
173,21,95.4794520547945,7Networks_LH_Default_PFC_7,parstriangularis
174,29,96.969696969697,7Networks_LH_Default_PFC_8,superiorfrontal
175,27,66.8131868131868,7Networks_LH_Default_PFC_9,rostralanteriorcingulate
176,19,91.0377358490566,7Networks_LH_Default_PFC_10,parsopercularis
177,29,63.5792778649921,7Networks_LH_Default_PFC_11,superiorfrontal
178,3,52.8662420382166,7Networks_LH_Default_PFC_12,caudalanteriorcingulate
179,29,100,7Networks_LH_Default_PFC_13,superiorfrontal
180,29,77.3041474654378,7Networks_LH_Default_PFC_14,superiorfrontal
181,28,98.8505747126437,7Networks_LH_Default_PFC_15,rostralmiddlefrontal
182,28,53.698224852071,7Networks_LH_Default_PFC_16,rostralmiddlefrontal
183,4,98.2864137086903,7Networks_LH_Default_PFC_17,caudalmiddlefrontal
184,29,100,7Networks_LH_Default_PFC_18,superiorfrontal
185,29,99.2481203007519,7Networks_LH_Default_PFC_19,superiorfrontal
186,4,69.96699669967,7Networks_LH_Default_PFC_20,caudalmiddlefrontal
187,4,100,7Networks_LH_Default_PFC_21,caudalmiddlefrontal
188,29,75.7861635220126,7Networks_LH_Default_PFC_22,superiorfrontal
189,29,100,7Networks_LH_Default_PFC_23,superiorfrontal
190,29,100,7Networks_LH_Default_PFC_24,superiorfrontal
191,11,70.5787781350482,7Networks_LH_Default_PCC_1,isthmuscingulate
192,26,100,7Networks_LH_Default_PCC_2,precuneus
193,11,53.8461538461538,7Networks_LH_Default_PCC_3,isthmuscingulate
194,11,98.7240829346092,7Networks_LH_Default_PCC_4,isthmuscingulate
195,26,100,7Networks_LH_Default_PCC_5,precuneus
196,26,95.9571938168847,7Networks_LH_Default_PCC_6,precuneus
197,11,63.0116959064327,7Networks_LH_Default_PCC_7,isthmuscingulate
198,24,88.1118881118881,7Networks_LH_Default_PCC_8,posteriorcingulate
199,24,100,7Networks_LH_Default_PCC_9,posteriorcingulate
200,26,100,7Networks_LH_Default_PCC_10,precuneus
201,26,100,7Networks_LH_Default_PCC_11,precuneus
202,0,98.5526975711113,,no label
203,44,100,7Networks_RH_Vis_1,fusiform
204,53,68.0690399137001,7Networks_RH_Vis_2,parahippocampal
205,44,100,7Networks_RH_Vis_3,fusiform
206,44,64.5962732919255,7Networks_RH_Vis_4,fusiform
207,50,48.8324873096447,7Networks_RH_Vis_5,lingual
208,50,50,7Networks_RH_Vis_6,lingual
209,53,87.5598086124402,7Networks_RH_Vis_7,parahippocampal
210,48,77.6363636363636,7Networks_RH_Vis_8,lateraloccipital
211,48,58.4042553191489,7Networks_RH_Vis_9,lateraloccipital
212,48,100,7Networks_RH_Vis_10,lateraloccipital
213,50,100,7Networks_RH_Vis_11,lingual
214,50,100,7Networks_RH_Vis_12,lingual
215,48,100,7Networks_RH_Vis_13,lateraloccipital
216,50,56.4926372155288,7Networks_RH_Vis_14,lingual
217,58,44.5467422096317,7Networks_RH_Vis_15,pericalcarine
218,48,55.3072625698324,7Networks_RH_Vis_16,lateraloccipital
219,47,91.2359550561798,7Networks_RH_Vis_17,isthmuscingulate
220,48,100,7Networks_RH_Vis_18,lateraloccipital
221,58,72.7601156069364,7Networks_RH_Vis_19,pericalcarine
222,50,48.0728051391863,7Networks_RH_Vis_20,lingual
223,48,100,7Networks_RH_Vis_21,lateraloccipital
224,45,58.2535885167464,7Networks_RH_Vis_22,inferiorparietal
225,48,48.3641536273115,7Networks_RH_Vis_23,lateraloccipital
226,42,56.9230769230769,7Networks_RH_Vis_24,cuneus
227,42,98.6531986531986,7Networks_RH_Vis_25,cuneus
228,48,59.3896713615024,7Networks_RH_Vis_26,lateraloccipital
229,45,75.7527733755943,7Networks_RH_Vis_27,inferiorparietal
230,66,39.8305084745763,7Networks_RH_Vis_28,superiorparietal
231,66,96.0681520314548,7Networks_RH_Vis_29,superiorparietal
232,66,100,7Networks_RH_Vis_30,superiorparietal
233,67,98.7654320987654,7Networks_RH_SomMot_1,superiortemporal
234,67,96.2382445141066,7Networks_RH_SomMot_2,superiortemporal
235,67,56.2977099236641,7Networks_RH_SomMot_3,superiortemporal
236,72,59.3558282208589,7Networks_RH_SomMot_4,insula
237,72,78.9179104477612,7Networks_RH_SomMot_5,insula
238,72,89.1803278688525,7Networks_RH_SomMot_6,insula
239,67,100,7Networks_RH_SomMot_7,superiortemporal
240,38,62.6644736842105,7Networks_RH_SomMot_8,bankssts
241,59,52.5,7Networks_RH_SomMot_9,postcentral
242,68,66.8831168831169,7Networks_RH_SomMot_10,supramarginal
243,59,78.6516853932584,7Networks_RH_SomMot_11,postcentral
244,61,64.2857142857143,7Networks_RH_SomMot_12,precentral
245,68,100,7Networks_RH_SomMot_13,supramarginal
246,59,79.1071428571428,7Networks_RH_SomMot_14,postcentral
247,61,100,7Networks_RH_SomMot_15,precentral
248,59,72.8786251342642,7Networks_RH_SomMot_16,postcentral
249,59,52.5798525798526,7Networks_RH_SomMot_17,postcentral
250,61,95.0721153846154,7Networks_RH_SomMot_18,precentral
251,59,83.1730769230769,7Networks_RH_SomMot_19,postcentral
252,60,60.0644122383253,7Networks_RH_SomMot_20,posteriorcingulate
253,59,100,7Networks_RH_SomMot_21,postcentral
254,61,97.1204188481675,7Networks_RH_SomMot_22,precentral
255,59,100,7Networks_RH_SomMot_23,postcentral
256,65,51.8954248366013,7Networks_RH_SomMot_24,superiorfrontal
257,59,63.2478632478632,7Networks_RH_SomMot_25,postcentral
258,61,100,7Networks_RH_SomMot_26,precentral
259,59,98.8716502115656,7Networks_RH_SomMot_27,postcentral
260,66,98.9971346704871,7Networks_RH_SomMot_28,superiorparietal
261,59,74.3710691823899,7Networks_RH_SomMot_29,postcentral
262,54,100,7Networks_RH_SomMot_30,paracentral
263,61,100,7Networks_RH_SomMot_31,precentral
264,54,58.0867850098619,7Networks_RH_SomMot_32,paracentral
265,61,100,7Networks_RH_SomMot_33,precentral
266,59,83.0645161290323,7Networks_RH_SomMot_34,postcentral
267,59,69.5102685624013,7Networks_RH_SomMot_35,postcentral
268,61,51.3684210526316,7Networks_RH_SomMot_36,precentral
269,66,95.1334379905808,7Networks_RH_SomMot_37,superiorparietal
270,54,72.8728728728729,7Networks_RH_SomMot_38,paracentral
271,61,100,7Networks_RH_SomMot_39,precentral
272,59,91.1620294599018,7Networks_RH_SomMot_40,postcentral
273,46,52.7216174183515,7Networks_RH_DorsAttn_Post_1,inferiortemporal
274,52,77.3927392739274,7Networks_RH_DorsAttn_Post_2,middletemporal
275,45,69.2503176620076,7Networks_RH_DorsAttn_Post_3,inferiorparietal
276,45,100,7Networks_RH_DorsAttn_Post_4,inferiorparietal
277,66,66.7889908256881,7Networks_RH_DorsAttn_Post_5,superiorparietal
278,68,100,7Networks_RH_DorsAttn_Post_6,supramarginal
279,66,100,7Networks_RH_DorsAttn_Post_7,superiorparietal
280,68,57.1428571428571,7Networks_RH_DorsAttn_Post_8,supramarginal
281,68,80.2043422733078,7Networks_RH_DorsAttn_Post_9,supramarginal
282,66,98.5111662531017,7Networks_RH_DorsAttn_Post_10,superiorparietal
283,66,73.5294117647059,7Networks_RH_DorsAttn_Post_11,superiorparietal
284,66,100,7Networks_RH_DorsAttn_Post_12,superiorparietal
285,66,64.9946638207044,7Networks_RH_DorsAttn_Post_13,superiorparietal
286,66,98.9037758830694,7Networks_RH_DorsAttn_Post_14,superiorparietal
287,62,52.8998242530756,7Networks_RH_DorsAttn_Post_15,precuneus
288,66,100,7Networks_RH_DorsAttn_Post_16,superiorparietal
289,62,85.9750240153698,7Networks_RH_DorsAttn_Post_17,precuneus
290,66,98.238747553816,7Networks_RH_DorsAttn_Post_18,superiorparietal
291,66,100,7Networks_RH_DorsAttn_Post_19,superiorparietal
292,61,81.3577586206897,7Networks_RH_DorsAttn_FEF_1,precentral
293,61,44.8023426061493,7Networks_RH_DorsAttn_FEF_2,precentral
294,65,74.5379876796715,7Networks_RH_DorsAttn_FEF_3,superiorfrontal
295,61,71.8296224588577,7Networks_RH_DorsAttn_PrCv_1,precentral
296,38,38.2775119617225,7Networks_RH_SalVentAttn_TempOccPar_1,bankssts
297,38,88.1239242685026,7Networks_RH_SalVentAttn_TempOccPar_2,bankssts
298,68,76.0511882998172,7Networks_RH_SalVentAttn_TempOccPar_3,supramarginal
299,68,92.0361990950226,7Networks_RH_SalVentAttn_TempOccPar_4,supramarginal
300,68,99.5695839311334,7Networks_RH_SalVentAttn_TempOccPar_5,supramarginal
301,68,100,7Networks_RH_SalVentAttn_TempOccPar_6,supramarginal
302,68,95.8852867830424,7Networks_RH_SalVentAttn_TempOccPar_7,supramarginal
303,61,78.1976744186046,7Networks_RH_SalVentAttn_PrC_1,precentral
