annot1_idx,annot2_idx,Gof,label1,label2
1,1,96.9225352112676,FreeSurfer_Defined_Medial_Wall,Background+FreeSurfer_Defined_Medial_Wall
2,13,9.46171500104319,17Networks_1,7Networks_LH_Vis_12
3,22,13.7894859540739,17Networks_2,7Networks_LH_Vis_21
4,58,8.42922312248928,17Networks_3,7Networks_LH_SomMot_26
5,34,10.6866614048934,17Networks_4,7Networks_LH_SomMot_2
6,82,11.2461647392023,17Networks_5,7Networks_LH_DorsAttn_Post_13
7,80,11.2285183464933,17Networks_6,7Networks_LH_DorsAttn_Post_11
8,99,10.3822870884816,17Networks_7,7Networks_LH_SalVentAttn_FrOper_2
9,107,12.7359819667512,17Networks_8,7Networks_LH_SalVentAttn_PFCl_1
10,124,14.1566759730662,17Networks_9,7Networks_LH_Limbic_TempPole_5
11,117,21.6173878989622,17Networks_10,7Networks_LH_Limbic_OFC_3
12,148,18.0025940337224,17Networks_11,7Networks_LH_Cont_Cing_2
13,141,11.4790963916999,17Networks_12,7Networks_LH_Cont_PFCl_7
14,136,9.67310549777118,17Networks_13,7Networks_LH_Cont_PFCl_2
15,158,16.2760696624382,17Networks_14,7Networks_LH_Default_Temp_9
16,3,25.8227848101266,17Networks_15,7Networks_LH_Vis_2
17,175,7.35515111036901,17Networks_16,7Networks_LH_Default_PFC_9
18,155,6.87047159018686,17Networks_17,7Networks_LH_Default_Temp_6
19,202,97.1084337349398,FreeSurfer_Defined_Medial_Wall,
20,217,11.2053659498915,17Networks_1,7Networks_RH_Vis_15
21,221,16.8513332521612,17Networks_2,7Networks_RH_Vis_19
22,258,8.1082942959493,17Networks_3,7Networks_RH_SomMot_26
23,248,15.3276259466579,17Networks_4,7Networks_RH_SomMot_16
24,273,11.0823351677997,17Networks_5,7Networks_RH_DorsAttn_Post_1
25,285,9.74863387978142,17Networks_6,7Networks_RH_DorsAttn_Post_13
26,299,7.12479889680533,17Networks_7,7Networks_RH_SalVentAttn_TempOccPar_4
27,312,11.4471511147812,17Networks_8,7Networks_RH_SalVentAttn_PFCl_1
28,327,20.7811971592831,17Networks_9,7Networks_RH_Limbic_TempPole_1
29,323,18.2086251382234,17Networks_10,7Networks_RH_Limbic_OFC_3
30,360,18.8639551192146,17Networks_11,7Networks_RH_Cont_Cing_1
31,349,8.31240282262887,17Networks_12,7Networks_RH_Cont_PFCl_7
32,345,11.7528234321917,17Networks_13,7Networks_RH_Cont_PFCl_3
33,376,15.2045826513912,17Networks_14,7Networks_RH_Default_Temp_8
34,394,29.6962547920967,17Networks_15,7Networks_RH_Default_PCC_1
35,366,7.90960451977401,17Networks_16,7Networks_RH_Default_Par_3
36,369,10.4001176816711,17Networks_17,7Networks_RH_Default_Temp_1
