annot1_idx,annot2_idx,Gof,label1,label2
1,1,93.1056338028169,FreeSurfer_Defined_Medial_Wall,unknown
2,28,44.1998748174421,17Networks_1,OA
3,28,38.920620118895,17Networks_2,OA
4,3,37.1757336419963,17Networks_3,FA
5,36,19.6842936069455,17Networks_4,PF
6,35,35.6974274250649,17Networks_5,PE
7,34,39.2127264282397,17Networks_6,PD
8,4,25.9474251596318,17Networks_7,FB
9,5,17.8641870949563,17Networks_8,FC
10,45,40.5977993102316,17Networks_9,TG
11,11,36.5576659486979,17Networks_10,FF
12,35,56.6536964980545,17Networks_11,PE
13,34,22.2733312889707,17Networks_12,PD
14,7,18.5735512630015,17Networks_13,FD
15,43,71.2104923672329,17Networks_14,TE
16,18,35.0379746835443,17Networks_15,HC
17,7,15.4700283853732,17Networks_16,FD
18,43,26.8780983856616,17Networks_17,TE
19,46,94.3515237420269,FreeSurfer_Defined_Medial_Wall,unknown
20,73,41.3296508187019,17Networks_1,OA
21,73,34.9324242055278,17Networks_2,OA
22,48,29.9738219895288,17Networks_3,FA
23,81,16.2742838327297,17Networks_4,PF
24,79,29.0816877090752,17Networks_5,PD
25,79,36.1857923497268,17Networks_6,PD
26,49,25.0900176204704,17Networks_7,FB
27,52,16.3914120561519,17Networks_8,FD
28,90,36.5065945214745,17Networks_9,TG
29,56,40.656100258017,17Networks_10,FF
30,80,53.9270687237027,17Networks_11,PE
31,79,26.169118526492,17Networks_12,PD
32,49,18.6208796253788,17Networks_13,FB
33,88,76.20294599018,17Networks_14,TE
34,63,28.0448245355352,17Networks_15,HC
35,52,17.2639225181598,17Networks_16,FD
36,88,29.2880258899676,17Networks_17,TE
