annot1_idx,annot2_idx,Gof,label1,label2
1,1,90.6197183098592,FreeSurfer_Defined_Medial_Wall,cortical_wall
2,4,60.8387231379095,17Networks_1,unimodal
3,5,67.350507052104,17Networks_2,idiotypic
4,5,84.4420235582488,17Networks_3,idiotypic
5,5,44.7434885556433,17Networks_4,idiotypic
6,4,57.6233183856502,17Networks_5,unimodal
7,4,40.1648862052949,17Networks_6,unimodal
8,4,35.6911850070487,17Networks_7,unimodal
9,3,58.5376162299239,17Networks_8,heteromodal
10,2,59.8292001970767,17Networks_9,paralimbic
11,2,65.6158214215782,17Networks_10,paralimbic
12,3,48.1193255512322,17Networks_11,heteromodal
13,3,49.4326893590923,17Networks_12,heteromodal
14,3,68.6924219910847,17Networks_13,heteromodal
15,4,64.3947538163836,17Networks_14,unimodal
16,3,39.0632911392405,17Networks_15,heteromodal
17,3,67.9913174152613,17Networks_16,heteromodal
18,3,63.2197788229312,17Networks_17,heteromodal
19,0,97.6045357902197,FreeSurfer_Defined_Medial_Wall,no label
20,10,50.9469323337936,17Networks_1,idiotypic
21,10,62.7298185802995,17Networks_2,idiotypic
22,10,72.7128685588316,17Networks_3,idiotypic
23,9,38.6154099440237,17Networks_4,unimodal
24,8,49.8974857019532,17Networks_5,heteromodal
25,8,38.5027322404372,17Networks_6,heteromodal
26,9,44.0971424193672,17Networks_7,unimodal
27,8,58.4331131296449,17Networks_8,heteromodal
28,7,53.5678052079811,17Networks_9,paralimbic
29,7,51.2716549944711,17Networks_10,paralimbic
30,8,53.4595605423095,17Networks_11,heteromodal
31,8,61.9184308097118,17Networks_12,heteromodal
32,8,73.4092369846662,17Networks_13,heteromodal
33,9,74.6481178396072,17Networks_14,unimodal
34,8,40.2536125036862,17Networks_15,heteromodal
35,8,70.9120258272801,17Networks_16,heteromodal
36,8,70.2853780523683,17Networks_17,heteromodal
