annot1_idx,annot2_idx,Gof,label1,label2
1,1,99.9366197183099,FreeSurfer_Defined_Medial_Wall,unknown
2,1,100,17Networks_1,unknown
3,1,100,17Networks_2,unknown
4,1,100,17Networks_3,unknown
5,1,100,17Networks_4,unknown
6,1,99.1031390134529,17Networks_5,unknown
7,1,100,17Networks_6,unknown
8,1,100,17Networks_7,unknown
9,1,100,17Networks_8,unknown
10,1,90.0804729840696,17Networks_9,unknown
11,1,95.6921871940474,17Networks_10,unknown
12,1,100,17Networks_11,unknown
13,1,97.6592047429214,17Networks_12,unknown
14,1,92.927191679049,17Networks_13,unknown
15,1,100,17Networks_14,unknown
16,1,94.6329113924051,17Networks_15,unknown
17,1,98.4137585573552,17Networks_16,unknown
18,1,97.4450235159527,17Networks_17,unknown
19,10,99.9220411055989,FreeSurfer_Defined_Medial_Wall,unknown
20,10,100,17Networks_1,unknown
21,10,100,17Networks_2,unknown
22,10,100,17Networks_3,unknown
23,10,100,17Networks_4,unknown
24,10,98.0360418689975,17Networks_5,unknown
25,10,99.1147540983607,17Networks_6,unknown
26,10,99.7931509997702,17Networks_7,unknown
27,10,99.5148637489678,17Networks_8,unknown
28,10,91.8667568481569,17Networks_9,unknown
29,10,92.5543678584593,17Networks_10,unknown
30,10,100,17Networks_11,unknown
31,10,98.5288841047721,17Networks_12,unknown
32,10,96.6761546230833,17Networks_13,unknown
33,10,96.9721767594108,17Networks_14,unknown
34,10,97.9946918313182,17Networks_15,unknown
35,10,98.272800645682,17Networks_16,unknown
36,10,98.2347749338041,17Networks_17,unknown
