annot1_idx,annot2_idx,Gof,label1,label2
1,1,82.2464788732394,FreeSurfer_Defined_Medial_Wall,sjh_0
2,172,4.50657208428959,17Networks_1,sjh_171
3,134,6.44597272409372,17Networks_2,sjh_133
4,17,4.77973718254238,17Networks_3,sjh_16
5,281,6.06156274664562,17Networks_4,sjh_282
6,218,6.32523011564786,17Networks_5,sjh_217
7,212,8.66233163028332,17Networks_6,sjh_211
8,234,4.55261630317605,17Networks_7,sjh_235
9,54,7.39644970414201,17Networks_8,sjh_53
10,197,6.09295450812941,17Networks_9,sjh_196
11,75,6.7358527511259,17Networks_10,sjh_74
12,1,18.313878080415,17Networks_11,sjh_0
13,226,10.916896657467,17Networks_12,sjh_227
14,244,9.65824665676077,17Networks_13,sjh_245
15,289,8.60030101053537,17Networks_14,sjh_290
16,129,8.15189873417722,17Networks_15,sjh_128
17,47,3.93220904992486,17Networks_16,sjh_46
18,357,3.01893987542901,17Networks_17,sjh_359
19,506,85.6130403968816,FreeSurfer_Defined_Medial_Wall,sjh_0
20,660,4.08364568948511,17Networks_1,sjh_662
21,639,7.64641422135639,17Networks_2,sjh_641
22,724,4.79470928630477,17Networks_3,sjh_726
23,710,4.27230819888047,17Networks_4,sjh_712
24,948,8.08244307758714,17Networks_5,sjh_950
25,717,8.89617486338798,17Networks_6,sjh_719
26,621,3.8228759672106,17Networks_7,sjh_623
27,559,6.17258464079273,17Networks_8,sjh_561
28,698,7.22015556307068,17Networks_9,sjh_700
29,580,7.59307040176926,17Networks_10,sjh_582
30,506,13.838242169238,17Networks_11,sjh_0
31,733,10.8838655663198,17Networks_12,sjh_735
32,751,3.27793591038472,17Networks_13,sjh_753
33,811,11.4238952536825,17Networks_14,sjh_813
34,771,9.05337658507815,17Networks_15,sjh_773
35,824,3.76916868442292,17Networks_16,sjh_826
36,819,3.66284201235658,17Networks_17,sjh_821
