annot1_idx,annot2_idx,Gof,label1,label2
1,0,46.4788732394366,FreeSurfer_Defined_Medial_Wall,no matching lookup
2,2,19.3278476331361,7Networks_1,L_V1_ROI
3,9,13.4831083350124,7Networks_2,L_4_ROI
4,118,9.06287476443378,7Networks_3,L_AIP_ROI
5,149,7.90593376264949,7Networks_4,L_PF_ROI
6,132,12.8031634446397,7Networks_5,L_TGd_ROI
7,150,7.14156898106402,7Networks_6,L_PFm_ROI
8,151,4.93855128277737,7Networks_7,L_PGi_ROI
9,0,48.2423812898653,FreeSurfer_Defined_Medial_Wall,no matching lookup
10,191,18.5532217238776,7Networks_1,R_V1_ROI
11,198,12.761942596087,7Networks_2,R_4_ROI
12,307,9.63417405135197,7Networks_3,R_AIP_ROI
13,338,7.79816513761468,7Networks_4,R_PF_ROI
14,321,13.3717926640262,7Networks_5,R_TGd_ROI
15,339,8.58934169278997,7Networks_6,R_PFm_ROI
16,340,7.56831439975438,7Networks_7,R_PGi_ROI
