annot1_idx,annot2_idx,Gof,label1,label2
1,15,37.7215189873418,G_cingulate-Isthmus,L_RSC_ROI
2,33,16.7423977630199,G_cingulate-Main_part,L_23d_ROI
3,5,46.4503042596349,G_cuneus,L_V2_ROI
4,75,29.5429815016322,G_frontal_inf-Opercular_part,L_44_ROI
5,77,86.1471861471861,G_frontal_inf-Orbital_part,L_47l_ROI
6,76,56.0114503816794,G_frontal_inf-Triangular_part,L_45_ROI
7,68,23.9613274105043,G_frontal_middle,L_8Av_ROI
8,44,10.661807922887,G_frontal_superior,L_SCEF_ROI
9,90,36.8421052631579,G_frontomarginal,L_a10p_ROI
10,107,46.2214411247803,G_insular_long,L_PoI2_ROI
11,110,38.0400421496312,G_insular_short,L_MI_ROI
12,7,25.9286234522942,G_and_S_occipital_inferior,L_V4_ROI
13,144,26.504854368932,G_occipital_middle,L_PGp_ROI
14,14,32.6747720364742,G_occipital_superior,L_V3A_ROI
15,164,36.2177650429799,G_occipit-temp_lat-Or_fusiform,L_VVC_ROI
16,5,41.2717699473471,G_occipit-temp_med-Lingual_part,L_V2_ROI
17,123,31.25,G_occipit-temp_med-Parahippocampal_part,L_PeEc_ROI
18,78,24.8392282958199,G_orbital,L_a47r_ROI
19,9,27.9891304347826,G_paracentral,L_4_ROI
20,150,47.7531857813548,G_parietal_inferior-Angular_part,L_PFm_ROI
21,149,40.8539228435197,G_parietal_inferior-Supramarginal_part,L_PF_ROI
22,43,20.8769792935445,G_parietal_superior,L_7AL_ROI
23,52,52.198263791655,G_postcentral,L_1_ROI
24,9,31.3376753507014,G_precentral,L_4_ROI
25,46,19.2242833052277,G_precuneus,L_7Am_ROI
26,89,48.9150090415913,G_rectus,L_10v_ROI
27,188,29.3233082706767,G_subcallosal,Left-Accumbens-area
28,101,39.5761741122566,G_subcentral,L_OP4_ROI
29,135,30.2791977978765,G_temporal_inferior,L_TE2a_ROI
30,133,23.5210768685795,G_temporal_middle,L_TE1a_ROI
31,25,42.1895861148198,G_temp_sup-G_temp_transv_and_interm_S,L_A1_ROI
32,176,26.6189759036145,G_temp_sup-Lateral_aspect,L_A4_ROI
33,132,52.4515393386545,G_temp_sup-Planum_polare,L_TGd_ROI
34,26,39.3782383419689,G_temp_sup-Planum_tempolare,L_PSL_ROI
35,171,52.8767123287671,G_and_S_transverse_frontopolar,L_p10p_ROI
36,170,40.7317073170732,Lat_Fissure-ant_sgt-ramus_horizontal,L_FOP5_ROI
37,76,40.4358353510896,Lat_Fissure-ant_sgt-ramus_vertical,L_45_ROI
38,105,42.9268292682927,Lat_Fissure-post_sgt,L_RI_ROI
39,0,45.9782530424138,Medial_wall,no matching lookup
40,2,52.3676880222841,Pole_occipital,L_V1_ROI
41,132,57.5268817204301,Pole_temporal,L_TGd_ROI
42,2,60.9545163356822,S_calcarine,L_V1_ROI
43,9,34.0483132028322,S_central,L_4_ROI
44,107,92.3404255319149,S_central_insula,L_PoI2_ROI
45,61,13.1844380403458,S_cingulate-Main_part_and_Intracingulate,L_p32pr_ROI
46,38,43.979394719897,S_cingulate-Marginalis_part,L_5mv_ROI
47,112,54.4483985765125,S_circular_insula_anterior,L_AVI_ROI
48,168,30.0813008130081,S_circular_insula_inferior,L_PoI1_ROI
49,109,17.9487179487179,S_circular_insula_superior,L_FOP4_ROI
50,136,87.1794871794872,S_collateral_transverse_ant,L_TF_ROI
51,7,60.1769911504425,S_collateral_transverse_post,L_V4_ROI
52,83,19.9029126213592,S_frontal_inferior,L_IFSa_ROI
53,87,61.2244897959184,S_frontal_middle,L_9-46d_ROI
54,69,34.1463414634146,S_frontal_superior,L_8Ad_ROI
55,90,59.8911070780399,S_frontomarginal,L_a10p_ROI
56,150,98.989898989899,S_intermedius_primus-Jensen,L_PFm_ROI
57,145,17.8132118451025,S_intraparietal-and_Parietal_transverse,L_IP2_ROI
58,3,36.8728121353559,S_occipital_anterior,L_MST_ROI
59,7,32.3030907278166,S_occipital_middle_and_Lunatus,L_V4_ROI
60,20,26.9433962264151,S_occipital_superior_and_transversalis,L_V3B_ROI
61,139,39.5348837209302,S_occipito-temporal_lateral,L_PH_ROI
62,128,21.9425874950845,S_occipito-temporal_medial_and_S_Lingual,L_PHA3_ROI
63,92,43.1275720164609,S_orbital-H_shapped,L_11l_ROI
64,172,84.9230769230769,S_orbital_lateral,L_p47r_ROI
65,94,65.8808933002481,S_orbital_medial-Or_olfactory,L_OFC_ROI
66,9,94.19795221843,S_paracentral,L_4_ROI
67,16,26.6304347826087,S_parieto_occipital,L_POS2_ROI
68,0,69.7223446452182,S_pericallosal,no matching lookup
69,53,42.3303167420815,S_postcentral,L_2_ROI
