annot1_idx,annot2_idx,Gof,label1,label2
1,11,91.1392405063291,G_cingulate-Isthmus,isthmuscingulate
2,24,41.9084236281021,G_cingulate-Main_part,posteriorcingulate
3,6,73.5632183908046,G_cuneus,cuneus
4,19,73.3405875952122,G_frontal_inf-Opercular_part,parsopercularis
5,20,50.2164502164502,G_frontal_inf-Orbital_part,parsorbitalis
6,21,84.9236641221374,G_frontal_inf-Triangular_part,parstriangularis
7,28,59.0802194930755,G_frontal_middle,rostralmiddlefrontal
8,29,87.2105325026449,G_frontal_superior,superiorfrontal
9,28,87.1345029239766,G_frontomarginal,rostralmiddlefrontal
10,36,100,G_insular_long,insula
11,36,99.7892518440464,G_insular_short,insula
12,12,91.7698470502549,G_and_S_occipital_inferior,lateraloccipital
13,12,55.2427184466019,G_occipital_middle,lateraloccipital
14,30,67.9331306990882,G_occipital_superior,superiorparietal
15,8,100,G_occipit-temp_lat-Or_fusiform,fusiform
16,14,93.3576346699068,G_occipit-temp_med-Lingual_part,lingual
17,17,53.0594405594406,G_occipit-temp_med-Parahippocampal_part,parahippocampal
18,13,66.7202572347267,G_orbital,lateralorbitofrontal
19,18,56.1594202898551,G_paracentral,paracentral
20,9,83.3668678739101,G_parietal_inferior-Angular_part,inferiorparietal
21,32,95.3619419159081,G_parietal_inferior-Supramarginal_part,supramarginal
22,30,96.1266747868453,G_parietal_superior,superiorparietal
23,23,99.5799495939513,G_postcentral,postcentral
24,25,98.1462925851703,G_precentral,precentral
25,26,92.3833614390107,G_precuneus,precuneus
26,15,96.3833634719711,G_rectus,medialorbitofrontal
27,15,63.1578947368421,G_subcallosal,medialorbitofrontal
28,23,69.1294387170676,G_subcentral,postcentral
29,10,94.0621313409359,G_temporal_inferior,inferiortemporal
30,16,93.6238044633369,G_temporal_middle,middletemporal
31,35,80.7743658210948,G_temp_sup-G_temp_transv_and_interm_S,transversetemporal
32,31,88.5918674698795,G_temp_sup-Lateral_aspect,superiortemporal
33,31,62.9418472063854,G_temp_sup-Planum_polare,superiortemporal
34,31,64.5447816432272,G_temp_sup-Planum_tempolare,superiortemporal
35,28,52.1917808219178,G_and_S_transverse_frontopolar,rostralmiddlefrontal
36,21,88.0487804878049,Lat_Fissure-ant_sgt-ramus_horizontal,parstriangularis
37,19,69.7336561743341,Lat_Fissure-ant_sgt-ramus_vertical,parsopercularis
38,32,41.3658536585366,Lat_Fissure-post_sgt,supramarginal
39,0,100,Medial_wall,no label
40,12,93.3147632311978,Pole_occipital,lateraloccipital
41,34,39.6057347670251,Pole_temporal,temporalpole
42,22,47.91800128123,S_calcarine,pericalcarine
43,25,54.914618908788,S_central,precentral
44,36,100,S_central_insula,insula
45,29,47.7125360230548,S_cingulate-Main_part_and_Intracingulate,superiorfrontal
46,26,46.941403734707,S_cingulate-Marginalis_part,precuneus
47,13,77.3428232502966,S_circular_insula_anterior,lateralorbitofrontal
48,36,46.8383017163505,S_circular_insula_inferior,insula
49,36,51.2820512820513,S_circular_insula_superior,insula
50,8,59.3846153846154,S_collateral_transverse_ant,fusiform
51,8,43.6578171091445,S_collateral_transverse_post,fusiform
52,28,47.9699911738747,S_frontal_inferior,rostralmiddlefrontal
53,28,99.7888810696692,S_frontal_middle,rostralmiddlefrontal
54,29,54.614370468029,S_frontal_superior,superiorfrontal
55,28,95.0998185117967,S_frontomarginal,rostralmiddlefrontal
56,32,76.969696969697,S_intermedius_primus-Jensen,supramarginal
57,30,70.1138952164009,S_intraparietal-and_Parietal_transverse,superiorparietal
58,12,69.3115519253209,S_occipital_anterior,lateraloccipital
59,12,88.135593220339,S_occipital_middle_and_Lunatus,lateraloccipital
60,30,45.7358490566038,S_occipital_superior_and_transversalis,superiorparietal
61,8,54.0169133192389,S_occipito-temporal_lateral,fusiform
