annot1_idx,annot2_idx,Gof,label1,label2
1,155,50.0413624429018,no label,unknown_part1
2,104,48.2832618025751,G_and_S_frontomargin,rostralmiddlefrontal_part4
3,39,49.0211433046202,G_and_S_occipital_inf,lateraloccipital_part6
4,63,35.9154929577465,G_and_S_paracentral,paracentral_part1
5,75,41.1584196394323,G_and_S_subcentral,postcentral_part2
6,111,32.5358851674641,G_and_S_transv_frontopol,superiorfrontal_part1
7,100,40.7646245969599,G_and_S_cingul-Ant,rostralanteriorcingulate_part1
8,4,39.8569238630557,G_and_S_cingul-Mid-Ant,caudalanteriorcingulate_part1
9,83,34.5347862531433,G_and_S_cingul-Mid-Post,posteriorcingulate_part2
10,33,46.6302367941712,G_cingul-Post-dorsal,isthmuscingulate_part2
11,32,97.1153846153846,G_cingul-Post-ventral,isthmuscingulate_part1
12,11,38.6713286713287,G_cuneus,cuneus_part2
13,67,40.6666666666667,G_front_inf-Opercular,parsopercularis_part2
14,69,54.9668874172185,G_front_inf-Orbital,parsorbitalis_part1
15,70,60.0995024875622,G_front_inf-Triangul,parstriangularis_part1
16,8,13.0056444026341,G_front_middle,caudalmiddlefrontal_part4
17,112,12.1634500833929,G_front_sup,superiorfrontal_part2
18,152,36.4109232769831,G_Ins_lg_and_S_cent_ins,insula_part2
19,152,54.978354978355,G_insular_short,insula_part2
20,37,22.6406101048618,G_occipital_middle,lateraloccipital_part4
21,129,36.996336996337,G_occipital_sup,superiorparietal_part6
22,13,27.9247501469724,G_oc-temp_lat-fusifor,fusiform_part1
23,50,22.9158276278695,G_oc-temp_med-Lingual,lingual_part4
24,12,39.4453642384106,G_oc-temp_med-Parahip,entorhinal_part1
25,44,26.984126984127,G_orbital,lateralorbitofrontal_part2
26,23,26.0617760617761,G_pariet_inf-Angular,inferiorparietal_part6
27,144,22.258064516129,G_pariet_inf-Supramar,supramarginal_part4
28,130,29.1706161137441,G_parietal_sup,superiorparietal_part7
29,78,19.3787403818752,G_postcentral,postcentral_part5
30,88,14.499484004128,G_precentral,precentral_part5
31,98,24.3220338983051,G_precuneus,precuneus_part6
32,53,41.3533834586466,G_rectus,medialorbitofrontal_part1
33,53,54.5833333333333,G_subcallosal,medialorbitofrontal_part1
34,150,83.1005586592179,G_temp_sup-G_T_transv,transversetemporal_part1
35,136,20.5818965517241,G_temp_sup-Lateral,superiortemporal_part3
36,135,37.3678025851939,G_temp_sup-Plan_polar,superiortemporal_part2
37,145,35.1444291609354,G_temp_sup-Plan_tempo,supramarginal_part5
38,28,19.0457413249211,G_temporal_inf,inferiortemporal_part3
39,59,23.51150202977,G_temporal_middle,middletemporal_part4
40,71,92.5133689839572,Lat_Fis-ant-Horizont,parstriangularis_part2
41,66,28.8306451612903,Lat_Fis-ant-Vertical,parsopercularis_part1
42,134,25.7680872150644,Lat_Fis-post,superiortemporal_part1
43,38,31.0650887573964,Pole_occipital,lateraloccipital_part5
44,149,37.4473208910295,Pole_temporal,temporalpole_part1
45,73,31.5072933549433,S_calcarine,pericalcarine_part2
46,84,17.012617012617,S_central,precentral_part1
47,82,24.5833333333333,S_cingul-Marginalis,posteriorcingulate_part1
48,46,65.5793025871766,S_circular_insula_ant,lateralorbitofrontal_part4
49,135,17.8643930166464,S_circular_insula_inf,superiortemporal_part2
50,154,18.5700420575865,S_circular_insula_sup,insula_part4
51,14,42.3110338835795,S_collat_transv_ant,fusiform_part2
