annot1_idx,annot2_idx,Gof,label1,label2
1,0,96.0328022155882,no label,no label
2,109,42.381974248927,G_and_S_frontomargin,rostralmiddlefrontal_part3
3,40,38.4494909945184,G_and_S_occipital_inf,lateraloccipital_part4
4,68,37.6320422535211,G_and_S_paracentral,paracentral_part1
5,81,44.3805140007672,G_and_S_subcentral,postcentral_part2
6,115,45.6140350877193,G_and_S_transv_frontopol,rostralmiddlefrontal_part9
7,106,42.9755872869645,G_and_S_cingul-Ant,rostralanteriorcingulate_part1
8,4,59.274399591211,G_and_S_cingul-Mid-Ant,caudalanteriorcingulate_part1
9,89,65.2975691533948,G_and_S_cingul-Mid-Post,posteriorcingulate_part2
10,36,51.6393442622951,G_cingul-Post-dorsal,isthmuscingulate_part2
11,35,64.0384615384615,G_cingul-Post-ventral,isthmuscingulate_part1
12,12,31.958041958042,G_cuneus,cuneus_part3
13,72,41.7222222222222,G_front_inf-Opercular,parsopercularis_part2
14,74,67.991169977925,G_front_inf-Orbital,parsorbitalis_part1
15,75,50.2487562189055,G_front_inf-Triangul,parstriangularis_part1
16,7,17.3330197554092,G_front_middle,caudalmiddlefrontal_part3
17,118,10.6266380748153,G_front_sup,superiorfrontal_part1
18,159,35.8907672301691,G_Ins_lg_and_S_cent_ins,insula_part2
19,161,42.2077922077922,G_insular_short,insula_part4
20,20,26.0247855100095,G_occipital_middle,inferiorparietal_part1
21,136,37.2161172161172,G_occipital_sup,superiorparietal_part6
22,17,26.5138154027043,G_oc-temp_lat-fusifor,fusiform_part4
23,54,21.5062424486508,G_oc-temp_med-Lingual,lingual_part4
24,0,57.4917218543046,G_oc-temp_med-Parahip,no label
25,47,23.531746031746,G_orbital,lateralorbitofrontal_part2
26,28,21.3642213642214,G_pariet_inf-Angular,inferiorparietal_part9
27,153,24.3424317617866,G_pariet_inf-Supramar,supramarginal_part6
28,138,26.0900473933649,G_parietal_sup,superiorparietal_part8
29,85,20.1481903676261,G_postcentral,postcentral_part6
30,90,21.9814241486068,G_precentral,precentral_part1
31,102,22.8531073446328,G_precuneus,precuneus_part4
32,59,34.2522974101921,G_rectus,medialorbitofrontal_part3
33,106,40.4166666666667,G_subcallosal,rostralanteriorcingulate_part1
34,157,84.0782122905028,G_temp_sup-G_T_transv,transversetemporal_part1
35,141,20.7974137931034,G_temp_sup-Lateral,superiortemporal_part1
36,158,40.1880141010576,G_temp_sup-Plan_polar,insula_part1
37,143,43.1224209078404,G_temp_sup-Plan_tempo,superiortemporal_part3
38,31,20.1892744479495,G_temporal_inf,inferiortemporal_part3
39,62,22.8349120433018,G_temporal_middle,middletemporal_part2
40,75,46.2566844919786,Lat_Fis-ant-Horizont,parstriangularis_part1
41,76,47.9838709677419,Lat_Fis-ant-Vertical,parstriangularis_part2
42,148,33.7462834489594,Lat_Fis-post,supramarginal_part1
43,44,27.8599605522682,Pole_occipital,lateraloccipital_part8
44,156,34.4972907886815,Pole_temporal,temporalpole_part1
45,35,26.2560777957861,S_calcarine,isthmuscingulate_part1
46,98,22.039072039072,S_central,precentral_part9
47,88,40.0520833333333,S_cingul-Marginalis,posteriorcingulate_part1
48,50,69.1788526434196,S_circular_insula_ant,lateralorbitofrontal_part5
49,160,22.9801055623224,S_circular_insula_inf,insula_part3
50,159,25.5257198317697,S_circular_insula_sup,insula_part2
51,15,38.9226759339705,S_collat_transv_ant,fusiform_part2
52,56,56.0371517027864,S_collat_transv_post,lingual_part6
53,112,23.5050597976081,S_front_inf,rostralmiddlefrontal_part6
54,117,27.4709302325581,S_front_middle,rostralmiddlefrontal_part11
55,110,19.2675684592544,S_front_sup,rostralmiddlefrontal_part4
56,28,41.6091954022989,S_interm_prim-Jensen,inferiorparietal_part9
57,139,25.0623724200499,S_intrapariet_and_P_trans,superiorparietal_part9
58,39,57.3080967402734,S_oc_middle_and_Lunatus,lateraloccipital_part3
59,137,32.4215607401448,S_oc_sup_and_transversal,superiorparietal_part7
60,38,37.6528117359413,S_occipital_ant,lateraloccipital_part2
61,19,37.2352285395764,S_oc-temp_lat,fusiform_part6
62,67,51.1894647408666,S_oc-temp_med_and_Lingual,parahippocampal_part1
63,113,30.3370786516854,S_orbital_lateral,rostralmiddlefrontal_part7
64,57,37.956204379562,S_orbital_med-olfact,medialorbitofrontal_part1
65,48,44.2028985507246,S_orbital-H_Shaped,lateralorbitofrontal_part3
66,103,30.7657657657658,S_parieto_occipital,precuneus_part5
67,0,77.2785622593068,S_pericallosal,no label
68,150,24.5558803687879,S_postcentral,supramarginal_part3
69,93,27.4853801169591,S_precentral-inf-part,precentral_part4
70,96,34.5612134344529,S_precentral-sup-part,precentral_part7
71,60,50.8086253369272,S_suborbital,medialorbitofrontal_part4
72,36,39.0728476821192,S_subparietal,isthmuscingulate_part2
73,30,11.2511251125113,S_temporal_inf,inferiortemporal_part2
74,23,13.8067061143984,S_temporal_sup,inferiorparietal_part4
75,144,65.9574468085106,S_temporal_transverse,superiortemporal_part4
76,270,47.0238095238095,G_and_S_frontomargin,rostralmiddlefrontal_part3
77,199,34.7292418772563,G_and_S_occipital_inf,lateraloccipital_part2
78,229,38.8204225352113,G_and_S_paracentral,paracentral_part1
79,242,51.3120899718838,G_and_S_subcentral,postcentral_part2
80,276,44.2563482466747,G_and_S_transv_frontopol,rostralmiddlefrontal_part9
81,267,40.7904022582922,G_and_S_cingul-Ant,rostralanteriorcingulate_part1
82,165,58.8529813381884,G_and_S_cingul-Mid-Ant,caudalanteriorcingulate_part1
83,250,63.562925170068,G_and_S_cingul-Mid-Post,posteriorcingulate_part2
84,197,48.4290357529794,G_cingul-Post-dorsal,isthmuscingulate_part2
85,196,77.1103896103896,G_cingul-Post-ventral,isthmuscingulate_part1
86,173,29.1376912378303,G_cuneus,cuneus_part3
87,233,42.0280612244898,G_front_inf-Opercular,parsopercularis_part2
88,236,74.6527777777778,G_front_inf-Orbital,parstriangularis_part1
89,237,39.3278837420527,G_front_inf-Triangul,parstriangularis_part2
90,168,16.3663293014071,G_front_middle,caudalmiddlefrontal_part3
91,279,10.4627510806001,G_front_sup,superiorfrontal_part1
92,320,42.3273657289003,G_Ins_lg_and_S_cent_ins,insula_part2
93,322,52.773826458037,G_insular_short,insula_part4
94,181,25.0358337314859,G_occipital_middle,inferiorparietal_part1
95,297,45.9376908979841,G_occipital_sup,superiorparietal_part6
96,178,25.9005145797599,G_oc-temp_lat-fusifor,fusiform_part4
97,214,26.0869565217391,G_oc-temp_med-Lingual,lingual_part3
98,0,48.5688729874776,G_oc-temp_med-Parahip,no label
99,235,19.8854061341422,G_orbital,parsorbitalis_part1
100,185,21.5217391304348,G_pariet_inf-Angular,inferiorparietal_part5
101,314,29.512893982808,G_pariet_inf-Supramar,supramarginal_part6
102,295,26.1390887290168,G_parietal_sup,superiorparietal_part4
103,245,17.0172084130019,G_postcentral,postcentral_part5
104,258,16.1574313827033,G_precentral,precentral_part8
105,263,23.1436590967083,G_precuneus,precuneus_part4
106,220,37.9828326180258,G_rectus,medialorbitofrontal_part3
107,218,45.4545454545455,G_subcallosal,medialorbitofrontal_part1
108,318,90.4847396768402,G_temp_sup-G_T_transv,transversetemporal_part1
109,302,18.6882655077045,G_temp_sup-Lateral,superiortemporal_part1
110,303,27.8666666666667,G_temp_sup-Plan_polar,superiortemporal_part2
111,304,43.3463796477495,G_temp_sup-Plan_tempo,superiortemporal_part3
112,192,25.4729432468104,G_temporal_inf,inferiortemporal_part3
113,223,24.6732547019445,G_temporal_middle,middletemporal_part2
114,237,64.2857142857143,Lat_Fis-ant-Horizont,parstriangularis_part2
115,237,42.7118644067797,Lat_Fis-ant-Vertical,parstriangularis_part2
116,321,41.6282642089094,Lat_Fis-post,insula_part3
117,205,23.6720142602496,Pole_occipital,lateraloccipital_part8
118,317,30.4730473047305,Pole_temporal,temporalpole_part1
119,196,27.0065075921909,S_calcarine,isthmuscingulate_part1
120,259,19.5407098121086,S_central,precentral_part9
121,249,38.4839650145773,S_cingul-Marginalis,posteriorcingulate_part1
122,211,64.2626480086114,S_circular_insula_ant,lateralorbitofrontal_part5
123,307,22.3834652594547,S_circular_insula_inf,superiortemporal_part6
124,320,41.5882112157184,S_circular_insula_sup,insula_part2
125,176,43.2584269662921,S_collat_transv_ant,fusiform_part2
126,201,29.7560975609756,S_collat_transv_post,lateraloccipital_part4
127,273,24.1218789674143,S_front_inf,rostralmiddlefrontal_part6
128,277,23.3532934131737,S_front_middle,rostralmiddlefrontal_part10
129,166,16.9360505973296,S_front_sup,caudalmiddlefrontal_part1
130,315,36.8020304568528,S_interm_prim-Jensen,supramarginal_part7
131,300,27.1685761047463,S_intrapariet_and_P_trans,superiorparietal_part9
132,200,55.0970873786408,S_oc_middle_and_Lunatus,lateraloccipital_part3
133,298,33.3333333333333,S_oc_sup_and_transversal,superiorparietal_part7
134,203,41.3494809688581,S_occipital_ant,lateraloccipital_part6
135,180,34.3169398907104,S_oc-temp_lat,fusiform_part6
136,228,48.9177489177489,S_oc-temp_med_and_Lingual,parahippocampal_part1
137,236,29.1666666666667,S_orbital_lateral,parstriangularis_part1
138,218,41.9558359621451,S_orbital_med-olfact,medialorbitofrontal_part1
139,209,43.190975020145,S_orbital-H_Shaped,lateralorbitofrontal_part3
140,264,31.1700182815357,S_parieto_occipital,precuneus_part5
141,0,78.7618228718831,S_pericallosal,no label
142,311,24.6456882056209,S_postcentral,supramarginal_part3
143,254,30.4231387252276,S_precentral-inf-part,precentral_part4
144,255,29.9479166666667,S_precentral-sup-part,precentral_part5
145,221,42.9561200923788,S_suborbital,medialorbitofrontal_part4
146,197,39.325221238938,S_subparietal,isthmuscingulate_part2
147,191,16.4772727272727,S_temporal_inf,inferiortemporal_part2
148,163,14.4944252210688,S_temporal_sup,bankssts_part1
149,318,55.2058111380145,S_temporal_transverse,transversetemporal_part1
