annot1_idx,annot2_idx,Gof,label1,label2
1,0,86.6992770564327,no label,no matching lookup
2,90,49.7854077253219,G_and_S_frontomargin,L_a10p_ROI
3,23,24.5888801879405,G_and_S_occipital_inf,L_PIT_ROI
4,9,34.6390845070423,G_and_S_paracentral,L_4_ROI
5,101,34.5991561181435,G_and_S_subcentral,L_OP4_ROI
6,171,46.2519936204147,G_and_S_transv_frontopol,L_p10p_ROI
7,65,19.0234914785813,G_and_S_cingul-Ant,L_p32_ROI
8,61,37.4041900868677,G_and_S_cingul-Mid-Ant,L_p32pr_ROI
9,42,22.9673093042749,G_and_S_cingul-Mid-Post,L_24dv_ROI
10,35,43.1693989071038,G_cingul-Post-dorsal,L_d23ab_ROI
11,15,48.0769230769231,G_cingul-Post-ventral,L_RSC_ROI
12,5,45.8741258741259,G_cuneus,L_V2_ROI
13,75,27.3888888888889,G_front_inf-Opercular,L_44_ROI
14,77,85.4304635761589,G_front_inf-Orbital,L_47l_ROI
15,76,55.8208955223881,G_front_inf-Triangul,L_45_ROI
16,68,21.4722483537159,G_front_middle,L_8Av_ROI
17,27,10.5789849892781,G_front_sup,L_SFL_ROI
18,107,55.0065019505852,G_Ins_lg_and_S_cent_ins,L_PoI2_ROI
19,110,38.5281385281385,G_insular_short,L_MI_ROI
20,144,27.5023832221163,G_occipital_middle,L_PGp_ROI
21,14,31.8681318681319,G_occipital_sup,L_V3A_ROI
22,164,36.9194591416814,G_oc-temp_lat-fusifor,L_VVC_ROI
23,5,40.7974224728151,G_oc-temp_med-Lingual,L_V2_ROI
24,123,33.4437086092715,G_oc-temp_med-Parahip,L_PeEc_ROI
25,78,24.7222222222222,G_orbital,L_a47r_ROI
26,150,45.1737451737452,G_pariet_inf-Angular,L_PFm_ROI
27,149,44.2431761786601,G_pariet_inf-Supramar,L_PF_ROI
28,43,23.7677725118483,G_parietal_sup,L_7AL_ROI
29,52,51.5816471929325,G_postcentral,L_1_ROI
30,9,30.2373581011352,G_precentral,L_4_ROI
31,46,18.2203389830508,G_precuneus,L_7Am_ROI
32,89,49.6240601503759,G_rectus,L_10v_ROI
33,0,67.5,G_subcallosal,no matching lookup
34,25,43.5754189944134,G_temp_sup-G_T_transv,L_A1_ROI
35,126,24.9281609195402,G_temp_sup-Lateral,L_A5_ROI
36,132,55.3466509988249,G_temp_sup-Plan_polar,L_TGd_ROI
37,26,38.5144429160935,G_temp_sup-Plan_tempo,L_PSL_ROI
38,135,31.8217665615142,G_temporal_inf,L_TE2a_ROI
39,133,23.51150202977,G_temporal_middle,L_TE1a_ROI
40,170,37.1657754010695,Lat_Fis-ant-Horizont,L_FOP5_ROI
41,76,44.1532258064516,Lat_Fis-ant-Vertical,L_45_ROI
42,105,43.2606541129831,Lat_Fis-post,L_RI_ROI
43,2,49.2603550295858,Pole_occipital,L_V1_ROI
44,132,53.2209512341963,Pole_temporal,L_TGd_ROI
45,2,60.064829821718,S_calcarine,L_V1_ROI
46,9,34.6153846153846,S_central,L_4_ROI
47,38,45,S_cingul-Marginalis,L_5mv_ROI
48,112,48.9313835770529,S_circular_insula_ant,L_AVI_ROI
49,168,28.5018270401949,S_circular_insula_inf,L_PoI1_ROI
50,109,18.1171142025235,S_circular_insula_sup,L_FOP4_ROI
51,136,82.102519548219,S_collat_transv_ant,L_TF_ROI
52,7,65.015479876161,S_collat_transv_post,L_V4_ROI
53,80,20.1931922723091,S_front_inf,L_IFJa_ROI
54,87,58.4302325581395,S_front_middle,L_9-46d_ROI
55,69,33.6852523919499,S_front_sup,L_8Ad_ROI
56,150,100,S_interm_prim-Jensen,L_PFm_ROI
57,145,17.7364481741892,S_intrapariet_and_P_trans,L_IP2_ROI
58,7,33.2281808622503,S_oc_middle_and_Lunatus,L_V4_ROI
59,20,28.7208366854385,S_oc_sup_and_transversal,L_V3B_ROI
60,3,34.4743276283619,S_occipital_ant,L_MST_ROI
61,137,37.3467112597547,S_oc-temp_lat,L_TE2p_ROI
