annot1_idx,annot2_idx,Gof,label1,label2
1,1,49.3184188756609,no label,FreeSurfer_Defined_Medial_Wall
2,14,59.2274678111588,G_and_S_frontomargin,17Networks_13
3,2,91.8559122944401,G_and_S_occipital_inf,17Networks_1
4,4,99.955985915493,G_and_S_paracentral,17Networks_3
5,5,85.4622171077867,G_and_S_subcentral,17Networks_4
6,17,55.9808612440191,G_and_S_transv_frontopol,17Networks_16
7,17,85.2602487333026,G_and_S_cingul-Ant,17Networks_16
8,8,51.9161982626469,G_and_S_cingul-Mid-Ant,17Networks_7
9,8,44.3000838222967,G_and_S_cingul-Mid-Post,17Networks_7
10,17,83.424408014572,G_cingul-Post-dorsal,17Networks_16
11,16,34.8076923076923,G_cingul-Post-ventral,17Networks_15
12,3,88.041958041958,G_cuneus,17Networks_2
13,8,40.8888888888889,G_front_inf-Opercular,17Networks_7
14,18,89.4039735099338,G_front_inf-Orbital,17Networks_17
15,18,81.7910447761194,G_front_inf-Triangul,17Networks_17
16,14,32.2906867356538,G_front_middle,17Networks_13
17,18,39.8975458660948,G_front_sup,17Networks_17
18,8,61.3784135240572,G_Ins_lg_and_S_cent_ins,17Networks_7
19,8,47.1861471861472,G_insular_short,17Networks_7
20,2,53.0028598665396,G_occipital_middle,17Networks_1
21,3,64.6886446886447,G_occipital_sup,17Networks_2
22,2,60.6701940035273,G_oc-temp_lat-fusifor,17Networks_1
23,3,70.5195328231977,G_oc-temp_med-Lingual,17Networks_2
24,10,46.4403973509934,G_oc-temp_med-Parahip,17Networks_9
25,11,53.968253968254,G_orbital,17Networks_10
26,14,36.3256113256113,G_pariet_inf-Angular,17Networks_13
27,8,36.6253101736973,G_pariet_inf-Supramar,17Networks_7
28,6,49.2417061611374,G_parietal_sup,17Networks_5
29,4,78.6263892846965,G_postcentral,17Networks_3
30,4,48.7616099071207,G_precentral,17Networks_3
31,12,41.4971751412429,G_precuneus,17Networks_11
32,11,91.3951545530493,G_rectus,17Networks_10
33,11,77.9166666666667,G_subcallosal,17Networks_10
34,5,100,G_temp_sup-G_T_transv,17Networks_4
35,15,57.7945402298851,G_temp_sup-Lateral,17Networks_14
36,10,79.6709753231492,G_temp_sup-Plan_polar,17Networks_9
37,5,51.7881705639615,G_temp_sup-Plan_tempo,17Networks_4
38,10,39.313880126183,G_temporal_inf,17Networks_9
39,18,63.4979702300406,G_temporal_middle,17Networks_17
40,18,66.5775401069519,Lat_Fis-ant-Horizont,17Networks_17
41,9,50.6048387096774,Lat_Fis-ant-Vertical,17Networks_8
42,5,83.8453914767096,Lat_Fis-post,17Networks_4
43,2,100,Pole_occipital,17Networks_1
44,10,92.2937989163155,Pole_temporal,17Networks_9
45,3,85.1215559157212,S_calcarine,17Networks_2
46,4,59.2185592185592,S_central,17Networks_3
47,8,66.1979166666667,S_cingul-Marginalis,17Networks_7
48,9,51.8560179977503,S_circular_insula_ant,17Networks_8
49,8,50.0203004466098,S_circular_insula_inf,17Networks_7
50,8,55.9689420899385,S_circular_insula_sup,17Networks_7
51,10,99.3049522154648,S_collat_transv_ant,17Networks_9
52,2,100,S_collat_transv_post,17Networks_1
53,13,88.9144434222631,S_front_inf,17Networks_12
54,9,66.1337209302326,S_front_middle,17Networks_8
55,17,53.5796766743649,S_front_sup,17Networks_16
56,18,63.2183908045977,S_interm_prim-Jensen,17Networks_17
57,13,46.8813789975051,S_intrapariet_and_P_trans,17Networks_12
58,2,90.3259726603575,S_oc_middle_and_Lunatus,17Networks_1
59,2,66.6130329847144,S_oc_sup_and_transversal,17Networks_1
60,6,66.3814180929095,S_occipital_ant,17Networks_5
61,6,96.5440356744705,S_oc-temp_lat,17Networks_5
62,16,38.232795242141,S_oc-temp_med_and_Lingual,17Networks_15
63,14,71.9101123595506,S_orbital_lateral,17Networks_13
64,11,97.323600973236,S_orbital_med-olfact,17Networks_10
65,11,52.8985507246377,S_orbital-H_Shaped,17Networks_10
66,3,45,S_parieto_occipital,17Networks_2
67,12,42.2336328626444,S_pericallosal,17Networks_11
68,7,61.5021362716438,S_postcentral,17Networks_6
69,13,69.1121743753323,S_precentral-inf-part,17Networks_12
70,7,76.056338028169,S_precentral-sup-part,17Networks_6
