annot1_idx,annot2_idx,Gof,label1,label2
1,124,50.052152645398,no label,Medial_wall
2,58,56.3304721030043,G_and_S_frontomargin,S_frontomarginal
3,15,94.8316366483947,G_and_S_occipital_inf,G_and_S_occipital_inferior
4,22,86.6637323943662,G_and_S_paracentral,G_paracentral
5,31,64.9021864211738,G_and_S_subcentral,G_subcentral
6,38,92.1850079744817,G_and_S_transv_frontopol,G_and_S_transverse_frontopolar
7,48,75.7715338553662,G_and_S_cingul-Ant,S_cingulate-Main_part_and_Intracingulate
8,48,77.4144098109351,G_and_S_cingul-Mid-Ant,S_cingulate-Main_part_and_Intracingulate
9,48,70.9974853310981,G_and_S_cingul-Mid-Post,S_cingulate-Main_part_and_Intracingulate
10,5,89.7996357012751,G_cingul-Post-dorsal,G_cingulate-Main_part
11,4,68.4615384615385,G_cingul-Post-ventral,G_cingulate-Isthmus
12,6,94.965034965035,G_cuneus,G_cuneus
13,7,93.1111111111111,G_front_inf-Opercular,G_frontal_inf-Opercular_part
14,8,84.326710816777,G_front_inf-Orbital,G_frontal_inf-Orbital_part
15,9,90.8457711442786,G_front_inf-Triangul,G_frontal_inf-Triangular_part
16,10,86.4299153339605,G_front_middle,G_frontal_middle
17,11,94.2220633786038,G_front_sup,G_frontal_superior
18,13,63.1989596879064,G_Ins_lg_and_S_cent_ins,G_insular_long
19,14,90.04329004329,G_insular_short,G_insular_short
20,16,88.7988560533842,G_occipital_middle,G_occipital_middle
21,17,87.1794871794872,G_occipital_sup,G_occipital_superior
22,18,96.0023515579071,G_oc-temp_lat-fusifor,G_occipit-temp_lat-Or_fusiform
23,19,95.1671365283931,G_oc-temp_med-Lingual,G_occipit-temp_med-Lingual_part
24,20,93.2119205298013,G_oc-temp_med-Parahip,G_occipit-temp_med-Parahippocampal_part
25,21,93.8095238095238,G_orbital,G_orbital
26,23,91.2162162162162,G_pariet_inf-Angular,G_parietal_inferior-Angular_part
27,24,97.5434243176179,G_pariet_inf-Supramar,G_parietal_inferior-Supramarginal_part
28,25,90.9715639810427,G_parietal_sup,G_parietal_superior
29,26,94.8418352807068,G_postcentral,G_postcentral
30,27,96.6460268317853,G_precentral,G_precentral
31,28,94.180790960452,G_precuneus,G_precuneus
32,29,89.1395154553049,G_rectus,G_rectus
33,30,90.4166666666667,G_subcallosal,G_subcallosal
34,34,96.5083798882682,G_temp_sup-G_T_transv,G_temp_sup-G_temp_transv_and_interm_S
35,35,91.5229885057471,G_temp_sup-Lateral,G_temp_sup-Lateral_aspect
36,36,80.0235017626322,G_temp_sup-Plan_polar,G_temp_sup-Planum_polare
37,37,87.6891334250344,G_temp_sup-Plan_tempo,G_temp_sup-Planum_tempolare
38,32,92.1529968454259,G_temporal_inf,G_temporal_inferior
39,33,92.9634641407307,G_temporal_middle,G_temporal_middle
40,39,97.5935828877005,Lat_Fis-ant-Horizont,Lat_Fissure-ant_sgt-ramus_horizontal
41,40,73.1854838709677,Lat_Fis-ant-Vertical,Lat_Fissure-ant_sgt-ramus_vertical
42,41,96.3330029732408,Lat_Fis-post,Lat_Fissure-post_sgt
43,43,85.207100591716,Pole_occipital,Pole_occipital
44,44,93.6183022275737,Pole_temporal,Pole_temporal
45,45,96.5964343598055,S_calcarine,S_calcarine
46,46,96.8253968253968,S_central,S_central
47,49,79.1145833333333,S_cingul-Marginalis,S_cingulate-Marginalis_part
48,50,90.2137232845894,S_circular_insula_ant,S_circular_insula_anterior
49,51,87.0077141697117,S_circular_insula_inf,S_circular_insula_inferior
50,52,92.8502102879327,S_circular_insula_sup,S_circular_insula_superior
51,53,82.6238053866203,S_collat_transv_ant,S_collateral_transverse_ant
52,54,93.1888544891641,S_collat_transv_post,S_collateral_transverse_post
53,55,97.0101195952162,S_front_inf,S_frontal_inferior
54,56,84.5203488372093,S_front_middle,S_frontal_middle
55,57,92.9396238865061,S_front_sup,S_frontal_superior
56,59,97.9310344827586,S_interm_prim-Jensen,S_intermedius_primus-Jensen
57,60,92.8101610342481,S_intrapariet_and_P_trans,S_intraparietal-and_Parietal_transverse
58,62,94.4269190325973,S_oc_middle_and_Lunatus,S_occipital_middle_and_Lunatus
59,63,97.0233306516492,S_oc_sup_and_transversal,S_occipital_superior_and_transversalis
60,61,86.7970660146699,S_occipital_ant,S_occipital_anterior
61,64,95.6521739130435,S_oc-temp_lat,S_occipito-temporal_lateral
62,65,96.1342395921835,S_oc-temp_med_and_Lingual,S_occipito-temporal_medial_and_S_Lingual
