annot1_idx,annot2_idx,Gof,label1,label2
1,9,46.9050102506924,no label,parc_0
2,3,51.7167381974249,G_and_S_frontomargin,parc_2
3,5,100,G_and_S_occipital_inf,parc_4
4,2,68.0457746478873,G_and_S_paracentral,parc_1
5,4,39.355581127733,G_and_S_subcentral,parc_3
6,3,64.4338118022329,G_and_S_transv_frontopol,parc_2
7,7,36.4348226623676,G_and_S_cingul-Ant,parc_6
8,3,50.2810424118549,G_and_S_cingul-Mid-Ant,parc_2
9,7,61.5255658005029,G_and_S_cingul-Mid-Post,parc_6
10,7,100,G_cingul-Post-dorsal,parc_6
11,6,60.3846153846154,G_cingul-Post-ventral,parc_5
12,5,70.2097902097902,G_cuneus,parc_4
13,3,100,G_front_inf-Opercular,parc_2
14,5,100,G_front_inf-Orbital,parc_4
15,3,80.497512437811,G_front_inf-Triangul,parc_2
16,3,100,G_front_middle,parc_2
17,3,92.7686442697165,G_front_sup,parc_2
18,8,95.0585175552666,G_Ins_lg_and_S_cent_ins,parc_7
19,8,100,G_insular_short,parc_7
20,5,62.7264061010486,G_occipital_middle,parc_4
21,5,86.2271062271062,G_occipital_sup,parc_4
22,3,52.2045855379189,G_oc-temp_lat-fusifor,parc_2
23,5,75.1107531212243,G_oc-temp_med-Lingual,parc_4
24,7,85.8029801324503,G_oc-temp_med-Parahip,parc_6
25,5,89.5634920634921,G_orbital,parc_4
26,4,98.8416988416988,G_pariet_inf-Angular,parc_3
27,4,97.9404466501241,G_pariet_inf-Supramar,parc_3
28,3,69.3364928909953,G_parietal_sup,parc_2
29,6,73.4967227130237,G_postcentral,parc_5
30,2,83.4623323013416,G_precentral,parc_1
31,3,81.4689265536723,G_precuneus,parc_2
32,5,100,G_rectus,parc_4
33,1,62.0833333333333,G_subcallosal,parc_0
34,4,56.2849162011173,G_temp_sup-G_T_transv,parc_3
35,3,46.6235632183908,G_temp_sup-Lateral,parc_2
36,7,79.2009400705053,G_temp_sup-Plan_polar,parc_6
37,3,64.3053645116919,G_temp_sup-Plan_tempo,parc_2
38,3,87.6182965299684,G_temporal_inf,parc_2
