annot1_idx,annot2_idx,Gof,label1,label2
1,0,49.0126964716038,no label,no label
2,3,100,G_and_S_frontomargin,heteromodal
3,4,88.4886452623336,G_and_S_occipital_inf,unimodal
4,5,87.0598591549296,G_and_S_paracentral,idiotypic
5,5,39.7008055235903,G_and_S_subcentral,idiotypic
6,3,100,G_and_S_transv_frontopol,heteromodal
7,2,57.7153385536619,G_and_S_cingul-Ant,paralimbic
8,2,48.5436893203884,G_and_S_cingul-Mid-Ant,paralimbic
9,5,46.6890192791282,G_and_S_cingul-Mid-Post,idiotypic
10,2,92.1675774134791,G_cingul-Post-dorsal,paralimbic
11,2,82.5,G_cingul-Post-ventral,paralimbic
12,5,72.6573426573427,G_cuneus,idiotypic
13,4,72.7777777777778,G_front_inf-Opercular,unimodal
14,3,97.7924944812362,G_front_inf-Orbital,heteromodal
15,3,81.0945273631841,G_front_inf-Triangul,heteromodal
16,3,57.6199435559737,G_front_middle,heteromodal
17,3,51.7512508934953,G_front_sup,heteromodal
18,2,100,G_Ins_lg_and_S_cent_ins,paralimbic
19,2,97.4025974025974,G_insular_short,paralimbic
20,4,91.8970448045758,G_occipital_middle,unimodal
21,4,95.018315018315,G_occipital_sup,unimodal
22,4,100,G_oc-temp_lat-fusifor,unimodal
23,5,95.4893274265002,G_oc-temp_med-Lingual,idiotypic
24,2,81.9122516556291,G_oc-temp_med-Parahip,paralimbic
25,2,51.031746031746,G_orbital,paralimbic
26,3,96.7503217503218,G_pariet_inf-Angular,heteromodal
27,3,71.0421836228288,G_pariet_inf-Supramar,heteromodal
28,3,83.696682464455,G_parietal_sup,heteromodal
29,5,97.5206611570248,G_postcentral,idiotypic
30,5,96.9556243550052,G_precentral,idiotypic
31,3,82.2598870056497,G_precuneus,heteromodal
32,2,71.4285714285714,G_rectus,paralimbic
33,1,61.6666666666667,G_subcallosal,cortical_wall
34,4,60.6145251396648,G_temp_sup-G_T_transv,unimodal
35,4,83.1537356321839,G_temp_sup-Lateral,unimodal
36,2,68.6251468860165,G_temp_sup-Plan_polar,paralimbic
37,4,86.6574965612105,G_temp_sup-Plan_tempo,unimodal
38,4,94.6372239747634,G_temporal_inf,unimodal
39,3,91.17050067659,G_temporal_middle,heteromodal
40,3,100,Lat_Fis-ant-Horizont,heteromodal
41,3,85.2822580645161,Lat_Fis-ant-Vertical,heteromodal
42,4,58.0277502477701,Lat_Fis-post,unimodal
43,5,89.0039447731755,Pole_occipital,idiotypic
44,2,97.5316074653823,Pole_temporal,paralimbic
45,5,89.6596434359806,S_calcarine,idiotypic
46,5,100,S_central,idiotypic
47,5,70.625,S_cingul-Marginalis,idiotypic
48,2,88.5264341957255,S_circular_insula_ant,paralimbic
49,4,56.0698335363378,S_circular_insula_inf,unimodal
50,3,55.4513102555807,S_circular_insula_sup,heteromodal
51,4,78.1928757602085,S_collat_transv_ant,unimodal
52,4,61.3003095975232,S_collat_transv_post,unimodal
53,4,58.4176632934683,S_front_inf,unimodal
54,3,100,S_front_middle,heteromodal
55,4,51.8970636753547,S_front_sup,unimodal
