annot1_idx,annot2_idx,Gof,label1,label2
1,10,50.052152645398,no label,unknown
2,1,100,G_and_S_frontomargin,unknown
3,1,100,G_and_S_occipital_inf,unknown
4,1,100,G_and_S_paracentral,unknown
5,1,100,G_and_S_subcentral,unknown
6,1,100,G_and_S_transv_frontopol,unknown
7,1,100,G_and_S_cingul-Ant,unknown
8,1,100,G_and_S_cingul-Mid-Ant,unknown
9,1,100,G_and_S_cingul-Mid-Post,unknown
10,1,96.9945355191257,G_cingul-Post-dorsal,unknown
11,1,94.0384615384615,G_cingul-Post-ventral,unknown
12,1,100,G_cuneus,unknown
13,1,100,G_front_inf-Opercular,unknown
14,1,100,G_front_inf-Orbital,unknown
15,1,85.8706467661692,G_front_inf-Triangul,unknown
16,1,100,G_front_middle,unknown
17,1,100,G_front_sup,unknown
18,1,100,G_Ins_lg_and_S_cent_ins,unknown
19,1,100,G_insular_short,unknown
20,1,100,G_occipital_middle,unknown
21,1,100,G_occipital_sup,unknown
22,1,100,G_oc-temp_lat-fusifor,unknown
23,1,100,G_oc-temp_med-Lingual,unknown
24,1,79.2632450331126,G_oc-temp_med-Parahip,unknown
25,1,100,G_orbital,unknown
26,1,85.7142857142857,G_pariet_inf-Angular,unknown
27,1,100,G_pariet_inf-Supramar,unknown
28,1,100,G_parietal_sup,unknown
29,1,100,G_postcentral,unknown
30,1,100,G_precentral,unknown
31,1,95.6779661016949,G_precuneus,unknown
32,1,81.5371762740184,G_rectus,unknown
33,1,100,G_subcallosal,unknown
34,1,100,G_temp_sup-G_T_transv,unknown
35,1,100,G_temp_sup-Lateral,unknown
36,1,78.1433607520564,G_temp_sup-Plan_polar,unknown
37,1,100,G_temp_sup-Plan_tempo,unknown
38,1,100,G_temporal_inf,unknown
39,1,89.6143437077131,G_temporal_middle,unknown
40,1,100,Lat_Fis-ant-Horizont,unknown
41,1,100,Lat_Fis-ant-Vertical,unknown
42,1,100,Lat_Fis-post,unknown
43,1,100,Pole_occipital,unknown
44,1,93.9193257074052,Pole_temporal,unknown
45,1,100,S_calcarine,unknown
46,1,100,S_central,unknown
47,1,100,S_cingul-Marginalis,unknown
48,1,100,S_circular_insula_ant,unknown
49,1,100,S_circular_insula_inf,unknown
50,1,100,S_circular_insula_sup,unknown
51,1,100,S_collat_transv_ant,unknown
52,1,100,S_collat_transv_post,unknown
53,1,98.0680772769089,S_front_inf,unknown
54,1,100,S_front_middle,unknown
55,1,100,S_front_sup,unknown
56,1,100,S_interm_prim-Jensen,unknown
57,1,94.7380358357904,S_intrapariet_and_P_trans,unknown
58,1,100,S_oc_middle_and_Lunatus,unknown
59,1,98.5518905872888,S_oc_sup_and_transversal,unknown
60,1,100,S_occipital_ant,unknown
61,1,100,S_oc-temp_lat,unknown
62,1,100,S_oc-temp_med_and_Lingual,unknown
63,1,100,S_orbital_lateral,unknown
64,1,100,S_orbital_med-olfact,unknown
65,1,100,S_orbital-H_Shaped,unknown
66,1,100,S_parieto_occipital,unknown
67,1,100,S_pericallosal,unknown
68,1,100,S_postcentral,unknown
69,1,100,S_precentral-inf-part,unknown
70,1,100,S_precentral-sup-part,unknown
71,1,100,S_suborbital,unknown
72,1,100,S_subparietal,unknown
73,1,99.9099909990999,S_temporal_inf,unknown
74,1,100,S_temporal_sup,unknown
75,1,100,S_temporal_transverse,unknown
76,10,100,G_and_S_frontomargin,unknown
77,10,100,G_and_S_occipital_inf,unknown
78,10,100,G_and_S_paracentral,unknown
79,10,100,G_and_S_subcentral,unknown
80,10,100,G_and_S_transv_frontopol,unknown
81,10,100,G_and_S_cingul-Ant,unknown
82,10,100,G_and_S_cingul-Mid-Ant,unknown
83,10,100,G_and_S_cingul-Mid-Post,unknown
84,10,86.7822318526544,G_cingul-Post-dorsal,unknown
85,10,100,G_cingul-Post-ventral,unknown
86,10,100,G_cuneus,unknown
87,10,100,G_front_inf-Opercular,unknown
88,10,100,G_front_inf-Orbital,unknown
89,10,82.4704813805631,G_front_inf-Triangul,unknown
90,10,100,G_front_middle,unknown
91,10,100,G_front_sup,unknown
