annot1_idx,annot2_idx,Gof,label1,label2
1,506,42.998956947092,no label,sjh_0
2,38,21.8884120171674,G_and_S_frontomargin,sjh_37
3,188,21.6131558339859,G_and_S_occipital_inf,sjh_187
4,274,12.544014084507,G_and_S_paracentral,sjh_275
5,406,16.1488300728807,G_and_S_subcentral,sjh_408
6,25,22.8070175438596,G_and_S_transv_frontopol,sjh_24
7,481,14.8318747121142,G_and_S_cingul-Ant,sjh_483
8,82,21.7680122636689,G_and_S_cingul-Mid-Ant,sjh_81
9,111,20.1173512154233,G_and_S_cingul-Mid-Post,sjh_110
10,123,23.5883424408015,G_cingul-Post-dorsal,sjh_122
11,264,42.3076923076923,G_cingul-Post-ventral,sjh_265
12,362,15.034965034965,G_cuneus,sjh_364
13,76,23.4444444444444,G_front_inf-Opercular,sjh_75
14,466,34.878587196468,G_front_inf-Orbital,sjh_468
15,462,27.1641791044776,G_front_inf-Triangul,sjh_464
16,56,7.85512699905927,G_front_middle,sjh_55
17,270,3.49058851560639,G_front_sup,sjh_271
18,99,17.0351105331599,G_Ins_lg_and_S_cent_ins,sjh_98
19,105,33.8744588744589,G_insular_short,sjh_104
20,178,12.2497616777884,G_occipital_middle,sjh_177
21,151,19.3406593406593,G_occipital_sup,sjh_150
22,464,13.5214579659024,G_oc-temp_lat-fusifor,sjh_466
23,156,13.4111961337092,G_oc-temp_med-Lingual,sjh_155
24,129,12.8725165562914,G_oc-temp_med-Parahip,sjh_128
25,75,14.9206349206349,G_orbital,sjh_74
26,244,16.2805662805663,G_pariet_inf-Angular,sjh_245
27,234,12.4565756823821,G_pariet_inf-Supramar,sjh_235
28,366,11.5402843601896,G_parietal_sup,sjh_368
29,213,10.4588201766885,G_postcentral,sjh_212
30,17,8.12693498452012,G_precentral,sjh_16
31,252,11.9774011299435,G_precuneus,sjh_253
32,376,16.1236424394319,G_rectus,sjh_378
33,1,59.1666666666667,G_subcallosal,sjh_0
34,391,28.2122905027933,G_temp_sup-G_T_transv,sjh_393
35,369,12.7873563218391,G_temp_sup-Lateral,sjh_371
36,298,29.1421856639248,G_temp_sup-Plan_polar,sjh_300
37,437,18.5006877579092,G_temp_sup-Plan_tempo,sjh_439
38,326,15.1419558359621,G_temporal_inf,sjh_328
39,312,10.9269282814614,G_temporal_middle,sjh_314
40,67,48.6631016042781,Lat_Fis-ant-Horizont,sjh_66
41,72,53.0241935483871,Lat_Fis-ant-Vertical,sjh_71
42,281,34.7373637264618,Lat_Fis-post,sjh_282
43,341,18.1952662721894,Pole_occipital,sjh_343
44,318,15.8940397350993,Pole_temporal,sjh_320
