annot1_idx,annot2_idx,Gof,label1,label2
1,155,50.0413624429018,no label,unknown_part1
2,1,100,unknown,unknown_part1
3,2,51.8483855872719,bankssts,bankssts_part1
4,4,100,caudalanteriorcingulate,caudalanteriorcingulate_part1
5,6,26.6059957173448,caudalmiddlefrontal,caudalmiddlefrontal_part2
6,10,56.7484662576687,cuneus,cuneus_part1
7,12,98.6388384754991,entorhinal,entorhinal_part1
8,16,22.571064913025,fusiform,fusiform_part4
9,18,15.8302629907254,inferiorparietal,inferiorparietal_part1
10,27,18.1879954699887,inferiortemporal,inferiortemporal_part2
11,32,53.0225207427894,isthmuscingulate,isthmuscingulate_part1
12,35,12.9017087317761,lateraloccipital,lateraloccipital_part2
13,46,29.6800382043935,lateralorbitofrontal,lateralorbitofrontal_part4
14,49,22.7348394768133,lingual,lingual_part3
15,53,39.3516773464003,medialorbitofrontal,medialorbitofrontal_part1
16,60,23.2030548068284,middletemporal,middletemporal_part5
17,61,51.2513601741023,parahippocampal,parahippocampal_part1
18,64,34.5780206435944,paracentral,paracentral_part2
19,67,38.2173773645399,parsopercularis,parsopercularis_part2
20,69,100,parsorbitalis,parsorbitalis_part1
21,71,59.3841642228739,parstriangularis,parstriangularis_part2
22,73,58.0020920502092,pericalcarine,pericalcarine_part2
23,75,13.6043702069545,postcentral,postcentral_part2
24,82,50.2143294549908,posteriorcingulate,posteriorcingulate_part1
25,84,12.3370577281192,precentral,precentral_part1
26,94,16.7487684729064,precuneus,precuneus_part2
27,100,99.4074074074074,rostralanteriorcingulate,rostralanteriorcingulate_part1
28,105,11.79069446362,rostralmiddlefrontal,rostralmiddlefrontal_part5
29,116,9.98439937597504,superiorfrontal,superiorfrontal_part6
30,128,12.6625860749809,superiorparietal,superiorparietal_part5
31,134,15.8437628936873,superiortemporal,superiortemporal_part1
32,141,15.4767441860465,supramarginal,supramarginal_part1
33,148,100,frontalpole,frontalpole_part1
34,149,100,temporalpole,temporalpole_part1
35,150,100,transversetemporal,transversetemporal_part1
36,151,26.926754637598,insula,insula_part1
37,156,50.6375227686703,bankssts,bankssts_part1
38,158,99.4402985074627,caudalanteriorcingulate,caudalanteriorcingulate_part1
39,159,28.5346307956497,caudalmiddlefrontal,caudalmiddlefrontal_part1
40,164,36.4468864468864,cuneus,cuneus_part1
41,167,99.7782705099778,entorhinal,entorhinal_part1
42,171,22.4415361510406,fusiform,fusiform_part4
43,173,12.525837122778,inferiorparietal,inferiorparietal_part1
44,187,21.6531681753216,inferiortemporal,inferiortemporal_part5
45,188,52.7219430485762,isthmuscingulate,isthmuscingulate_part1
46,195,12.7620325339594,lateraloccipital,lateraloccipital_part6
47,199,30.8222324299495,lateralorbitofrontal,lateralorbitofrontal_part1
48,203,24.7046738572162,lingual,lingual_part1
49,210,37.8079257408069,medialorbitofrontal,medialorbitofrontal_part2
50,212,20.3084832904884,middletemporal,middletemporal_part1
51,218,50.6888633754305,parahippocampal,parahippocampal_part1
52,220,38.0579483163665,paracentral,paracentral_part1
53,223,37.7427184466019,parsopercularis,parsopercularis_part1
54,226,100,parsorbitalis,parsorbitalis_part1
55,228,39.7478991596639,parstriangularis,parstriangularis_part2
56,230,37.0817334064728,pericalcarine,pericalcarine_part1
57,234,14.1497045305318,postcentral,postcentral_part2
58,241,51.7034068136273,posteriorcingulate,posteriorcingulate_part1
59,244,12.67631947688,precentral,precentral_part2
60,254,17.3416927899687,precuneus,precuneus_part3
61,259,98.5727878211227,rostralanteriorcingulate,rostralanteriorcingulate_part1
62,262,12.5254323499491,rostralmiddlefrontal,rostralmiddlefrontal_part3
63,270,9.99326485940394,superiorfrontal,superiorfrontal_part1
64,290,13.3633339855214,superiorparietal,superiorparietal_part8
65,298,19.5981362842167,superiortemporal,superiortemporal_part6
66,299,16.2576687116564,supramarginal,supramarginal_part1
67,306,99.7289972899729,frontalpole,frontalpole_part1
68,307,99.5104039167687,temporalpole,temporalpole_part1
69,308,100,transversetemporal,transversetemporal_part1
70,310,29.6463654223969,insula,insula_part2
