annot1_idx,annot2_idx,Gof,label1,label2
1,0,96.0328022155882,no label,no label
2,0,100,unknown,no label
3,3,41.5067852129153,bankssts,bankssts_part2
4,4,67.1299513551077,caudalanteriorcingulate,caudalanteriorcingulate_part1
5,8,25.0267665952891,caudalmiddlefrontal,caudalmiddlefrontal_part4
6,11,39.079754601227,cuneus,cuneus_part2
7,0,55.0816696914701,entorhinal,no label
8,17,17.5222740772168,fusiform,fusiform_part4
9,28,12.2601956549358,inferiorparietal,inferiorparietal_part9
10,29,16.6024915062288,inferiortemporal,inferiortemporal_part1
11,35,43.0659818253655,isthmuscingulate,isthmuscingulate_part1
12,42,11.0205361341903,lateraloccipital,lateraloccipital_part6
13,50,25.2626552053486,lateralorbitofrontal,lateralorbitofrontal_part5
14,53,18.4542211652794,lingual,lingual_part3
15,60,30.3430079155673,medialorbitofrontal,medialorbitofrontal_part4
16,65,17.4528301886792,middletemporal,middletemporal_part5
17,67,51.9586507072905,parahippocampal,parahippocampal_part1
18,69,32.2404371584699,paracentral,paracentral_part2
19,72,40.5899326707278,parsopercularis,parsopercularis_part2
20,74,92.0502092050209,parsorbitalis,parsorbitalis_part1
21,76,52.297165200391,parstriangularis,parstriangularis_part2
22,78,36.0878661087866,pericalcarine,pericalcarine_part2
23,84,14.8860174388066,postcentral,postcentral_part5
24,88,34.8744641763625,posteriorcingulate,posteriorcingulate_part1
25,90,14.5716945996276,precentral,precentral_part1
26,101,13.7110016420361,precuneus,precuneus_part3
27,106,75.7037037037037,rostralanteriorcingulate,rostralanteriorcingulate_part1
28,108,10.2719867458236,rostralmiddlefrontal,rostralmiddlefrontal_part2
29,119,9.21257902947697,superiorfrontal,superiorfrontal_part2
30,139,11.1036725325172,superiorparietal,superiorparietal_part9
31,143,16.4489066153211,superiortemporal,superiortemporal_part3
32,151,13.7674418604651,supramarginal,supramarginal_part4
33,155,80.1470588235294,frontalpole,frontalpole_part1
34,156,64.0047675804529,temporalpole,temporalpole_part1
35,157,80.4511278195489,transversetemporal,transversetemporal_part1
36,159,24.861350162555,insula,insula_part2
37,163,47.2677595628415,bankssts,bankssts_part1
38,165,61.5049751243781,caudalanteriorcingulate,caudalanteriorcingulate_part1
39,167,24.4991413852318,caudalmiddlefrontal,caudalmiddlefrontal_part2
40,172,33.3333333333333,cuneus,cuneus_part2
41,174,58.0931263858093,entorhinal,entorhinal_part1
42,178,17.6357004934563,fusiform,fusiform_part4
43,187,12.0711037618851,inferiorparietal,inferiorparietal_part7
44,192,20.3430204859457,inferiortemporal,inferiortemporal_part3
45,196,42.4623115577889,isthmuscingulate,isthmuscingulate_part1
46,202,12.6278718765722,lateraloccipital,lateraloccipital_part5
47,208,20.8773541570969,lateralorbitofrontal,lateralorbitofrontal_part2
48,214,24.0626605033385,lingual,lingual_part3
49,218,23.7058193502321,medialorbitofrontal,medialorbitofrontal_part1
50,225,16.3931184496737,middletemporal,middletemporal_part4
51,228,64.7531572904707,parahippocampal,parahippocampal_part1
52,230,28.9219524928217,paracentral,paracentral_part2
53,233,38.4708737864078,parsopercularis,parsopercularis_part2
54,235,82.5581395348837,parsorbitalis,parsorbitalis_part1
55,237,49.9159663865546,parstriangularis,parstriangularis_part2
56,239,32.3642347778387,pericalcarine,pericalcarine_part2
57,244,13.2304661851609,postcentral,postcentral_part4
58,250,35.8717434869739,posteriorcingulate,posteriorcingulate_part2
59,259,11.6861279775806,precentral,precentral_part9
60,261,15.5109717868339,precuneus,precuneus_part2
61,267,69.3625118934348,rostralanteriorcingulate,rostralanteriorcingulate_part1
62,277,11.7370295015259,rostralmiddlefrontal,rostralmiddlefrontal_part10
63,283,8.26738508166358,superiorfrontal,superiorfrontal_part5
64,292,11.5730776756016,superiorparietal,superiorparietal_part1
65,307,14.5894001164822,superiortemporal,superiortemporal_part6
66,314,17.1288343558282,supramarginal,supramarginal_part6
67,316,78.319783197832,frontalpole,frontalpole_part1
68,317,62.1787025703794,temporalpole,temporalpole_part1
69,318,88.4763124199744,transversetemporal,transversetemporal_part1
70,320,32.3968565815324,insula,insula_part2
