annot1_idx,annot2_idx,Gof,label1,label2
1,0,86.6992770564327,no label,no matching lookup
2,0,100,unknown,no matching lookup
3,140,37.8568086102012,bankssts,L_TPOJ1_ROI
4,0,27.5191104933982,caudalanteriorcingulate,no matching lookup
5,68,25.5620985010707,caudalmiddlefrontal,L_8Av_ROI
6,5,57.4233128834356,cuneus,L_V2_ROI
7,123,54.7186932849365,entorhinal,L_PeEc_ROI
8,136,17.7556215528214,fusiform,L_TF_ROI
9,151,20.7851607165544,inferiorparietal,L_PGi_ROI
10,135,23.6240090600227,inferiortemporal,L_TE2a_ROI
11,15,28.4077439747136,isthmuscingulate,L_RSC_ROI
12,7,17.2440821445368,lateraloccipital,L_V4_ROI
13,93,18.8872970391595,lateralorbitofrontal,L_13l_ROI
14,2,27.6575505350773,lingual,L_V1_ROI
15,89,20.8820203543159,medialorbitofrontal,L_10v_ROI
16,133,16.9811320754717,middletemporal,L_TE1a_ROI
17,127,32.1545157780196,parahippocampal,L_PHA1_ROI
18,9,27.5045537340619,paracentral,L_4_ROI
19,109,22.7316447579352,parsopercularis,L_FOP4_ROI
20,78,65.3765690376569,parsorbitalis,L_a47r_ROI
21,76,35.6793743890518,parstriangularis,L_45_ROI
22,2,100,pericalcarine,L_V1_ROI
23,10,29.4043491963442,postcentral,L_3b_ROI
24,39,26.2706674831598,posteriorcingulate,L_23c_ROI
25,9,28.780260707635,precentral,L_4_ROI
26,16,14.8056923918993,precuneus,L_POS2_ROI
27,62,32.8888888888889,rostralanteriorcingulate,L_a24_ROI
28,87,18.4453955543283,rostralmiddlefrontal,L_9-46d_ROI
29,44,9.35216356022662,superiorfrontal,L_SCEF_ROI
30,43,10.2811782708493,superiorparietal,L_7AL_ROI
31,176,12.9830834823271,superiortemporal,L_A4_ROI
32,149,25.3604651162791,supramarginal,L_PF_ROI
33,89,45.2205882352941,frontalpole,L_10v_ROI
34,132,95.2324195470799,temporalpole,L_TGd_ROI
35,25,37.312030075188,transversetemporal,L_A1_ROI
36,107,15.3949129852744,insula,L_PoI2_ROI
37,321,55.91985428051,bankssts,R_TPOJ1_ROI
38,0,27.0522388059701,caudalanteriorcingulate,no matching lookup
39,249,25.4436176302232,caudalmiddlefrontal,R_8Av_ROI
40,186,53.4188034188034,cuneus,R_V2_ROI
41,304,57.3170731707317,entorhinal,R_PeEc_ROI
42,200,18.9873417721519,fusiform,R_FFC_ROI
43,332,20.4836709384043,inferiorparietal,R_PGi_ROI
44,316,26.250595521677,inferiortemporal,R_TE2a_ROI
45,196,28.391959798995,isthmuscingulate,R_RSC_ROI
46,187,18.4806305550897,lateraloccipital,R_V3_ROI
47,273,16.9039963252182,lateralorbitofrontal,R_11l_ROI
48,183,34.7714432460195,lingual,R_V1_ROI
49,275,24.6340592645484,medialorbitofrontal,R_OFC_ROI
50,315,13.8421989321732,middletemporal,R_TE1p_ROI
51,308,27.9563719862227,parahippocampal,R_PHA1_ROI
52,222,20.9083790133125,paracentral,R_24dd_ROI
53,256,24.878640776699,parsopercularis,R_44_ROI
54,259,38.9006342494715,parsorbitalis,R_a47r_ROI
55,257,26.3865546218487,parstriangularis,R_45_ROI
56,183,99.7805814591333,pericalcarine,R_V1_ROI
57,191,27.0190413657255,postcentral,R_3b_ROI
58,220,22.5116900467602,posteriorcingulate,R_23c_ROI
59,190,28.3232134516581,precentral,R_4_ROI
60,197,12.8652037617555,precuneus,R_POS2_ROI
61,243,38.0589914367269,rostralanteriorcingulate,R_a24_ROI
62,268,17.5737538148525,rostralmiddlefrontal,R_9-46d_ROI
63,251,11.6433743054386,superiorfrontal,R_9m_ROI
64,229,9.88064957933868,superiorparietal,R_7PC_ROI
65,307,13.8905066977286,superiortemporal,R_A5_ROI
66,330,20.6257668711656,supramarginal,R_PF_ROI
67,272,68.8346883468835,frontalpole,R_10pp_ROI
68,313,79.3145654834761,temporalpole,R_TGd_ROI
69,355,39.4366197183099,transversetemporal,R_MBelt_ROI
70,288,16.0510805500982,insula,R_PoI2_ROI
