annot1_idx,annot2_idx,Gof,label1,label2
1,102,49.1241952307305,no label,
2,1,100,unknown,Background+FreeSurfer_Defined_Medial_Wall
3,79,70.9405708937763,bankssts,7Networks_LH_Default_Temp_5
4,91,50.0347463516331,caudalanteriorcingulate,7Networks_LH_Default_PFC_8
5,94,25.5620985010707,caudalmiddlefrontal,7Networks_LH_Default_PFC_11
6,14,43.1901840490798,cuneus,7Networks_LH_Vis_13
7,58,77.7676950998185,entorhinal,7Networks_LH_Limbic_TempPole_1
8,32,26.6228256257955,fusiform,7Networks_LH_DorsAttn_Post_1
9,83,25.5748951848558,inferiorparietal,7Networks_LH_Default_Temp_9
10,59,27.519818799547,inferiortemporal,7Networks_LH_Limbic_TempPole_2
11,97,29.2769656262347,isthmuscingulate,7Networks_LH_Default_PCC_1
12,6,19.5641950148926,lateraloccipital,7Networks_LH_Vis_5
13,57,30.6351480420248,lateralorbitofrontal,7Networks_LH_Limbic_OFC_2
14,5,28.680142687277,lingual,7Networks_LH_Vis_4
15,57,52.6950621937429,medialorbitofrontal,7Networks_LH_Limbic_OFC_2
16,78,22.4168912848158,middletemporal,7Networks_LH_Default_Temp_4
17,101,81.8824809575626,parahippocampal,7Networks_LH_Default_PHC_1
18,30,65.5737704918033,paracentral,7Networks_LH_SomMot_15
19,51,28.4706636742546,parsopercularis,7Networks_LH_SalVentAttn_FrOper_4
20,66,33.1589958158996,parsorbitalis,7Networks_LH_Cont_PFCl_1
21,86,34.1642228739003,parstriangularis,7Networks_LH_Default_PFC_3
22,11,66.4225941422594,pericalcarine,7Networks_LH_Vis_10
23,21,18.6469166929299,postcentral,7Networks_LH_SomMot_6
24,99,23.3619105939988,posteriorcingulate,7Networks_LH_Default_PCC_3
25,27,16.3035381750466,precentral,7Networks_LH_SomMot_12
26,100,18.7739463601533,precuneus,7Networks_LH_Default_PCC_4
27,89,48.5925925925926,rostralanteriorcingulate,7Networks_LH_Default_PFC_6
28,52,25.4590639237885,rostralmiddlefrontal,7Networks_LH_SalVentAttn_PFCl_1
29,90,12.4969209294688,superiorfrontal,7Networks_LH_Default_PFC_7
30,38,14.6136189747513,superiorparietal,7Networks_LH_DorsAttn_Post_7
31,17,23.820657406134,superiortemporal,7Networks_LH_SomMot_2
32,47,14.4883720930233,supramarginal,7Networks_LH_SalVentAttn_ParOper_3
33,87,100,frontalpole,7Networks_LH_Default_PFC_4
34,60,87.6042908224076,temporalpole,7Networks_LH_Limbic_TempPole_3
35,17,50.5639097744361,transversetemporal,7Networks_LH_SomMot_2
36,48,33.7540638745458,insula,7Networks_LH_SalVentAttn_FrOper_1
37,191,39.0255009107468,bankssts,7Networks_RH_Default_Temp_5
38,182,36.5671641791045,caudalanteriorcingulate,7Networks_RH_Cont_PFCmp_3
39,178,41.4138523182599,caudalmiddlefrontal,7Networks_RH_Cont_PFCl_7
40,115,51.7094017094017,cuneus,7Networks_RH_Vis_13
41,166,70.0665188470066,entorhinal,7Networks_RH_Limbic_TempPole_3
42,105,28.041192877065,fusiform,7Networks_RH_Vis_3
43,185,19.7188921041753,inferiorparietal,7Networks_RH_Default_Par_2
44,165,32.5869461648404,inferiortemporal,7Networks_RH_Limbic_TempPole_2
45,201,35.2177554438861,isthmuscingulate,7Networks_RH_Default_PCC_2
46,110,34.4122086198222,lateraloccipital,7Networks_RH_Vis_8
47,162,35.0252641249426,lateralorbitofrontal,7Networks_RH_Limbic_OFC_2
48,106,28.8135593220339,lingual,7Networks_RH_Vis_4
49,193,64.2627632988219,medialorbitofrontal,7Networks_RH_Default_PFCm_1
50,188,25.6871663041329,middletemporal,7Networks_RH_Default_Temp_2
51,104,59.9311136624569,parahippocampal,7Networks_RH_Vis_2
52,135,34.5862699034195,paracentral,7Networks_RH_SomMot_18
53,149,39.4417475728155,parsopercularis,7Networks_RH_DorsAttn_PrCv_1
54,172,65.0105708245243,parsorbitalis,7Networks_RH_Cont_PFCl_1
55,192,51.3025210084034,parstriangularis,7Networks_RH_Default_PFCv_1
56,111,59.6269884805266,pericalcarine,7Networks_RH_Vis_9
57,124,17.0387393302692,postcentral,7Networks_RH_SomMot_7
58,180,26.7869071476286,posteriorcingulate,7Networks_RH_Cont_PFCmp_1
59,131,16.851938346567,precentral,7Networks_RH_SomMot_14
60,201,21.7680250783699,precuneus,7Networks_RH_Default_PCC_2
61,194,63.7488106565176,rostralanteriorcingulate,7Networks_RH_Default_PFCm_2
62,176,21.9481180061038,rostralmiddlefrontal,7Networks_RH_Cont_PFCl_5
63,196,17.5618791042263,superiorfrontal,7Networks_RH_Default_PFCm_4
64,144,17.8438661710037,superiorparietal,7Networks_RH_DorsAttn_Post_8
65,189,22.7140361094933,superiortemporal,7Networks_RH_Default_Temp_3
66,152,30.6257668711656,supramarginal,7Networks_RH_SalVentAttn_TempOccPar_3
67,163,98.9159891598916,frontalpole,7Networks_RH_Limbic_OFC_3
68,164,93.5128518971848,temporalpole,7Networks_RH_Limbic_TempPole_1
69,118,84.6350832266325,transversetemporal,7Networks_RH_SomMot_1
70,157,23.8310412573674,insula,7Networks_RH_SalVentAttn_FrOper_4
