annot1_idx,annot2_idx,Gof,label1,label2
1,1,49.3184188756609,no label,FreeSurfer_Defined_Medial_Wall
2,1,100,unknown,FreeSurfer_Defined_Medial_Wall
3,8,64.6233036967712,bankssts,7Networks_7
4,5,50.6601806810285,caudalanteriorcingulate,7Networks_4
5,8,45.5299785867238,caudalmiddlefrontal,7Networks_7
6,2,100,cuneus,7Networks_1
7,6,94.2831215970962,entorhinal,7Networks_5
8,2,55.897327110734,fusiform,7Networks_1
9,8,51.3403633591666,inferiorparietal,7Networks_7
10,6,39.6602491506229,inferiortemporal,7Networks_5
11,8,66.9300671671276,isthmuscingulate,7Networks_7
12,2,96.3003605580812,lateraloccipital,7Networks_1
13,6,52.7936962750716,lateralorbitofrontal,7Networks_5
14,2,100,lingual,7Networks_1
15,6,63.9276290991331,medialorbitofrontal,7Networks_5
16,8,75.2246181491465,middletemporal,7Networks_7
17,8,42.1653971708379,parahippocampal,7Networks_7
18,3,82.1190042501518,paracentral,7Networks_2
19,5,44.0525809554344,parsopercularis,7Networks_4
20,8,87.0292887029289,parsorbitalis,7Networks_7
21,8,53.4701857282502,parstriangularis,7Networks_7
22,2,100,pericalcarine,7Networks_1
23,3,94.8208845466961,postcentral,7Networks_2
24,5,33.4047764849969,posteriorcingulate,7Networks_4
25,3,64.3854748603352,precentral,7Networks_2
26,8,48.2621784345922,precuneus,7Networks_7
27,8,79.1111111111111,rostralanteriorcingulate,7Networks_7
28,7,54.5354135026923,rostralmiddlefrontal,7Networks_6
29,8,52.1389276623697,superiorfrontal,7Networks_7
30,4,64.8814078041316,superiorparietal,7Networks_3
31,3,48.1639389354972,superiortemporal,7Networks_2
32,5,31.5348837209302,supramarginal,7Networks_4
33,6,76.8382352941177,frontalpole,7Networks_5
34,6,100,temporalpole,7Networks_5
35,3,100,transversetemporal,7Networks_2
36,5,56.7794989481736,insula,7Networks_4
37,11,35.1092896174863,bankssts,7Networks_2
38,13,46.8905472636816,caudalanteriorcingulate,7Networks_4
39,15,71.9232970807098,caudalmiddlefrontal,7Networks_6
40,10,100,cuneus,7Networks_1
41,14,93.4589800443459,entorhinal,7Networks_5
42,10,63.269684617035,fusiform,7Networks_1
43,16,39.7374948325754,inferiorparietal,7Networks_7
44,14,47.5940924249643,inferiortemporal,7Networks_5
45,16,58.7939698492462,isthmuscingulate,7Networks_7
46,10,98.3397618648331,lateraloccipital,7Networks_1
47,14,57.0280202113,lateralorbitofrontal,7Networks_5
48,10,99.9229583975347,lingual,7Networks_1
49,14,59.9785790789004,medialorbitofrontal,7Networks_5
50,16,62.4283171841012,middletemporal,7Networks_7
51,10,57.8645235361653,parahippocampal,7Networks_1
52,11,76.115896632733,paracentral,7Networks_2
53,13,48.0987055016181,parsopercularis,7Networks_4
54,16,54.8625792811839,parsorbitalis,7Networks_7
55,13,41.5126050420168,parstriangularis,7Networks_4
56,10,100,pericalcarine,7Networks_1
57,11,97.0890785729919,postcentral,7Networks_2
58,13,37.8089512358049,posteriorcingulate,7Networks_4
59,11,62.8584773470341,precentral,7Networks_2
60,16,39.6112852664577,precuneus,7Networks_7
61,16,84.5861084681256,rostralanteriorcingulate,7Networks_7
62,15,75,rostralmiddlefrontal,7Networks_6
63,16,47.6006061626536,superiorfrontal,7Networks_7
64,12,63.7839953042457,superiorparietal,7Networks_3
65,11,56.0570762958649,superiortemporal,7Networks_2
66,13,42,supramarginal,7Networks_4
67,14,86.1788617886179,frontalpole,7Networks_5
68,14,98.2864137086903,temporalpole,7Networks_5
69,11,100,transversetemporal,7Networks_2
70,13,54.6758349705305,insula,7Networks_4
