annot1_idx,annot2_idx,Gof,label1,label2
1,0,100,no label,no label
2,11,100,unknown,G_cingul-Post-ventral
3,75,77.8661675245672,bankssts,S_temporal_sup
4,8,54.2043085476025,caudalanteriorcingulate,G_and_S_cingul-Mid-Ant
5,16,41.9432548179872,caudalmiddlefrontal,G_front_middle
6,12,64.1717791411043,cuneus,G_cuneus
7,24,87.7495462794918,entorhinal,G_oc-temp_med-Parahip
8,22,36.0840050912176,fusiform,G_oc-temp_lat-fusifor
9,26,34.0109261847288,inferiorparietal,G_pariet_inf-Angular
10,38,56.7610419026048,inferiortemporal,G_temporal_inf
11,68,26.5507704464639,isthmuscingulate,S_pericallosal
12,44,28.9387051261953,lateraloccipital,Pole_occipital
13,25,41.0936007640879,lateralorbitofrontal,G_orbital
14,23,54.8870392390012,lingual,G_oc-temp_med-Lingual
15,32,42.7063701470034,medialorbitofrontal,G_rectus
16,39,61.6352201257862,middletemporal,G_temporal_middle
17,24,69.2600652883569,parahippocampal,G_oc-temp_med-Parahip
18,4,40.7103825136612,paracentral,G_and_S_paracentral
19,13,42.3853799294646,parsopercularis,G_front_inf-Opercular
20,25,56.4853556485356,parsorbitalis,G_orbital
21,15,40.3714565004888,parstriangularis,G_front_inf-Triangul
22,46,74.1108786610879,pericalcarine,S_calcarine
23,29,36.7055362958294,postcentral,G_postcentral
24,9,42.8352725045928,posteriorcingulate,G_and_S_cingul-Mid-Post
25,30,35.4189944134078,precentral,G_precentral
26,31,45.3475643130816,precuneus,G_precuneus
27,7,65.5555555555556,rostralanteriorcingulate,G_and_S_cingul-Ant
28,16,36.2280822863454,rostralmiddlefrontal,G_front_middle
29,17,61.4089826750965,superiorfrontal,G_front_sup
30,28,38.9537107880643,superiorparietal,G_parietal_sup
31,35,33.0215926282492,superiortemporal,G_temp_sup-Lateral
32,27,45.8023255813954,supramarginal,G_pariet_inf-Supramar
33,6,58.0882352941177,frontalpole,G_and_S_transv_frontopol
34,45,74.1358760429082,temporalpole,Pole_temporal
35,34,55.921052631579,transversetemporal,G_temp_sup-G_T_transv
36,51,29.9866131191432,insula,S_circular_insula_sup
37,151,80.0546448087432,bankssts,S_temporal_sup
38,84,52.363184079602,caudalanteriorcingulate,G_and_S_cingul-Mid-Ant
39,92,38.5804235832856,caudalmiddlefrontal,G_front_middle
40,88,68.6202686202686,cuneus,G_cuneus
41,100,88.8026607538803,entorhinal,G_oc-temp_med-Parahip
42,98,36.2797682900665,fusiform,G_oc-temp_lat-fusifor
43,151,34.3220338983051,inferiorparietal,S_temporal_sup
44,114,53.9780848022868,inferiortemporal,G_temporal_inf
45,144,28.391959798995,isthmuscingulate,S_pericallosal
46,120,31.8296159651182,lateraloccipital,Pole_occipital
47,101,44.4418925126321,lateralorbitofrontal,G_orbital
48,99,49.537750385208,lingual,G_oc-temp_med-Lingual
49,108,33.2738307747233,medialorbitofrontal,G_rectus
50,115,59.1259640102828,middletemporal,G_temporal_middle
51,100,58.1515499425947,parahippocampal,G_oc-temp_med-Parahip
52,80,35.5781780214043,paracentral,G_and_S_paracentral
53,89,40.5744336569579,parsopercularis,G_front_inf-Opercular
54,101,66.4904862579281,parsorbitalis,G_orbital
55,91,40.3361344537815,parstriangularis,G_front_inf-Triangul
56,122,59.0784421283598,pericalcarine,S_calcarine
57,105,34.3401181877873,postcentral,G_postcentral
58,85,44.3887775551102,posteriorcingulate,G_and_S_cingul-Mid-Post
59,106,35.4040168145726,precentral,G_precentral
60,107,42.3824451410658,precuneus,G_precuneus
61,83,65.1760228353949,rostralanteriorcingulate,G_and_S_cingul-Ant
62,92,34.3718209562564,rostralmiddlefrontal,G_front_middle
63,93,55.6070045462199,superiorfrontal,G_front_sup
64,104,32.6354920759147,superiorparietal,G_parietal_sup
65,111,33.0663948747816,superiortemporal,G_temp_sup-Lateral
66,103,47.4969325153374,supramarginal,G_pariet_inf-Supramar
67,82,56.9105691056911,frontalpole,G_and_S_transv_frontopol
68,121,61.3219094247246,temporalpole,Pole_temporal
69,110,59.4110115236876,transversetemporal,G_temp_sup-G_T_transv
70,127,25.0098231827112,insula,S_circular_insula_sup
