annot1_idx,annot2_idx,Gof,label1,label2
1,46,47.4481171096644,no label,unknown
2,1,100,unknown,unknown
3,43,100,bankssts,TE
4,21,49.3398193189715,caudalanteriorcingulate,LA1
5,4,75.9903640256959,caudalmiddlefrontal,FB
6,28,64.7852760736196,cuneus,OA
7,16,31.7604355716878,entorhinal,HA
8,44,52.7789563003818,fusiform,TF
9,37,69.063651378478,inferiorparietal,PG
10,43,80.9513023782559,inferiortemporal,TE
11,27,20.7427894112999,isthmuscingulate,LE
12,28,44.4897319329048,lateraloccipital,OA
13,11,77.0296084049666,lateralorbitofrontal,FF
14,28,46.3733650416171,lingual,OA
15,10,37.1654730493781,medialorbitofrontal,FE
16,43,82.4123989218329,middletemporal,TE
17,18,74.4831338411317,parahippocampal,HC
18,3,57.3466909532483,paracentral,FA
19,6,82.0134658544405,parsopercularis,FCBm
20,11,63.0753138075314,parsorbitalis,FF
21,9,57.9667644183773,parstriangularis,FDT
22,30,95.9205020920502,pericalcarine,OC
23,33,32.8185733795567,postcentral,PC
24,21,30.251071647275,posteriorcingulate,LA1
25,3,67.43947858473,precentral,FA
26,35,57.0333880678708,precuneus,PE
27,22,27.6296296296296,rostralanteriorcingulate,LA2
28,7,46.1825210548115,rostralmiddlefrontal,FD
29,4,46.8921914771328,superiorfrontal,FB
30,35,48.7662586074981,superiorparietal,PE
31,43,41.2047861367075,superiortemporal,TE
32,36,63.9883720930233,supramarginal,PF
33,10,100,frontalpole,FE
34,45,99.642431466031,temporalpole,TG
35,41,51.0338345864662,transversetemporal,TC
36,20,38.7072097915471,insula,IB
37,88,97.2677595628415,bankssts,TE
38,66,43.5945273631841,caudalanteriorcingulate,LA1
39,49,84.373211219233,caudalmiddlefrontal,FB
40,73,58.4859584859585,cuneus,OA
41,61,35.0332594235033,entorhinal,HA
42,89,67.3031538296503,fusiform,TF
43,82,50.5064076064489,inferiorparietal,PG
44,88,83.8256312529776,inferiortemporal,TE
45,46,23.3668341708543,isthmuscingulate,unknown
46,73,46.2854267985913,lateraloccipital,OA
47,56,77.7905374368397,lateralorbitofrontal,FF
48,73,41.9106317411402,lingual,OA
49,55,35.9871474473402,medialorbitofrontal,FE
50,88,88.6691714455211,middletemporal,TE
51,63,58.0941446613088,parahippocampal,HC
52,49,32.9156878099713,paracentral,FB
53,51,90.8171521035599,parsopercularis,FCBm
54,56,66.7019027484144,parsorbitalis,FF
55,54,67.0168067226891,parstriangularis,FDT
56,75,93.0334613274822,pericalcarine,OC
57,78,34.0774786605384,postcentral,PC
58,66,39.2785571142285,posteriorcingulate,LA1
59,48,54.8341896310135,precentral,FA
60,80,55.974921630094,precuneus,PE
61,66,54.0437678401522,rostralanteriorcingulate,LA1
62,52,39.2548321464903,rostralmiddlefrontal,FD
63,49,44.9907391816804,superiorfrontal,FB
64,79,49.4815104676189,superiorparietal,PD
65,88,39.3709959231217,superiortemporal,TE
66,81,71.7914110429448,supramarginal,PF
67,55,100,frontalpole,FE
68,90,90.452876376989,temporalpole,TG
69,86,56.2099871959027,transversetemporal,TC
70,65,44.6758349705305,insula,IB
