annot1_idx,annot2_idx,Gof,label1,label2
1,0,49.0126964716038,no label,no label
2,2,100,unknown,paralimbic
3,3,53.0650444548432,bankssts,heteromodal
4,2,76.094510076442,caudalanteriorcingulate,paralimbic
5,4,87.4464668094218,caudalmiddlefrontal,unimodal
6,5,56.6871165644172,cuneus,idiotypic
7,2,98.0943738656987,entorhinal,paralimbic
8,4,81.8201103097157,fusiform,unimodal
9,3,73.9550247744886,inferiorparietal,heteromodal
10,4,87.1347678369196,inferiortemporal,unimodal
11,2,53.6151718688266,isthmuscingulate,paralimbic
12,4,61.6554318858755,lateraloccipital,unimodal
13,2,70.0095510983763,lateralorbitofrontal,paralimbic
14,5,89.5362663495838,lingual,idiotypic
15,2,73.5016961929891,medialorbitofrontal,paralimbic
16,3,65.8805031446541,middletemporal,heteromodal
17,2,49.6735582154516,parahippocampal,paralimbic
18,5,93.8069216757741,paracentral,idiotypic
19,4,65.1170246873998,parsopercularis,unimodal
20,3,98.326359832636,parsorbitalis,heteromodal
21,3,94.3792766373412,parstriangularis,heteromodal
22,5,100,pericalcarine,idiotypic
23,5,78.0018909549322,postcentral,idiotypic
24,2,54.7152480097979,posteriorcingulate,paralimbic
25,5,86.5549348230912,precentral,idiotypic
26,3,58.8259441707718,precuneus,heteromodal
27,2,70.962962962963,rostralanteriorcingulate,paralimbic
28,3,91.7713654563026,rostralmiddlefrontal,heteromodal
29,3,53.6989900648657,superiorfrontal,heteromodal
30,3,61.2280030604438,superiorparietal,heteromodal
31,4,74.5564571585752,superiortemporal,unimodal
32,3,58.7209302325581,supramarginal,heteromodal
33,3,100,frontalpole,heteromodal
34,2,99.284862932062,temporalpole,paralimbic
35,5,51.9736842105263,transversetemporal,idiotypic
36,2,66.6666666666667,insula,paralimbic
37,9,82.7413479052823,bankssts,unimodal
38,7,62.6865671641791,caudalanteriorcingulate,paralimbic
39,9,79.9084144247281,caudalmiddlefrontal,unimodal
40,10,62.6984126984127,cuneus,idiotypic
41,7,94.4567627494457,entorhinal,paralimbic
42,9,66.0587856683115,fusiform,unimodal
43,8,73.3774286895411,inferiorparietal,heteromodal
44,9,86.6126727012863,inferiortemporal,unimodal
45,7,66.0385259631491,isthmuscingulate,paralimbic
46,10,54.7710883783331,lateraloccipital,idiotypic
47,7,61.8741387230133,lateralorbitofrontal,paralimbic
48,10,93.1689779147406,lingual,idiotypic
49,8,52.2670474830418,medialorbitofrontal,heteromodal
50,8,69.4878386395096,middletemporal,heteromodal
51,7,56.9460390355913,parahippocampal,paralimbic
52,10,85.304098146698,paracentral,idiotypic
53,8,57.9288025889968,parsopercularis,heteromodal
54,8,97.7801268498943,parsorbitalis,heteromodal
55,8,79.9579831932773,parstriangularis,heteromodal
56,10,100,pericalcarine,idiotypic
57,10,64.3795141168746,postcentral,idiotypic
58,7,59.1182364729459,posteriorcingulate,paralimbic
59,10,89.5375992526857,precentral,idiotypic
60,8,59.41065830721,precuneus,heteromodal
61,7,75.6422454804948,rostralanteriorcingulate,paralimbic
62,8,99.3769074262462,rostralmiddlefrontal,heteromodal
63,8,52.2141774709547,superiorfrontal,heteromodal
64,8,61.5045979260419,superiorparietal,heteromodal
65,9,76.0337798485731,superiortemporal,unimodal
66,8,59.3006134969325,supramarginal,heteromodal
67,8,100,frontalpole,heteromodal
68,7,95.2264381884945,temporalpole,paralimbic
69,9,56.8501920614597,transversetemporal,unimodal
70,7,81.8860510805501,insula,paralimbic
