annot1_idx,annot2_idx,Gof,label1,label2
1,0,90.6540777230432,parc_0,no matching lookup
2,9,39.6686561020786,parc_1,L_4_ROI
3,10,2.40296996287546,parc_2,L_3b_ROI
4,150,9.4658788089445,parc_3,L_PFm_ROI
5,5,10.5824511319932,parc_4,L_V2_ROI
6,2,27.5946047208692,parc_5,L_V1_ROI
7,132,13.1750287246266,parc_6,L_TGd_ROI
8,107,14.8991301129002,parc_7,L_PoI2_ROI
9,0,89.726969161265,parc_0,no matching lookup
10,190,46.6975350674111,parc_1,R_4_ROI
11,321,2.60187639896496,parc_2,R_TPOJ1_ROI
12,234,9.44587998851565,parc_3,R_2_ROI
13,186,12.0122228186811,parc_4,R_V2_ROI
14,183,26.7653884407117,parc_5,R_V1_ROI
15,313,15.7068980629328,parc_6,R_TGd_ROI
16,349,15.2265542676502,parc_7,R_PoI1_ROI
