annot1_idx,annot2_idx,Gof,label1,label2
1,1,89.887794198139,parc_0,FreeSurfer_Defined_Medial_Wall
2,4,62.7701173080881,parc_1,17Networks_3
3,18,17.4687816402295,parc_2,17Networks_17
4,5,16.4484609740084,parc_3,17Networks_4
5,2,33.3690178819238,parc_4,17Networks_1
6,3,34.7414762083177,parc_5,17Networks_2
7,10,25.852163921869,parc_6,17Networks_9
8,8,54.3216731445493,parc_7,17Networks_7
9,19,86.5645256334708,parc_0,FreeSurfer_Defined_Medial_Wall
10,22,64.2380498433883,parc_1,17Networks_3
11,32,11.7790865651739,parc_2,17Networks_13
12,24,14.5456503014643,parc_3,17Networks_5
13,20,34.8721972168312,parc_4,17Networks_1
14,21,34.2468781080782,parc_5,17Networks_2
15,28,23.9898325883075,parc_6,17Networks_9
16,26,49.8946259220232,parc_7,17Networks_7
