annot1_idx,annot2_idx,Gof,label1,label2
1,1,96.7364532019704,parc_0,unknown
2,3,89.287919324964,parc_1,FA
3,43,21.415794802565,parc_2,TE
4,34,34.5460162978411,parc_3,PD
5,28,30.2644621545537,parc_4,OA
6,30,33.9452978643687,parc_5,OC
7,45,22.3898889314439,parc_6,TG
8,20,37.4976864704794,parc_7,IB
9,46,97.3286191318012,parc_0,unknown
10,48,86.0411276045213,parc_1,FA
11,88,21.2658549362628,parc_2,TE
12,79,37.4605225380419,parc_3,PD
13,73,30.3588388322253,parc_4,OA
14,78,35.0204442479832,parc_5,PC
15,90,24.5507932334122,parc_6,TG
16,65,43.4492448191078,parc_7,IB
