annot1_idx,annot2_idx,Gof,label1,label2
1,1,84.38013136289,parc_0,sjh_0
2,17,6.28730191397407,parc_1,sjh_16
3,357,1.05636179547756,parc_2,sjh_359
4,226,5.34507395821264,parc_3,sjh_227
5,188,2.29174100947623,parc_4,sjh_187
6,134,5.17984263769202,parc_5,sjh_133
7,111,3.33971658368441,parc_6,sjh_110
8,98,8.10660744031094,parc_7,sjh_97
9,506,83.585412165259,parc_0,sjh_0
10,508,5.73335149121612,parc_1,sjh_510
11,811,1.0493229406442,parc_2,sjh_813
12,733,4.44659776055125,parc_3,sjh_735
13,660,1.78800016517323,parc_4,sjh_662
14,639,6.93999336943309,parc_5,sjh_641
15,617,3.96178455605224,parc_6,sjh_619
16,607,7.42887249736565,parc_7,sjh_609
