annot1_idx,annot2_idx,Gof,label1,label2
1,1,86.8657116079796,unknown,unknown_part1
2,84,13.0797572605115,FA,precentral_part1
3,112,9.6755455978757,FB,superiorfrontal_part2
4,121,14.1440846001322,FC,superiorfrontal_part11
5,67,39.0126842646555,FCBm,parsopercularis_part2
6,115,12.1360665478313,FD,superiorfrontal_part5
7,108,42.7643784786642,FDdelta,rostralmiddlefrontal_part8
8,70,44.029428409734,FDT,parstriangularis_part1
9,54,26.5678449258837,FE,medialorbitofrontal_part2
10,44,23.947874385815,FF,lateralorbitofrontal_part2
11,55,72.5,FG,medialorbitofrontal_part3
12,53,48.9199491740788,FH,medialorbitofrontal_part1
13,152,40.3151065801668,FJK,insula_part2
14,53,63.1926121372032,FLMN,medialorbitofrontal_part1
15,12,96.1538461538462,HA,entorhinal_part1
16,12,98.4326018808777,HB,entorhinal_part1
17,61,51.2295081967213,HC,parahippocampal_part1
18,154,47.4556889651229,IA,insula_part4
19,151,37.5057313159101,IB,insula_part1
20,4,30.4590304590305,LA1,caudalanteriorcingulate_part1
21,83,36.1510791366906,LA2,posteriorcingulate_part2
22,82,29.8321342925659,LC1,posteriorcingulate_part1
23,82,39.632277834525,LC2,posteriorcingulate_part1
24,82,91.2162162162162,LC3,posteriorcingulate_part1
25,32,69.8961937716263,LD,isthmuscingulate_part1
26,32,41.9817470664928,LE,isthmuscingulate_part1
27,47,9.3840170618492,OA,lingual_part1
28,48,13.030303030303,OB,lingual_part2
29,73,26.699405531145,OC,pericalcarine_part2
30,94,14.7996729354047,PA,precuneus_part2
31,63,15.2793614595211,PB,paracentral_part1
32,77,18.4631803628602,PC,postcentral_part4
33,128,11.5059044832271,PD,superiorparietal_part5
34,130,11.5221987315011,PE,superiorparietal_part7
35,142,17.3632538569425,PF,supramarginal_part2
36,25,18.0579216354344,PG,inferiorparietal_part8
37,35,14.3805696313122,PH,lateraloccipital_part2
38,139,25.0561797752809,TA,superiortemporal_part6
39,140,59.4553706505295,TB,superiortemporal_part7
40,150,70.9803921568627,TC,transversetemporal_part1
41,150,53.0927835051546,TD,transversetemporal_part1
42,136,8.68693102916217,TE,superiortemporal_part3
43,16,37.7669539153241,TF,fusiform_part4
44,149,27.2046859746176,TG,temporalpole_part1
45,155,85.715213719631,unknown,unknown_part1
46,244,14.5145426443726,FA,precentral_part2
47,245,7.83879539415412,FB,precentral_part3
48,262,15.0893136947665,FC,rostralmiddlefrontal_part3
49,223,33.477789815818,FCBm,parsopercularis_part1
50,273,12.4001878816346,FD,superiorfrontal_part4
51,265,39.9527186761229,FDdelta,rostralmiddlefrontal_part6
52,228,35.676532769556,FDT,parstriangularis_part2
53,209,26.9495412844037,FE,medialorbitofrontal_part1
54,199,26.7019027484144,FF,lateralorbitofrontal_part1
55,211,65.4281098546042,FG,medialorbitofrontal_part3
56,210,52.8421052631579,FH,medialorbitofrontal_part2
57,201,30.4854368932039,FJK,lateralorbitofrontal_part3
58,210,90.3878583473862,FLMN,medialorbitofrontal_part2
59,167,84.251968503937,HA,entorhinal_part1
60,167,95.4268292682927,HB,entorhinal_part1
61,219,59.0393013100437,HC,parahippocampal_part2
62,312,42.9075927015892,IA,insula_part4
63,310,45.3652788688138,IB,insula_part2
64,241,33.7933355772467,LA1,posteriorcingulate_part1
65,158,35.3703703703704,LA2,caudalanteriorcingulate_part1
66,242,27.630285152409,LC1,posteriorcingulate_part2
67,189,40.8018867924528,LC2,isthmuscingulate_part2
68,242,77.1739130434783,LC3,posteriorcingulate_part2
69,188,60.5590062111801,LD,isthmuscingulate_part1
70,188,42.9268292682927,LE,isthmuscingulate_part1
71,193,8.98314014752371,OA,lateraloccipital_part4
72,165,13.6155202821869,OB,cuneus_part2
73,230,17.3781327458001,OC,pericalcarine_part1
74,220,12.6992561105207,PA,paracentral_part1
75,254,18.0932498260264,PB,precuneus_part3
76,236,19.2074848651624,PC,postcentral_part4
77,299,10.8741815607857,PD,supramarginal_part1
78,256,14.7109471094711,PE,precuneus_part5
79,300,14.259190493873,PF,supramarginal_part2
80,182,16.9501701020612,PG,inferiorparietal_part10
81,191,16.0214552238806,PH,lateraloccipital_part2
82,296,28.9775332416323,TA,superiortemporal_part4
83,298,46.1103253182461,TB,superiortemporal_part6
84,308,61.830985915493,TC,transversetemporal_part1
85,308,51.7316017316017,TD,transversetemporal_part1
86,156,8.01499207150065,TE,bankssts_part1
87,171,27.7518928363425,TF,fusiform_part4
88,307,25.5709342560554,TG,temporalpole_part1
