annot1_idx,annot2_idx,Gof,label1,label2
1,0,50.5087695809345,unknown,no matching lookup
2,9,42.9995665366277,FA,L_4_ROI
3,97,10.7957845821924,FB,L_6a_ROI
4,69,16.1434236615995,FC,L_8Ad_ROI
5,109,26.979773740144,FCBm,L_FOP4_ROI
6,70,16.0724896019014,FD,L_9m_ROI
7,87,47.1243042671614,FDdelta,L_9-46d_ROI
8,76,42.0486700622524,FDT,L_45_ROI
9,89,16.4196123147092,FE,L_10v_ROI
10,93,16.8980986968596,FF,L_13l_ROI
11,94,52.6923076923077,FG,L_OFC_ROI
12,166,31.6391359593393,FH,L_s32_ROI
13,113,39.2029657089898,FJK,L_AAIC_ROI
14,167,33.11345646438,FLMN,L_pOFC_ROI
15,119,56.8681318681319,HA,L_EC_ROI
16,123,73.0407523510972,HB,L_PeEc_ROI
17,127,23.536299765808,HC,L_PHA1_ROI
18,110,39.9085191538022,IA,L_MI_ROI
19,168,33.6542870243008,IB,L_PoI1_ROI
20,39,17.7177177177177,LA1,L_23c_ROI
21,59,21.9424460431655,LA2,L_33pr_ROI
22,39,26.378896882494,LC1,L_23c_ROI
23,35,36.4657814096016,LC2,L_d23ab_ROI
24,15,70.9459459459459,LC3,L_RSC_ROI
25,15,43.9446366782007,LD,L_RSC_ROI
26,15,55.1499348109518,LE,L_RSC_ROI
27,6,24.0873165223937,OA,L_V3_ROI
28,5,48.1439393939394,OB,L_V2_ROI
29,2,72.2667355905919,OC,L_V1_ROI
30,10,33.9602071409103,PA,L_3b_ROI
31,10,73.0900798175599,PB,L_3b_ROI
32,52,49.7331910352188,PC,L_1_ROI
33,53,24.7361270770195,PD,L_2_ROI
34,16,12.7801268498943,PE,L_POS2_ROI
35,149,28.8779803646564,PF,L_PF_ROI
36,151,27.649063032368,PG,L_PGi_ROI
37,139,10.2393849379696,PH,L_PH_ROI
38,129,20.8239700374532,TA,L_STSda_ROI
39,174,32.8290468986384,TB,L_MBelt_ROI
40,174,38.6928104575163,TC,L_MBelt_ROI
41,105,37.1134020618557,TD,L_RI_ROI
42,135,9.34269402869928,TE,L_TE2a_ROI
43,136,26.7890595728737,TF,L_TF_ROI
44,132,57.4682720468597,TG,L_TGd_ROI
45,0,52.5204625178641,unknown,no matching lookup
46,198,48.3209217366868,FA,R_4_ROI
47,286,9.82432831414231,FB,R_6a_ROI
48,273,15.1519899717957,FC,R_p9-46v_ROI
49,264,23.1130371975442,FCBm,R_44_ROI
50,259,20.8861750430562,FD,R_9m_ROI
51,276,40.5831363278172,FDdelta,R_9-46d_ROI
52,272,33.1395348837209,FDT,R_IFSa_ROI
53,280,25,FE,R_10pp_ROI
54,284,13.0655391120507,FF,R_47s_ROI
55,283,65.9127625201939,FG,R_OFC_ROI
56,355,50.7368421052632,FH,R_s32_ROI
57,301,39.5145631067961,FJK,R_AVI_ROI
58,356,48.9038785834739,FLMN,R_pOFC_ROI
59,308,51.1811023622047,HA,R_EC_ROI
60,312,89.9390243902439,HB,R_PeEc_ROI
61,345,26.0262008733624,HC,R_PHA2_ROI
62,299,33.1959976456739,IA,R_MI_ROI
63,357,33.8570306362922,IB,R_PoI1_ROI
64,247,17.1322786940424,LA1,R_p24pr_ROI
65,248,28.1481481481481,LA2,R_33pr_ROI
66,225,25.3195673549656,LC1,R_31pv_ROI
67,224,25.9433962264151,LC2,R_d23ab_ROI
68,204,92.3913043478261,LC3,R_RSC_ROI
69,204,37.2670807453416,LD,R_RSC_ROI
70,204,48.9430894308943,LE,R_RSC_ROI
71,195,26.0142255005269,OA,R_V3_ROI
72,194,49.5943562610229,OB,R_V2_ROI
73,191,79.9228862572294,OC,R_V1_ROI
74,243,37.4601487778959,PA,R_3a_ROI
75,199,55.7759220598469,PB,R_3b_ROI
76,241,48.8717666483214,PC,R_1_ROI
77,242,23.7126172358875,PD,R_2_ROI
78,205,15.9286592865929,PE,R_POS2_ROI
79,338,20.8070305730907,PF,R_PF_ROI
80,340,33.4000400240144,PG,R_PGi_ROI
81,212,8.48880597014925,PH,R_PIT_ROI
82,318,21.1370930765704,TA,R_STSda_ROI
83,297,44.2715700141443,TB,R_TA2_ROI
84,363,46.7605633802817,TC,R_MBelt_ROI
85,294,46.1038961038961,TD,R_RI_ROI
86,329,11.7990485800778,TE,R_TPOJ1_ROI
87,325,23.4129295282469,TF,R_TF_ROI
88,321,60.8996539792388,TG,R_TGd_ROI
