annot1_idx,annot2_idx,Gof,label1,label2
1,1,88.5058240728344,unknown,FreeSurfer_Defined_Medial_Wall
2,4,59.1677503250975,FA,17Networks_3
3,8,25.9646502364949,FB,17Networks_7
4,17,25.2974223397224,FC,17Networks_16
5,13,36.3044223517312,FCBm,17Networks_12
6,18,29.3226381461676,FD,17Networks_17
7,14,37.012987012987,FDdelta,17Networks_13
8,18,50.0848896434635,FDT,17Networks_17
9,11,51.729380463702,FE,17Networks_10
10,18,42.2986541337321,FF,17Networks_17
11,11,100,FG,17Networks_10
12,11,82.5921219822109,FH,17Networks_10
13,9,45.5977757182576,FJK,17Networks_8
14,11,70.1846965699208,FLMN,17Networks_10
15,10,80.4945054945055,HA,17Networks_9
16,10,100,HB,17Networks_9
17,16,81.0304449648712,HC,17Networks_15
18,8,65.9233847913093,IA,17Networks_7
19,8,57.9092159559835,IB,17Networks_7
20,8,46.7610467610468,LA1,17Networks_7
21,17,46.4028776978417,LA2,17Networks_16
22,17,54.6282973621103,LC1,17Networks_16
23,17,84.8825331971399,LC2,17Networks_16
24,12,99.3243243243243,LC3,17Networks_11
25,16,45.3287197231834,LD,17Networks_15
26,17,30.2477183833116,LE,17Networks_16
27,2,53.1551875548865,OA,17Networks_1
28,3,58.8636363636364,OB,17Networks_2
29,3,77.6169552856035,OC,17Networks_2
30,4,43.4723357863178,PA,17Networks_3
31,4,69.9543899657925,PB,17Networks_3
32,4,64.6211312700107,PC,17Networks_3
33,7,35.2910439962379,PD,17Networks_6
34,6,31.9767441860465,PE,17Networks_5
35,5,34.9789621318373,PF,17Networks_4
36,17,30.1022146507666,PG,17Networks_16
37,2,53.1015201817229,PH,17Networks_1
38,5,47.940074906367,TA,17Networks_4
39,5,68.0786686838124,TB,17Networks_4
40,5,92.2875816993464,TC,17Networks_4
41,5,100,TD,17Networks_4
42,18,32.6261379416757,TE,17Networks_17
43,10,39.4155114275009,TF,17Networks_9
44,10,80.4425642694435,TG,17Networks_9
45,19,86.4817461348577,unknown,FreeSurfer_Defined_Medial_Wall
46,22,61.135309821554,FA,17Networks_3
47,26,24.1733097136109,FB,17Networks_7
48,32,30.7270448135381,FC,17Networks_13
49,26,33.8028169014084,FCBm,17Networks_7
50,35,33.4899013621419,FD,17Networks_16
51,32,71.23719464145,FDdelta,17Networks_13
52,27,47.568710359408,FDT,17Networks_8
53,29,54.3577981651376,FE,17Networks_10
54,29,46.6384778012685,FF,17Networks_10
55,29,99.5153473344103,FG,17Networks_10
56,29,75.7894736842105,FH,17Networks_10
57,27,63.5922330097087,FJK,17Networks_8
58,29,90.0505902192243,FLMN,17Networks_10
59,28,75.0656167979003,HA,17Networks_9
60,28,99.6951219512195,HB,17Networks_9
61,34,83.056768558952,HC,17Networks_15
62,26,60.9181871689229,IA,17Networks_7
63,26,51.6103692065986,IB,17Networks_7
64,26,40.9962975429148,LA1,17Networks_7
65,35,28.7962962962963,LA2,17Networks_16
66,35,60.0294985250737,LC1,17Networks_16
67,35,72.4056603773585,LC2,17Networks_16
68,30,97.8260869565217,LC3,17Networks_11
69,21,58.0745341614907,LD,17Networks_2
70,35,25.5284552845528,LE,17Networks_16
71,20,55.1896733403583,OA,17Networks_1
72,21,56.9664902998236,OB,17Networks_2
73,21,75.7367116496833,OC,17Networks_2
74,22,44.6865037194474,PA,17Networks_3
75,22,55.6715379262352,PB,17Networks_3
76,22,62.3830489818382,PC,17Networks_3
77,25,29.2956998761281,PD,17Networks_6
78,30,28.3763837638376,PE,17Networks_11
79,26,32.9991335561332,PF,17Networks_7
80,35,41.9851911146688,PG,17Networks_16
81,20,67.607276119403,PH,17Networks_1
82,23,46.2631820265933,TA,17Networks_4
83,23,77.5106082036775,TB,17Networks_4
84,23,94.225352112676,TC,17Networks_4
85,23,100,TD,17Networks_4
86,33,33.5591754360675,TE,17Networks_14
87,28,39.8078043098428,TF,17Networks_9
88,28,74.7058823529412,TG,17Networks_9
