annot1_idx,annot2_idx,Gof,label1,label2
1,42,86.8523229347972,unknown,Medial_wall
2,27,36.6926744690074,FA,G_precentral
3,11,30.1551738444942,FB,G_frontal_superior
4,11,30.9153998678123,FC,G_frontal_superior
5,7,44.2577991086733,FCBm,G_frontal_inf-Opercular_part
6,11,34.8039215686275,FD,G_frontal_superior
7,56,46.9387755102041,FDdelta,S_frontal_middle
8,9,46.5761177136389,FDT,G_frontal_inf-Triangular_part
9,48,17.7499049790954,FE,S_cingulate-Main_part_and_Intracingulate
10,21,35.5479598376415,FF,G_orbital
11,29,68.0769230769231,FG,G_rectus
12,29,34.1804320203304,FH,G_rectus
13,50,42.4467099165894,FJK,S_circular_insula_anterior
14,29,25.9894459102902,FLMN,G_rectus
15,20,95.8791208791209,HA,G_occipit-temp_med-Parahippocampal_part
16,20,98.7460815047022,HB,G_occipit-temp_med-Parahippocampal_part
17,20,65.9250585480094,HC,G_occipit-temp_med-Parahippocampal_part
18,52,55.8604917095483,IA,S_circular_insula_superior
19,51,51.9027968821641,IB,S_circular_insula_inferior
20,48,70.8708708708709,LA1,S_cingulate-Main_part_and_Intracingulate
21,5,71.9424460431655,LA2,G_cingulate-Main_part
22,78,35.0119904076739,LC1,S_subparietal
23,5,78.1409601634321,LC2,G_cingulate-Main_part
24,5,75.6756756756757,LC3,G_cingulate-Main_part
25,4,60.2076124567474,LD,G_cingulate-Isthmus
26,71,29.4654498044329,LE,S_pericallosal
27,65,14.5527537322795,OA,S_occipito-temporal_medial_and_S_Lingual
28,19,42.9545454545455,OB,G_occipit-temp_med-Lingual_part
29,45,74.2310674592918,OC,S_calcarine
30,46,58.5990733169801,PA,S_central
31,26,45.2109464082098,PB,G_postcentral
32,26,54.6691568836713,PC,G_postcentral
33,72,44.9054237642387,PD,S_postcentral
34,25,33.7420718816068,PE,G_parietal_superior
35,24,54.2356241234222,PF,G_parietal_inferior-Supramarginal_part
36,23,38.3134582623509,PG,G_parietal_inferior-Angular_part
37,15,17.1064127206011,PH,G_and_S_occipital_inferior
38,35,35.8052434456929,TA,G_temp_sup-Lateral_aspect
39,51,66.5658093797277,TB,S_circular_insula_inferior
40,34,53.0718954248366,TC,G_temp_sup-G_temp_transv_and_interm_S
41,41,73.9690721649485,TD,Lat_Fissure-post_sgt
42,81,29.1621663323561,TE,S_temporal_superior
43,18,37.2049456725365,TF,G_occipit-temp_lat-Or_fusiform
44,44,53.8561666124308,TG,Pole_temporal
45,124,85.6957256073795,unknown,Medial_wall
46,109,45.6512575523395,FA,G_precentral
47,93,27.3398287570121,FB,G_frontal_superior
48,93,29.1758069570668,FC,G_frontal_superior
49,89,38.353196099675,FCBm,G_frontal_inf-Opercular_part
50,93,25.5205886957883,FD,G_frontal_superior
51,138,61.2293144208038,FDdelta,S_frontal_middle
52,91,44.1331923890063,FDT,G_frontal_inf-Triangular_part
53,103,22.4770642201835,FE,G_orbital
54,103,39.5771670190275,FF,G_orbital
55,111,68.1744749596123,FG,G_rectus
56,130,32.4210526315789,FH,S_cingulate-Main_part_and_Intracingulate
57,132,53.9805825242718,FJK,S_circular_insula_anterior
58,111,43.3389544688027,FLMN,G_rectus
59,102,91.8635170603675,HA,G_occipit-temp_med-Parahippocampal_part
60,102,92.9878048780488,HB,G_occipit-temp_med-Parahippocampal_part
61,102,62.882096069869,HC,G_occipit-temp_med-Parahippocampal_part
62,134,48.8522660388464,IA,S_circular_insula_superior
63,133,42.1052631578947,IB,S_circular_insula_inferior
64,130,81.5213732749916,LA1,S_cingulate-Main_part_and_Intracingulate
65,87,72.5,LA2,G_cingulate-Main_part
66,160,44.4444444444444,LC1,S_subparietal
67,87,90.8018867924528,LC2,G_cingulate-Main_part
68,87,75,LC3,G_cingulate-Main_part
69,86,43.167701863354,LD,G_cingulate-Isthmus
70,153,25.8536585365854,LE,S_pericallosal
71,125,16.4383561643836,OA,Pole_occipital
72,101,34.8148148148148,OB,G_occipit-temp_med-Lingual_part
73,127,68.190581107133,OC,S_calcarine
74,128,57.2794899043571,PA,S_central
75,128,39.4572025052192,PB,S_central
76,108,60.4567969179967,PC,G_postcentral
77,142,39.9398336577597,PD,S_intraparietal-and_Parietal_transverse
78,110,35.6088560885609,PE,G_precuneus
79,106,43.3593266493378,PF,G_parietal_inferior-Supramarginal_part
80,105,36.722033219932,PG,G_parietal_inferior-Angular_part
81,98,21.2919776119403,PH,G_occipital_middle
82,117,47.6845483723063,TA,G_temp_sup-Lateral_aspect
83,133,44.2715700141443,TB,S_circular_insula_inferior
84,133,49.7183098591549,TC,S_circular_insula_inferior
85,123,73.1601731601732,TD,Lat_Fissure-post_sgt
86,163,33.7465763298256,TE,S_temporal_superior
87,100,40.1863715783343,TF,G_occipit-temp_lat-Or_fusiform
88,126,59.0311418685121,TG,Pole_temporal
